# in Mpc/h Units 
# D1 = 0.0487765 
# k P N P(z=0)
0.0628319 27.0134 6 11354.2
0.0888577 16.4158 12 6899.86
0.108828 11.9731 8 5032.52
0.125664 10.7309 6 4510.4
0.140496 8.67845 24 3647.71
0.153906 6.82252 24 2867.63
0.177715 5.65267 12 2375.92
0.188496 5.25025 30 2206.78
0.198692 4.8777 24 2050.19
0.20839 4.34122 24 1824.69
0.217656 4.04284 8 1699.28
0.226543 3.47144 24 1459.11
0.235095 3.44945 48 1449.87
0.251327 2.83973 6 1193.59
0.262281 2.82028 84 1185.41
0.273878 2.44561 24 1027.93
0.280993 2.48113 24 1042.86
0.29019 2.23869 72 940.962
0.307812 2.00892 24 844.384
0.318551 1.89919 102 798.264
0.326484 1.86808 32 785.187
0.340674 1.65055 120 693.756
0.355431 1.5567 12 654.31
0.366343 1.40961 144 592.486
0.379302 1.29058 54 542.455
0.389837 1.26196 96 530.424
0.405099 1.16888 168 491.301
0.422256 1.06855 144 449.132
0.442145 0.941536 146 395.744
0.456965 0.889124 240 373.715
0.476937 0.835163 192 351.034
0.493022 0.743761 168 312.616
0.510602 0.712042 270 299.284
0.527626 0.659427 228 277.169
0.546637 0.604386 344 254.034
0.570583 0.566326 342 238.037
0.591498 0.515436 456 216.647
0.616749 0.465258 396 195.556
0.63768 0.437915 486 184.064
0.661928 0.398099 560 167.328
0.686555 0.365858 558 153.777
0.712045 0.332667 708 139.826
0.737212 0.30473 672 128.084
0.767295 0.288284 998 121.171
0.797876 0.259968 924 109.269
0.827231 0.238884 1014 100.407
0.855366 0.218602 1064 91.8825
0.888745 0.20253 1434 85.1268
0.922629 0.182355 1440 76.6472
0.9574 0.166435 1662 69.9558
0.994531 0.148991 1898 62.6237
1.03188 0.141742 2040 59.5769
1.07175 0.128382 2378 53.9614
1.11154 0.122076 2430 51.3109
1.15271 0.108029 2964 45.4066
1.19766 0.0977378 3278 41.0809
1.2432 0.0899447 3618 37.8054
1.28924 0.083629 3896 35.1508
1.33879 0.0754963 4770 31.7324
1.3903 0.0704301 4902 29.6031
1.44163 0.0638271 5522 26.8277
1.49595 0.0581823 6402 24.4551
1.55328 0.0535006 7118 22.4873
1.61149 0.0489574 7634 20.5777
1.67267 0.0456268 9090 19.1777
1.73596 0.0428438 9566 18.008
1.80111 0.040068 11034 16.8413
1.86923 0.0374304 12290 15.7327
1.94007 0.036162 13706 15.1995
2.01239 0.033772 14970 14.195
2.08788 0.03345 17198 14.0596
2.16695 0.0347282 19016 14.5969
2.24881 0.0348306 21458 14.6399
2.33445 0.0357273 24186 15.0168
2.42318 0.040087 26624 16.8493
2.51406 0.0432568 29594 18.1816
2.60906 0.0503247 33536 21.1524
2.70773 0.0595773 37166 25.0414
2.80996 0.0767473 41720 32.2583
2.91588 0.0966494 46280 40.6235
3.02527 0.126302 51536 53.0869
3.13941 0.18217 58466 76.5691
3.25901 0.282299 65564 118.655
3.38216 0.443093 72080 186.24
3.50965 0.721639 81380 303.318
3.64194 1.72042 90070 723.125
3.7792 5.31568 101516 2234.27
3.92175 18.9222 112736 7953.36
4.06885 14.7271 122371 6190.07
4.22253 0.0993667 120908 41.7656
4.38168 0.136648 118888 57.4354
4.54705 0.227179 115424 95.4875
4.71893 0.432525 110068 181.798
4.89655 0.961785 101516 404.255
5.08084 2.45378 92536 1031.37
5.27183 7.08512 78532 2978
5.46879 44.6005 62872 18746.4
5.67269 77.3721 43009 32520.9
5.8872 1.50279 27262 631.649
6.10775 5.59595 16264 2352.08
6.3354 29.7839 8614 12518.7
6.56292 250.666 3046 105359
6.76744 3872.68 550 1.62776e+06
6.96499 2957.51 1 1.24309e+06
