# in Mpc/h Units 
# D1 = 0.0333243 
# k P N P(z=0)
0.0628319 12.6291 6 11372.3
0.0888577 7.68724 12 6922.26
0.108828 5.61957 8 5060.35
0.125664 5.00814 6 4509.76
0.140496 4.04297 24 3640.64
0.153906 3.21394 24 2894.11
0.177715 2.63048 12 2368.71
0.188496 2.45523 30 2210.9
0.198692 2.2844 24 2057.07
0.20839 2.03409 24 1831.68
0.217656 1.86104 8 1675.84
0.226543 1.64147 24 1478.12
0.235095 1.6021 48 1442.67
0.251327 1.34782 6 1213.69
0.262281 1.306 84 1176.03
0.273878 1.14867 24 1034.36
0.280993 1.16099 24 1045.46
0.29019 1.04975 72 945.289
0.307812 0.951226 24 856.567
0.318551 0.881895 102 794.135
0.326484 0.846993 32 762.706
0.340674 0.770568 120 693.887
0.355431 0.733206 12 660.243
0.366343 0.662236 144 596.335
0.379302 0.599862 54 540.168
0.389837 0.593936 96 534.831
0.405099 0.54246 168 488.479
0.422256 0.500786 144 450.952
0.442145 0.450437 146 405.613
0.456965 0.418951 240 377.26
0.476937 0.391304 192 352.364
0.493022 0.349754 168 314.949
0.510602 0.332155 270 299.102
0.527626 0.313052 228 281.9
0.546637 0.28281 344 254.666
0.570583 0.265834 342 239.38
0.591498 0.244481 456 220.152
0.616749 0.219885 396 198.003
0.63768 0.203501 486 183.25
0.661928 0.188692 560 169.915
0.686555 0.171656 558 154.574
0.712045 0.158887 708 143.076
0.737212 0.145581 672 131.094
0.767295 0.135968 998 122.438
0.797876 0.123271 924 111.004
0.827231 0.112977 1014 101.735
0.855366 0.104449 1064 94.0549
0.888745 0.0963974 1434 86.8046
0.922629 0.0871162 1440 78.447
0.9574 0.078914 1662 71.061
0.994531 0.0720036 1898 64.8383
1.03188 0.0680163 2040 61.2478
1.07175 0.0618682 2378 55.7115
1.11154 0.058211 2430 52.4183
1.15271 0.0518909 2964 46.7271
1.19766 0.0473052 3278 42.5977
1.2432 0.043827 3618 39.4657
1.28924 0.0406243 3896 36.5817
1.33879 0.0370282 4770 33.3435
1.3903 0.0340624 4902 30.6727
1.44163 0.0309998 5522 27.9149
1.49595 0.0289539 6402 26.0726
1.55328 0.0265123 7118 23.874
1.61149 0.0243327 7634 21.9113
1.67267 0.0229338 9090 20.6516
1.73596 0.0213482 9566 19.2238
1.80111 0.0200716 11034 18.0743
1.86923 0.0191023 12290 17.2013
1.94007 0.0184456 13706 16.61
2.01239 0.0173671 14970 15.6388
2.08788 0.0170369 17198 15.3415
2.16695 0.017507 19016 15.7648
2.24881 0.0174611 21458 15.7235
2.33445 0.0181085 24186 16.3065
2.42318 0.0197279 26624 17.7647
2.51406 0.0217734 29594 19.6066
2.60906 0.0247712 33536 22.3061
2.70773 0.0293966 37166 26.4713
2.80996 0.0371472 41720 33.4506
2.91588 0.0475809 46280 42.8459
3.02527 0.0617778 51536 55.6301
3.13941 0.0891244 58466 80.2554
3.25901 0.136365 65564 122.795
3.38216 0.216536 72080 194.988
3.50965 0.346086 81380 311.646
3.64194 0.75722 90070 681.867
3.7792 2.60101 101516 2342.18
3.92175 9.84138 112736 8862.04
4.06885 38.5867 122371 34746.8
4.22253 0.0589645 120908 53.0968
4.38168 0.0796476 118888 71.7217
4.54705 0.127538 115424 114.847
4.71893 0.241831 110068 217.766
4.89655 0.527202 101516 474.738
5.08084 1.38466 92536 1246.87
5.27183 4.15627 78532 3742.67
5.46879 30.4793 62872 27446.2
5.67269 205.782 43009 185304
5.8872 0.936051 27262 842.902
6.10775 3.40426 16264 3065.5
6.3354 18.9397 8614 17055
6.56292 184.153 3046 165827
6.76744 5721.62 550 5.15224e+06
6.96499 2.17058e+06 1 1.95458e+09
