# in Mpc/h Units 
# D1 = 0.0640623 
# k P N P(z=0)
0.0628319 46.4453 6 11317.1
0.0888577 28.1487 12 6858.88
0.108828 20.6824 8 5039.6
0.125664 18.5828 6 4528
0.140496 14.9533 24 3643.6
0.153906 11.6555 24 2840.06
0.177715 9.80104 12 2388.18
0.188496 8.99585 30 2191.98
0.198692 8.50174 24 2071.58
0.20839 7.50636 24 1829.04
0.217656 6.98704 8 1702.5
0.226543 5.94516 24 1448.63
0.235095 6.01478 48 1465.6
0.251327 5.17955 6 1262.08
0.262281 4.87145 84 1187
0.273878 4.15015 24 1011.25
0.280993 4.49543 24 1095.38
0.29019 3.88292 72 946.134
0.307812 3.36192 24 819.186
0.318551 3.24614 102 790.974
0.326484 3.27014 32 796.822
0.340674 2.8587 120 696.568
0.355431 2.77629 12 676.487
0.366343 2.43301 144 592.841
0.379302 2.19868 54 535.742
0.389837 2.13688 96 520.685
0.405099 1.98298 168 483.185
0.422256 1.86601 144 454.683
0.442145 1.61494 146 393.507
0.456965 1.55346 240 378.526
0.476937 1.44856 192 352.964
0.493022 1.28103 168 312.143
0.510602 1.22163 270 297.669
0.527626 1.14551 228 279.122
0.546637 1.0507 344 256.02
0.570583 0.952865 342 232.181
0.591498 0.89856 456 218.948
0.616749 0.795779 396 193.904
0.63768 0.752575 486 183.377
0.661928 0.681382 560 166.029
0.686555 0.627518 558 152.905
0.712045 0.580253 708 141.388
0.737212 0.527356 672 128.498
0.767295 0.499557 998 121.725
0.797876 0.442332 924 107.781
0.827231 0.414299 1014 100.95
0.855366 0.3744 1064 91.2285
0.888745 0.347184 1434 84.5968
0.922629 0.305978 1440 74.5564
0.9574 0.283751 1662 69.1404
0.994531 0.255941 1898 62.3641
1.03188 0.241229 2040 58.7793
1.07175 0.2169 2378 52.851
1.11154 0.207957 2430 50.6719
1.15271 0.182769 2964 44.5345
1.19766 0.165834 3278 40.408
1.2432 0.150538 3618 36.681
1.28924 0.140644 3896 34.27
1.33879 0.127388 4770 31.0402
1.3903 0.11783 4902 28.7113
1.44163 0.106791 5522 26.0213
1.49595 0.0976972 6402 23.8055
1.55328 0.090226 7118 21.985
1.61149 0.0825834 7634 20.1227
1.67267 0.0763734 9090 18.6096
1.73596 0.0716476 9566 17.4581
1.80111 0.0678568 11034 16.5344
1.86923 0.0637132 12290 15.5247
1.94007 0.0611207 13706 14.893
2.01239 0.0575687 14970 14.0275
2.08788 0.056289 17198 13.7157
2.16695 0.0585438 19016 14.2651
2.24881 0.0591642 21458 14.4163
2.33445 0.0596498 24186 14.5346
2.42318 0.0688056 26624 16.7656
2.51406 0.0734596 29594 17.8996
2.60906 0.0852461 33536 20.7716
2.70773 0.100632 37166 24.5206
2.80996 0.128411 41720 31.2892
2.91588 0.168357 46280 41.0228
3.02527 0.214089 51536 52.1663
3.13941 0.306724 58466 74.7382
3.25901 0.468588 65564 114.179
3.38216 0.726537 72080 177.032
3.50965 1.16701 81380 284.359
3.64194 2.50778 90070 611.06
3.7792 6.49664 101516 1583.01
3.92175 12.9051 112736 3144.52
4.06885 25.7798 122371 6281.66
4.22253 0.191941 120908 46.7694
4.38168 0.264517 118888 64.4537
4.54705 0.441039 115424 107.466
4.71893 0.834793 110068 203.411
4.89655 1.80086 101516 438.807
5.08084 4.59225 92536 1118.97
5.27183 11.9789 78532 2918.85
5.46879 56.1508 62872 13682
5.67269 114.625 43009 27930.1
5.8872 3.46253 27262 843.7
6.10775 11.7567 16264 2864.71
6.3354 61.4259 8614 14967.4
6.56292 448.11 3046 109189
6.76744 5270.03 550 1.28413e+06
6.96499 528157 1 1.28694e+08
