# in Mpc/h Units 
# D1 = 0.551275 
# k P N P(z=0)
0.0628319 3175.36 6 10448.5
0.0888577 1782.06 12 5863.88
0.108828 1435.2 8 4722.53
0.125664 1599.46 6 5263.03
0.140496 1079.75 24 3552.93
0.153906 698.799 24 2299.41
0.177715 753.553 12 2479.57
0.188496 648.688 30 2134.51
0.198692 735.554 24 2420.35
0.20839 611.764 24 2013.01
0.217656 605.229 8 1991.51
0.226543 344.636 24 1134.03
0.235095 632.984 48 2082.84
0.251327 387.132 6 1273.86
0.262281 389.156 84 1280.52
0.273878 222.398 24 731.802
0.280993 386.913 24 1273.14
0.29019 349.607 72 1150.39
0.307812 296.002 24 973.997
0.318551 315.286 102 1037.45
0.326484 384.091 32 1263.85
0.340674 255.251 120 839.907
0.355431 376.642 12 1239.34
0.366343 227.725 144 749.33
0.379302 160.416 54 527.849
0.389837 179.545 96 590.795
0.405099 194.429 168 639.769
0.422256 212.267 144 698.467
0.442145 133.269 146 438.522
0.456965 170.51 240 561.064
0.476937 145.22 192 477.847
0.493022 148.049 168 487.157
0.510602 141.516 270 465.66
0.527626 122.119 228 401.833
0.546637 125.774 344 413.861
0.570583 116.871 342 384.565
0.591498 119.259 456 392.423
0.616749 96.2021 396 316.554
0.63768 88.6613 486 291.741
0.661928 92.304 560 303.727
0.686555 82.5299 558 271.565
0.712045 85.0574 708 279.882
0.737212 82.2284 672 270.573
0.767295 73.4109 998 241.559
0.797876 76.4573 924 251.583
0.827231 66.5255 1014 218.903
0.855366 62.2321 1064 204.775
0.888745 64.6224 1434 212.64
0.922629 56.7124 1440 186.613
0.9574 54.6397 1662 179.792
0.994531 50.264 1898 165.394
1.03188 50.7898 2040 167.124
1.07175 47.1284 2378 155.077
1.11154 43.0098 2430 141.524
1.15271 45.7519 2964 150.547
1.19766 40.3006 3278 132.61
1.2432 40.4669 3618 133.157
1.28924 36.1091 3896 118.817
1.33879 35.2131 4770 115.869
1.3903 33.9597 4902 111.745
1.44163 31.9726 5522 105.206
1.49595 31.2919 6402 102.966
1.55328 30.042 7118 98.8535
1.61149 29.2142 7634 96.1296
1.67267 27.3446 9090 89.9775
1.73596 25.8773 9566 85.1496
1.80111 25.0844 11034 82.5403
1.86923 23.8624 12290 78.5195
1.94007 24.1121 13706 79.3411
2.01239 23.0587 14970 75.875
2.08788 21.7019 17198 71.4104
2.16695 21.0594 19016 69.2962
2.24881 20.4452 21458 67.2749
2.33445 19.8104 24186 65.1863
2.42318 19.3683 26624 63.7315
2.51406 18.858 29594 62.0523
2.60906 17.9837 33536 59.1756
2.70773 17.6527 37166 58.0863
2.80996 17.1799 41720 56.5304
2.91588 16.6837 46280 54.898
3.02527 16.1873 51536 53.2643
3.13941 15.7697 58466 51.8903
3.25901 15.3067 65564 50.367
3.38216 14.9445 72080 49.1749
3.50965 14.7687 81380 48.5965
3.64194 14.4254 90070 47.4668
3.7792 14.3403 101516 47.1869
3.92175 14.6749 112736 48.2878
4.06885 14.6453 122371 48.1906
4.22253 14.2768 120908 46.9778
4.38168 13.9115 118888 45.776
4.54705 13.9146 115424 45.7862
4.71893 13.8961 110068 45.7252
4.89655 14.1114 101516 46.4335
5.08084 14.5317 92536 47.8165
5.27183 15.4526 78532 50.847
5.46879 16.4611 62872 54.1655
5.67269 17.1773 43009 56.5221
5.8872 17.6207 27262 57.9811
6.10775 18.9462 16264 62.3428
6.3354 22.0381 8614 72.5165
6.56292 26.549 3046 87.3597
6.76744 34.6804 550 114.116
6.96499 6.86646 1 22.5941
