# in Mpc/h Units 
# D1 = 0.405485 
# k P N P(z=0)
0.0628319 1763.65 6 10726.6
0.0888577 1012.58 12 6158.55
0.108828 793.042 8 4823.33
0.125664 833.061 6 5066.74
0.140496 591.484 24 3597.44
0.153906 397.872 24 2419.88
0.177715 401.317 12 2440.83
0.188496 355.247 30 2160.64
0.198692 389.504 24 2368.99
0.20839 329.911 24 2006.54
0.217656 333.107 8 2025.98
0.226543 202.33 24 1230.59
0.235095 309.584 48 1882.91
0.251327 195.057 6 1186.35
0.262281 205.689 84 1251.02
0.273878 130.335 24 792.704
0.280993 212.924 24 1295.02
0.29019 174.365 72 1060.5
0.307812 140.513 24 854.611
0.318551 154.324 102 938.609
0.326484 183.272 32 1114.68
0.340674 132.09 120 803.383
0.355431 168.687 12 1025.97
0.366343 112.689 144 685.382
0.379302 83.6837 54 508.97
0.389837 89.1858 96 542.434
0.405099 95.3729 168 580.064
0.422256 99.6897 144 606.319
0.442145 66.0491 146 401.715
0.456965 80.4526 240 489.318
0.476937 71.2372 192 433.269
0.493022 68.3438 168 415.672
0.510602 65.7906 270 400.143
0.527626 58.0856 228 353.28
0.546637 57.3735 344 348.949
0.570583 52.0847 342 316.783
0.591498 51.6426 456 314.094
0.616749 42.3289 396 257.447
0.63768 38.3464 486 233.225
0.661928 40.5109 560 246.39
0.686555 35.5512 558 216.225
0.712045 37.4091 708 227.525
0.737212 34.6788 672 210.919
0.767295 31.0714 998 188.978
0.797876 29.6056 924 180.063
0.827231 27.3412 1014 166.291
0.855366 25.432 1064 154.679
0.888745 25.4561 1434 154.826
0.922629 21.3691 1440 129.968
0.9574 20.6677 1662 125.702
0.994531 19.4381 1898 118.224
1.03188 18.4898 2040 112.456
1.07175 17.6276 2378 107.212
1.11154 15.7183 2430 95.6
1.15271 15.5849 2964 94.7883
1.19766 14.6628 3278 89.1801
1.2432 13.7815 3618 83.82
1.28924 12.3691 3896 75.2297
1.33879 12.3281 4770 74.9806
1.3903 11.872 4902 72.2065
1.44163 10.7662 5522 65.4809
1.49595 10.2386 6402 62.2716
1.55328 9.97533 7118 60.6707
1.61149 9.09409 7634 55.3109
1.67267 8.63286 9090 52.5056
1.73596 8.10534 9566 49.2972
1.80111 7.78325 11034 47.3383
1.86923 7.59556 12290 46.1967
1.94007 7.28737 13706 44.3222
2.01239 7.11618 14970 43.2811
2.08788 6.69442 17198 40.7159
2.16695 6.6983 19016 40.7395
2.24881 6.53575 21458 39.7509
2.33445 6.2852 24186 38.227
2.42318 6.47593 26624 39.3871
2.51406 6.41097 29594 38.992
2.60906 6.44975 33536 39.2278
2.70773 6.52521 37166 39.6867
2.80996 6.60162 41720 40.1515
2.91588 6.7721 46280 41.1884
3.02527 6.8507 51536 41.6664
3.13941 7.00245 58466 42.5894
3.25901 7.05363 65564 42.9006
3.38216 7.10865 72080 43.2353
3.50965 7.30643 81380 44.4382
3.64194 7.49593 90070 45.5907
3.7792 7.80151 101516 47.4493
3.92175 8.28276 112736 50.3763
4.06885 8.22555 122371 50.0284
4.22253 7.59967 120908 46.2217
4.38168 7.58841 118888 46.1532
4.54705 7.79789 115424 47.4273
4.71893 8.28009 110068 50.3601
4.89655 8.87767 101516 53.9946
5.08084 9.62019 92536 58.5106
5.27183 10.4757 78532 63.7137
5.46879 11.6233 62872 70.6934
5.67269 12.1079 43009 73.6413
5.8872 12.7692 27262 77.6633
6.10775 14.7999 16264 90.0142
6.3354 17.4263 8614 105.988
6.56292 23.2663 3046 141.507
6.76744 27.2963 550 166.018
6.96499 60.1426 1 365.791
