# in Mpc/h Units 
# D1 = 0.735889 
# k P N P(z=0)
0.0628319 5459.28 6 10081.2
0.0888577 2975.44 12 5494.48
0.108828 2480.88 8 4581.21
0.125664 2959.28 6 5464.63
0.140496 1883.23 24 3477.59
0.153906 1181.94 24 2182.58
0.177715 1370.19 12 2530.21
0.188496 1125.24 30 2077.87
0.198692 1298.77 24 2398.32
0.20839 1063.97 24 1964.73
0.217656 980.45 8 1810.51
0.226543 550.426 24 1016.42
0.235095 1245.75 48 2300.41
0.251327 772.78 6 1427.02
0.262281 713.987 84 1318.46
0.273878 384.199 24 709.466
0.280993 631.367 24 1165.89
0.29019 693.766 72 1281.12
0.307812 644.177 24 1189.54
0.318551 615.682 102 1136.92
0.326484 761.362 32 1405.94
0.340674 470.369 120 868.587
0.355431 806.841 12 1489.92
0.366343 442.313 144 816.78
0.379302 306.735 54 566.42
0.389837 381.319 96 704.147
0.405099 395.559 168 730.443
0.422256 424.046 144 783.047
0.442145 264.223 146 487.918
0.456965 349.056 240 644.57
0.476937 310.727 192 573.791
0.493022 296.68 168 547.852
0.510602 296.629 270 547.757
0.527626 254.632 228 470.206
0.546637 261.434 344 482.766
0.570583 248.389 342 458.677
0.591498 261.42 456 482.741
0.616749 216.907 396 400.542
0.63768 203.444 486 375.681
0.661928 204.806 560 378.198
0.686555 196.054 558 362.036
0.712045 178.408 708 329.449
0.737212 184.808 672 341.269
0.767295 168.99 998 312.059
0.797876 180.297 924 332.939
0.827231 156.088 1014 288.234
0.855366 152.822 1064 282.203
0.888745 147.691 1434 272.728
0.922629 136.857 1440 252.722
0.9574 134.423 1662 248.226
0.994531 129.305 1898 238.775
1.03188 126.626 2040 233.828
1.07175 114.657 2378 211.727
1.11154 103.888 2430 191.84
1.15271 115.771 2964 213.784
1.19766 101.584 3278 187.586
1.2432 103.352 3618 190.85
1.28924 98.7184 3896 182.294
1.33879 93.6067 4770 172.855
1.3903 89.4745 4902 165.224
1.44163 87.7763 5522 162.089
1.49595 83.77 6402 154.69
1.55328 81.0622 7118 149.69
1.61149 78.3965 7634 144.768
1.67267 73.8091 9090 136.297
1.73596 72.4135 9566 133.719
1.80111 69.9109 11034 129.098
1.86923 64.8299 12290 119.715
1.94007 63.4382 13706 117.145
2.01239 60.6415 14970 111.981
2.08788 56.8859 17198 105.046
2.16695 54.9906 19016 101.546
2.24881 51.5879 21458 95.2627
2.33445 49.9045 24186 92.1541
2.42318 46.6087 26624 86.068
2.51406 44.4545 29594 82.0901
2.60906 42.8886 33536 79.1984
2.70773 40.5903 37166 74.9545
2.80996 38.4816 41720 71.0605
2.91588 37.2172 46280 68.7256
3.02527 35.4459 51536 65.4548
3.13941 33.6986 58466 62.2282
3.25901 32.1316 65564 59.3344
3.38216 30.3604 72080 56.0638
3.50965 29.3876 81380 54.2675
3.64194 28.2427 90070 52.1532
3.7792 27.5198 101516 50.8183
3.92175 27.4709 112736 50.728
4.06885 27.4111 122371 50.6176
4.22253 26.788 120908 49.467
4.38168 25.7756 118888 47.5975
4.54705 25.3332 115424 46.7805
4.71893 25.1664 110068 46.4724
4.89655 25.0395 101516 46.2381
5.08084 25.8595 92536 47.7524
5.27183 27.0597 78532 49.9686
5.46879 28.8508 62872 53.2761
5.67269 29.7595 43009 54.9542
5.8872 30.5397 27262 56.3949
6.10775 33.0586 16264 61.0463
6.3354 39.2644 8614 72.5059
6.56292 46.7125 3046 86.2598
6.76744 59.7513 550 110.337
6.96499 25.5281 1 47.1405
