# in Mpc/h Units 
# D1 = 0.621971 
# k P N P(z=0)
0.0628319 3988.11 6 10309.3
0.0888577 2213.38 12 5721.59
0.108828 1806.7 8 4670.32
0.125664 2068.25 6 5346.41
0.140496 1363.97 24 3525.87
0.153906 870.48 24 2250.19
0.177715 966.481 12 2498.35
0.188496 818.361 30 2115.46
0.198692 937.446 24 2423.29
0.20839 773.835 24 2000.36
0.217656 749.965 8 1938.65
0.226543 420.79 24 1087.74
0.235095 840.711 48 2173.23
0.251327 514.006 6 1328.7
0.262281 500.951 84 1294.96
0.273878 276.159 24 713.87
0.280993 479.346 24 1239.11
0.29019 463.97 72 1199.36
0.307812 406.965 24 1052
0.318551 417.873 102 1080.2
0.326484 513.276 32 1326.82
0.340674 329.419 120 851.547
0.355431 518.828 12 1341.17
0.366343 300.843 144 777.678
0.379302 208.741 54 539.595
0.389837 243.066 96 628.324
0.405099 259.781 168 671.532
0.422256 285.222 144 737.296
0.442145 177.055 146 457.685
0.456965 229.608 240 593.536
0.476937 196.428 192 507.764
0.493022 199.134 168 514.761
0.510602 192.158 270 496.727
0.527626 165.095 228 426.771
0.546637 170.94 344 441.879
0.570583 160.212 342 414.147
0.591498 166.43 456 430.221
0.616749 134.673 396 348.129
0.63768 125.181 486 323.591
0.661928 128.603 560 332.438
0.686555 118.135 558 305.378
0.712045 116.48 708 301.1
0.737212 114.971 672 297.199
0.767295 103.819 998 268.372
0.797876 110.557 924 285.79
0.827231 95.0433 1014 245.686
0.855366 90.1068 1064 232.926
0.888745 91.9136 1434 237.596
0.922629 82.1383 1440 212.327
0.9574 80.6708 1662 208.534
0.994531 74.0758 1898 191.486
1.03188 74.8014 2040 193.361
1.07175 68.1449 2378 176.154
1.11154 62.8887 2430 162.567
1.15271 69.3914 2964 179.377
1.19766 59.853 3278 154.72
1.2432 61.1535 3618 158.082
1.28924 56.4288 3896 145.868
1.33879 53.7706 4770 138.997
1.3903 52.092 4902 134.658
1.44163 49.0392 5522 126.766
1.49595 47.7031 6402 123.312
1.55328 46.017 7118 118.954
1.61149 44.5197 7634 115.083
1.67267 42.1854 9090 109.049
1.73596 39.98 9566 103.348
1.80111 38.8852 11034 100.518
1.86923 36.1163 12290 93.3604
1.94007 36.1104 13706 93.3452
2.01239 34.771 14970 89.8829
2.08788 32.6996 17198 84.5284
2.16695 31.5707 19016 81.61
2.24881 30.329 21458 78.4004
2.33445 29.13 24186 75.301
2.42318 28.3909 26624 73.3903
2.51406 27.196 29594 70.3015
2.60906 26.231 33536 67.8071
2.70773 25.1504 37166 65.0135
2.80996 24.2183 41720 62.6043
2.91588 22.9594 46280 59.35
3.02527 22.1178 51536 57.1745
3.13941 21.3004 58466 55.0614
3.25901 20.7123 65564 53.5411
3.38216 19.8472 72080 51.3048
3.50965 19.7552 81380 51.067
3.64194 19.319 90070 49.9395
3.7792 19.1752 101516 49.5678
3.92175 19.4554 112736 50.292
4.06885 19.6936 122371 50.9078
4.22253 18.9924 120908 49.0954
4.38168 18.7341 118888 48.4276
4.54705 18.3652 115424 47.474
4.71893 18.3077 110068 47.3253
4.89655 18.6325 101516 48.1651
5.08084 19.1875 92536 49.5997
5.27183 20.1767 78532 52.1567
5.46879 21.4389 62872 55.4195
5.67269 22.1909 43009 57.3634
5.8872 23.179 27262 59.9176
6.10775 25.8509 16264 66.8245
6.3354 30.5142 8614 78.8791
6.56292 36.1285 3046 93.3919
6.76744 46.5215 550 120.258
6.96499 164.631 1 425.57
