# in Mpc/h Units 
# D1 = 0.0204557 
# k P N P(z=0)
0.0628319 4.77085 6 11401.6
0.0888577 2.91275 12 6961.04
0.108828 2.11969 8 5065.74
0.125664 1.87287 6 4475.89
0.140496 1.52872 24 3653.42
0.153906 1.22395 24 2925.06
0.177715 0.999633 12 2388.98
0.188496 0.929376 30 2221.07
0.198692 0.84276 24 2014.07
0.20839 0.749802 24 1791.92
0.217656 0.691002 8 1651.39
0.226543 0.624176 24 1491.69
0.235095 0.597305 48 1427.47
0.251327 0.518258 6 1238.56
0.262281 0.495591 84 1184.39
0.273878 0.442454 24 1057.4
0.280993 0.42455 24 1014.61
0.29019 0.396219 72 946.906
0.307812 0.357131 24 853.491
0.318551 0.337011 102 805.407
0.326484 0.327561 32 782.822
0.340674 0.290644 120 694.597
0.355431 0.268824 12 642.45
0.366343 0.250649 144 599.014
0.379302 0.232157 54 554.822
0.389837 0.224316 96 536.082
0.405099 0.204592 168 488.944
0.422256 0.187111 144 447.167
0.442145 0.169576 146 405.262
0.456965 0.159395 240 380.931
0.476937 0.145822 192 348.493
0.493022 0.134399 168 321.193
0.510602 0.126027 270 301.185
0.527626 0.117778 228 281.473
0.546637 0.108583 344 259.497
0.570583 0.0996914 342 238.248
0.591498 0.0919409 456 219.725
0.616749 0.0835603 396 199.697
0.63768 0.0774488 486 185.091
0.661928 0.0714122 560 170.665
0.686555 0.0654492 558 156.414
0.712045 0.0608624 708 145.452
0.737212 0.0561945 672 134.297
0.767295 0.0515668 998 123.237
0.797876 0.0471091 924 112.584
0.827231 0.043742 1014 104.537
0.855366 0.040352 1064 96.4354
0.888745 0.0369743 1434 88.3632
0.922629 0.0337686 1440 80.7021
0.9574 0.0310413 1662 74.1842
0.994531 0.0283674 1898 67.794
1.03188 0.0263859 2040 63.0584
1.07175 0.0240202 2378 57.4047
1.11154 0.0223591 2430 53.435
1.15271 0.0203561 2964 48.648
1.19766 0.0185819 3278 44.4079
1.2432 0.0172913 3618 41.3236
1.28924 0.015831 3896 37.8339
1.33879 0.014513 4770 34.684
1.3903 0.0134491 4902 32.1414
1.44163 0.0123871 5522 29.6033
1.49595 0.0113483 6402 27.1208
1.55328 0.0105508 7118 25.2149
1.61149 0.00977641 7634 23.3642
1.67267 0.00919862 9090 21.9833
1.73596 0.00861356 9566 20.5852
1.80111 0.00806794 11034 19.2812
1.86923 0.00767277 12290 18.3368
1.94007 0.00736635 13706 17.6045
2.01239 0.00697026 14970 16.6579
2.08788 0.00684277 17198 16.3532
2.16695 0.00705653 19016 16.8641
2.24881 0.00702957 21458 16.7996
2.33445 0.00718041 24186 17.1601
2.42318 0.00792128 26624 18.9307
2.51406 0.00848559 29594 20.2793
2.60906 0.00974067 33536 23.2788
2.70773 0.0114726 37166 27.4177
2.80996 0.0147416 41720 35.2303
2.91588 0.018492 46280 44.1932
3.02527 0.024079 51536 57.5453
3.13941 0.0350399 58466 83.7401
3.25901 0.053922 65564 128.866
3.38216 0.0853876 72080 204.064
3.50965 0.145702 81380 348.205
3.64194 0.34046 90070 813.649
3.7792 1.20854 101516 2888.23
3.92175 5.61561 112736 13420.5
4.06885 25.0296 122371 59817.1
4.22253 0.0179318 120908 42.8545
4.38168 0.0241974 118888 57.8283
4.54705 0.0374723 115424 89.5532
4.71893 0.067262 110068 160.746
4.89655 0.144846 101516 346.161
5.08084 0.369153 92536 882.221
5.27183 1.11145 78532 2656.19
5.46879 9.54573 62872 22812.9
5.67269 78.3931 43009 187348
5.8872 0.170437 27262 407.32
6.10775 0.585747 16264 1399.85
6.3354 3.078 8614 7355.96
6.56292 30.66 3046 73273
6.76744 1226.8 550 2.93187e+06
6.96499 461707 1 1.10341e+09
