# in Mpc/h Units 
# D1 = 0.0254027 
# k P N P(z=0)
0.0628319 7.33447 6 11366
0.0888577 4.4714 12 6929.19
0.108828 3.27551 8 5075.96
0.125664 2.95219 6 4574.92
0.140496 2.34401 24 3632.44
0.153906 1.88029 24 2913.82
0.177715 1.53242 12 2374.74
0.188496 1.42957 30 2215.36
0.198692 1.3177 24 2042
0.20839 1.17261 24 1817.16
0.217656 1.06857 8 1655.94
0.226543 0.94885 24 1470.4
0.235095 0.930379 48 1441.78
0.251327 0.808594 6 1253.05
0.262281 0.763725 84 1183.52
0.273878 0.671848 24 1041.14
0.280993 0.684235 24 1060.34
0.29019 0.613892 72 951.33
0.307812 0.550476 24 853.056
0.318551 0.515676 102 799.128
0.326484 0.497107 32 770.352
0.340674 0.447427 120 693.364
0.355431 0.428251 12 663.648
0.366343 0.384154 144 595.311
0.379302 0.353923 54 548.464
0.389837 0.348236 96 539.651
0.405099 0.312934 168 484.945
0.422256 0.294684 144 456.663
0.442145 0.259483 146 402.113
0.456965 0.245613 240 380.619
0.476937 0.227596 192 352.698
0.493022 0.204891 168 317.513
0.510602 0.193442 270 299.772
0.527626 0.184327 228 285.646
0.546637 0.165856 344 257.023
0.570583 0.154022 342 238.683
0.591498 0.14274 456 221.201
0.616749 0.128709 396 199.457
0.63768 0.118224 486 183.208
0.661928 0.109665 560 169.944
0.686555 0.100847 558 156.28
0.712045 0.0946159 708 146.623
0.737212 0.085122 672 131.911
0.767295 0.0799959 998 123.967
0.797876 0.0732375 924 113.494
0.827231 0.0667003 1014 103.364
0.855366 0.0616254 1064 95.4991
0.888745 0.0569089 1434 88.1901
0.922629 0.0513521 1440 79.5789
0.9574 0.0466576 1662 72.3039
0.994531 0.0428264 1898 66.3668
1.03188 0.040531 2040 62.8098
1.07175 0.0368127 2378 57.0475
1.11154 0.0345442 2430 53.5322
1.15271 0.0311015 2964 48.1971
1.19766 0.028248 3278 43.775
1.2432 0.0261195 3618 40.4765
1.28924 0.0241603 3896 37.4404
1.33879 0.0223887 4770 34.6951
1.3903 0.0206395 4902 31.9844
1.44163 0.0188416 5522 29.1982
1.49595 0.0174009 6402 26.9657
1.55328 0.0162383 7118 25.1641
1.61149 0.0148303 7634 22.9821
1.67267 0.0140021 9090 21.6986
1.73596 0.0131963 9566 20.4499
1.80111 0.0123212 11034 19.0939
1.86923 0.0117489 12290 18.207
1.94007 0.0114262 13706 17.7068
2.01239 0.010756 14970 16.6682
2.08788 0.0106616 17198 16.522
2.16695 0.0108851 19016 16.8683
2.24881 0.0109367 21458 16.9483
2.33445 0.0112887 24186 17.4938
2.42318 0.0123305 26624 19.1082
2.51406 0.0136437 29594 21.1432
2.60906 0.0153024 33536 23.7137
2.70773 0.0179633 37166 27.8372
2.80996 0.022919 41720 35.5168
2.91588 0.0290315 46280 44.9892
3.02527 0.0372447 51536 57.717
3.13941 0.0533552 58466 82.683
3.25901 0.0801496 65564 124.205
3.38216 0.128483 72080 199.107
3.50965 0.208991 81380 323.867
3.64194 0.419689 90070 650.379
3.7792 1.50589 101516 2333.64
3.92175 5.13298 112736 7954.43
4.06885 55.3262 122371 85737.4
4.22253 0.0418293 120908 64.8217
4.38168 0.0559543 118888 86.7107
4.54705 0.0893937 115424 138.531
4.71893 0.1664 110068 257.865
4.89655 0.36347 101516 563.258
5.08084 0.950794 92536 1473.42
5.27183 2.82873 78532 4383.6
5.46879 22.3429 62872 34624.1
5.67269 321.291 43009 497895
5.8872 0.708483 27262 1097.92
6.10775 2.52793 16264 3917.46
6.3354 14.2805 8614 22130.1
6.56292 153.093 3046 237244
6.76744 8337.38 550 1.29202e+07
6.96499 40942.2 1 6.34469e+07
