# in Mpc/h Units 
# D1 = 0.104706 
# k P N P(z=0)
0.0628319 123.4 6 11255.7
0.0888577 74.2606 12 6773.55
0.108828 54.9012 8 5007.72
0.125664 50.4244 6 4599.38
0.140496 39.8918 24 3638.66
0.153906 30.4498 24 2777.43
0.177715 26.1599 12 2386.14
0.188496 24.0022 30 2189.32
0.198692 23.1159 24 2108.48
0.20839 20.3662 24 1857.67
0.217656 19.3657 8 1766.41
0.226543 15.6264 24 1425.34
0.235095 16.453 48 1500.74
0.251327 13.3289 6 1215.77
0.262281 13.0806 84 1193.13
0.273878 10.7562 24 981.109
0.280993 12.293 24 1121.28
0.29019 10.3946 72 948.125
0.307812 8.86609 24 808.705
0.318551 8.74106 102 797.301
0.326484 8.95938 32 817.215
0.340674 7.7025 120 702.571
0.355431 7.64009 12 696.878
0.366343 6.48939 144 591.919
0.379302 5.7361 54 523.209
0.389837 5.73753 96 523.34
0.405099 5.3648 168 489.341
0.422256 5.0556 144 461.139
0.442145 4.22485 146 385.363
0.456965 4.16859 240 380.231
0.476937 3.92804 192 358.29
0.493022 3.39626 168 309.784
0.510602 3.29131 270 300.211
0.527626 3.06756 228 279.802
0.546637 2.80235 344 255.612
0.570583 2.57477 342 234.853
0.591498 2.42954 456 221.607
0.616749 2.12778 396 194.082
0.63768 2.00333 486 182.73
0.661928 1.83795 560 167.646
0.686555 1.67856 558 153.107
0.712045 1.54974 708 141.357
0.737212 1.3867 672 126.486
0.767295 1.35217 998 123.336
0.797876 1.17876 924 107.519
0.827231 1.09527 1014 99.9035
0.855366 0.983564 1064 89.7141
0.888745 0.933518 1434 85.1493
0.922629 0.803177 1440 73.2604
0.9574 0.764008 1662 69.6877
0.994531 0.666265 1898 60.7722
1.03188 0.643297 2040 58.6773
1.07175 0.576093 2378 52.5474
1.11154 0.562976 2430 51.3509
1.15271 0.485384 2964 44.2735
1.19766 0.438508 3278 39.9978
1.2432 0.39076 3618 35.6425
1.28924 0.375353 3896 34.2372
1.33879 0.330998 4770 30.1915
1.3903 0.311382 4902 28.4022
1.44163 0.278537 5522 25.4063
1.49595 0.258519 6402 23.5804
1.55328 0.231029 7118 21.0729
1.61149 0.215891 7634 19.6922
1.67267 0.197403 9090 18.0058
1.73596 0.186592 9566 17.0197
1.80111 0.177257 11034 16.1682
1.86923 0.165766 12290 15.1201
1.94007 0.158455 13706 14.4532
2.01239 0.148687 14970 13.5623
2.08788 0.14624 17198 13.339
2.16695 0.14804 19016 13.5032
2.24881 0.153084 21458 13.9633
2.33445 0.158327 24186 14.4415
2.42318 0.176758 26624 16.1227
2.51406 0.185334 29594 16.905
2.60906 0.22385 33536 20.4181
2.70773 0.26106 37166 23.8121
2.80996 0.343723 41720 31.3521
2.91588 0.425234 46280 38.787
3.02527 0.550358 51536 50.2
3.13941 0.785925 58466 71.6868
3.25901 1.17931 65564 107.569
3.38216 1.78563 72080 162.873
3.50965 2.65961 81380 242.592
3.64194 5.10768 90070 465.888
3.7792 11.0392 101516 1006.92
3.92175 17.2129 112736 1570.05
4.06885 4.80026 122371 437.848
4.22253 0.475623 120908 43.3832
4.38168 0.654641 118888 59.712
4.54705 1.0975 115424 100.107
4.71893 2.02592 110068 184.791
4.89655 4.05598 101516 369.96
5.08084 8.88164 92536 810.124
5.27183 18.8569 78532 1720.01
5.46879 45.8515 62872 4182.27
5.67269 26.0288 43009 2374.18
5.8872 7.79279 27262 710.807
6.10775 24.542 16264 2238.56
6.3354 93.8387 8614 8559.34
6.56292 385.419 3046 35155.4
6.76744 1327.47 550 121083
6.96499 1650.43 1 150541
