# in Mpc/h Units 
# D1 = 0.0938725 
# k P N P(z=0)
0.0628319 99.3527 6 11274.6
0.0888577 59.859 12 6792.86
0.108828 44.222 8 5018.36
0.125664 40.4278 6 4587.79
0.140496 32.0835 24 3640.87
0.153906 24.6259 24 2794.57
0.177715 20.9954 12 2382.58
0.188496 19.2997 30 2190.15
0.198692 18.4826 24 2097.42
0.20839 16.3608 24 1856.64
0.217656 15.4247 8 1750.41
0.226543 12.5759 24 1427.13
0.235095 13.1279 48 1489.77
0.251327 10.728 6 1217.42
0.262281 10.501 84 1191.66
0.273878 8.73278 24 991.004
0.280993 9.75466 24 1106.97
0.29019 8.34066 72 946.506
0.307812 7.18159 24 814.973
0.318551 7.01007 102 795.51
0.326484 7.13181 32 809.325
0.340674 6.17628 120 700.89
0.355431 6.06269 12 687.999
0.366343 5.18757 144 588.69
0.379302 4.61509 54 523.725
0.389837 4.60927 96 523.064
0.405099 4.3121 168 489.341
0.422256 4.02743 144 457.036
0.442145 3.40563 146 386.473
0.456965 3.32669 240 377.516
0.476937 3.13958 192 356.282
0.493022 2.7331 168 310.155
0.510602 2.65902 270 301.748
0.527626 2.4762 228 281.001
0.546637 2.24364 344 254.61
0.570583 2.06239 342 234.042
0.591498 1.94273 456 220.463
0.616749 1.70752 396 193.771
0.63768 1.60698 486 182.362
0.661928 1.46435 560 166.176
0.686555 1.35218 558 153.447
0.712045 1.2513 708 141.998
0.737212 1.11433 672 126.456
0.767295 1.07188 998 121.638
0.797876 0.959461 924 108.88
0.827231 0.880257 1014 99.8924
0.855366 0.798456 1064 90.6095
0.888745 0.74147 1434 84.1427
0.922629 0.64448 1440 73.1362
0.9574 0.601119 1662 68.2156
0.994531 0.53771 1898 61.0199
1.03188 0.520025 2040 59.0129
1.07175 0.455843 2378 51.7295
1.11154 0.445647 2430 50.5725
1.15271 0.387901 2964 44.0194
1.19766 0.349783 3278 39.6936
1.2432 0.315388 3618 35.7906
1.28924 0.302427 3896 34.3197
1.33879 0.270949 4770 30.7475
1.3903 0.250774 4902 28.4581
1.44163 0.224656 5522 25.4942
1.49595 0.204627 6402 23.2212
1.55328 0.186088 7118 21.1174
1.61149 0.173178 7634 19.6524
1.67267 0.159373 9090 18.0858
1.73596 0.148804 9566 16.8864
1.80111 0.141705 11034 16.0808
1.86923 0.130511 12290 14.8105
1.94007 0.127847 13706 14.5082
2.01239 0.119666 14970 13.5798
2.08788 0.117139 17198 13.293
2.16695 0.120848 19016 13.7139
2.24881 0.123813 21458 14.0505
2.33445 0.124796 24186 14.162
2.42318 0.140197 26624 15.9097
2.51406 0.155382 29594 17.6328
2.60906 0.18108 33536 20.5491
2.70773 0.209351 37166 23.7573
2.80996 0.274302 41720 31.1281
2.91588 0.342699 46280 38.8898
3.02527 0.436491 51536 49.5334
3.13941 0.639248 58466 72.5425
3.25901 0.98425 65564 111.694
3.38216 1.49315 72080 169.444
3.50965 2.31718 81380 262.956
3.64194 4.61488 90070 523.701
3.7792 10.5162 101516 1193.39
3.92175 16.7284 112736 1898.35
4.06885 8.22799 122371 933.719
4.22253 0.382549 120908 43.4121
4.38168 0.528593 118888 59.9852
4.54705 0.891431 115424 101.16
4.71893 1.68356 110068 191.052
4.89655 3.46032 101516 392.68
5.08084 7.74988 92536 879.464
5.27183 18.2456 78532 2070.53
5.46879 50.4401 62872 5723.99
5.67269 35.4651 43009 4024.61
5.8872 6.57653 27262 746.31
6.10775 20.8854 16264 2370.09
6.3354 88.8157 8614 10078.9
6.56292 407.96 3046 46295.7
6.76744 1997.9 550 226724
6.96499 6999.81 1 794345
