# in Mpc/h Units 
# D1 = 0.190846 
# k P N P(z=0)
0.0628319 404.69 6 11111.1
0.0888577 240.19 12 6594.59
0.108828 180.521 8 4956.33
0.125664 172.599 6 4738.84
0.140496 132.29 24 3632.13
0.153906 96.7434 24 2656.16
0.177715 87.195 12 2394
0.188496 79.3508 30 2178.64
0.198692 80.0202 24 2197.01
0.20839 69.8028 24 1916.49
0.217656 68.4529 8 1879.43
0.226543 49.7913 24 1367.06
0.235095 58.1062 48 1595.35
0.251327 42.7221 6 1172.97
0.262281 44.0074 84 1208.26
0.273878 33.537 24 920.783
0.280993 43.5622 24 1196.03
0.29019 35.2301 72 967.27
0.307812 28.9582 24 795.07
0.318551 29.8044 102 818.303
0.326484 32.3667 32 888.653
0.340674 26.4691 120 726.729
0.355431 27.8676 12 765.125
0.366343 22.0396 144 605.114
0.379302 18.4477 54 506.495
0.389837 18.9566 96 520.468
0.405099 18.5094 168 508.19
0.422256 17.8251 144 489.401
0.442145 13.7696 146 378.054
0.456965 14.4626 240 397.08
0.476937 13.7521 192 377.573
0.493022 11.7904 168 323.714
0.510602 11.6359 270 319.473
0.527626 10.7042 228 293.893
0.546637 9.80114 344 269.098
0.570583 8.91531 342 244.776
0.591498 8.63117 456 236.975
0.616749 7.36585 396 202.235
0.63768 6.87902 486 188.869
0.661928 6.57489 560 180.518
0.686555 6.02415 558 165.397
0.712045 5.70627 708 156.67
0.737212 5.00622 672 137.45
0.767295 4.88916 998 134.235
0.797876 4.23412 924 116.251
0.827231 3.94237 1014 108.241
0.855366 3.61672 1064 99.2998
0.888745 3.38569 1434 92.9568
0.922629 2.82797 1440 77.6441
0.9574 2.80049 1662 76.8896
0.994531 2.48698 1898 68.2819
1.03188 2.34401 2040 64.3565
1.07175 2.12593 2378 58.369
1.11154 2.04445 2430 56.132
1.15271 1.82382 2964 50.0743
1.19766 1.6683 3278 45.8045
1.2432 1.45892 3618 40.0557
1.28924 1.42441 3896 39.1083
1.33879 1.24747 4770 34.2503
1.3903 1.17757 4902 32.3312
1.44163 1.07489 5522 29.512
1.49595 0.998865 6402 27.4246
1.55328 0.891129 7118 24.4666
1.61149 0.847057 7634 23.2566
1.67267 0.761269 9090 20.9012
1.73596 0.727774 9566 19.9816
1.80111 0.685982 11034 18.8342
1.86923 0.641026 12290 17.5998
1.94007 0.621416 13706 17.0614
2.01239 0.576078 14970 15.8167
2.08788 0.571289 17198 15.6852
2.16695 0.565856 19016 15.536
2.24881 0.578248 21458 15.8762
2.33445 0.567723 24186 15.5873
2.42318 0.651226 26624 17.8799
2.51406 0.674451 29594 18.5176
2.60906 0.774391 33536 21.2615
2.70773 0.849019 37166 23.3105
2.80996 1.09672 41720 30.1112
2.91588 1.29102 46280 35.446
3.02527 1.54527 51536 42.4265
3.13941 2.10098 58466 57.6839
3.25901 2.95471 65564 81.1237
3.38216 3.70292 72080 101.667
3.50965 4.52104 81380 124.129
3.64194 5.97759 90070 164.119
3.7792 8.28378 101516 227.437
3.92175 8.59213 112736 235.903
4.06885 4.09365 122371 112.394
4.22253 1.72889 120908 47.4679
4.38168 2.16338 118888 59.3972
4.54705 3.09877 115424 85.079
4.71893 4.64093 110068 127.42
4.89655 7.09036 101516 194.671
5.08084 10.7608 92536 295.445
5.27183 14.1523 78532 388.562
5.46879 17.6795 62872 485.403
5.67269 11.9004 43009 326.734
5.8872 14.0779 27262 386.519
6.10775 27.299 16264 749.514
6.3354 53.2666 8614 1462.47
6.56292 92.253 3046 2532.87
6.76744 131.023 550 3597.32
6.96499 110.183 1 3025.15
