# in Mpc/h Units 
# D1 = 0.153447 
# k P N P(z=0)
0.0628319 263.118 6 11174.7
0.0888577 157.082 12 6671.34
0.108828 117.227 8 4978.67
0.125664 110.182 6 4679.49
0.140496 85.5981 24 3635.38
0.153906 63.7443 24 2707.24
0.177715 56.2289 12 2388.06
0.188496 51.3812 30 2182.18
0.198692 50.8322 24 2158.86
0.20839 44.5495 24 1892.03
0.217656 43.1581 8 1832.94
0.226543 32.7389 24 1390.43
0.235095 36.5456 48 1552.11
0.251327 28.0128 6 1189.71
0.262281 28.2836 84 1201.21
0.273878 22.2955 24 946.898
0.280993 27.42 24 1164.54
0.29019 22.5392 72 957.247
0.307812 18.8037 24 798.601
0.318551 18.9741 102 805.838
0.326484 20.1534 32 855.923
0.340674 16.8255 120 714.585
0.355431 17.2128 12 731.034
0.366343 14.0449 144 596.491
0.379302 12.0494 54 511.741
0.389837 12.2677 96 521.012
0.405099 11.7488 168 498.977
0.422256 11.181 144 474.863
0.442145 8.94411 146 379.859
0.456965 9.12093 240 387.369
0.476937 8.66671 192 368.078
0.493022 7.43627 168 315.821
0.510602 7.32228 270 310.98
0.527626 6.74038 228 286.266
0.546637 6.1562 344 261.456
0.570583 5.61761 342 238.582
0.591498 5.39838 456 229.271
0.616749 4.64577 396 197.307
0.63768 4.36415 486 185.347
0.661928 4.06917 560 172.819
0.686555 3.76442 558 159.876
0.712045 3.50643 708 148.92
0.737212 3.07607 672 130.642
0.767295 3.02029 998 128.273
0.797876 2.62653 924 111.55
0.827231 2.42632 1014 103.047
0.855366 2.21159 1064 93.9272
0.888745 2.06847 1434 87.8488
0.922629 1.76134 1440 74.8048
0.9574 1.70817 1662 72.5464
0.994531 1.5078 1898 64.0367
1.03188 1.44201 2040 61.2426
1.07175 1.28444 2378 54.5507
1.11154 1.2512 2430 53.1388
1.15271 1.0883 2964 46.2204
1.19766 1.00006 3278 42.473
1.2432 0.870185 3618 36.9571
1.28924 0.856182 3896 36.3624
1.33879 0.75274 4770 31.9692
1.3903 0.709609 4902 30.1373
1.44163 0.634198 5522 26.9346
1.49595 0.589244 6402 25.0254
1.55328 0.516522 7118 21.9369
1.61149 0.500504 7634 21.2566
1.67267 0.442197 9090 18.7803
1.73596 0.424771 9566 18.0402
1.80111 0.399449 11034 16.9647
1.86923 0.378801 12290 16.0878
1.94007 0.364494 13706 15.4802
2.01239 0.339626 14970 14.4241
2.08788 0.332407 17198 14.1174
2.16695 0.333542 19016 14.1656
2.24881 0.346619 21458 14.721
2.33445 0.347138 24186 14.7431
2.42318 0.397939 26624 16.9006
2.51406 0.419608 29594 17.8209
2.60906 0.493682 33536 20.9668
2.70773 0.555534 37166 23.5937
2.80996 0.732939 41720 31.1282
2.91588 0.868997 46280 36.9066
3.02527 1.09776 51536 46.6223
3.13941 1.49753 58466 63.6006
3.25901 2.16547 65564 91.9684
3.38216 3.00627 72080 127.677
3.50965 4.25458 81380 180.694
3.64194 6.17328 90070 262.181
3.7792 9.86765 101516 419.083
3.92175 10.9352 112736 464.422
4.06885 3.88592 122371 165.037
4.22253 1.06852 120908 45.3806
4.38168 1.42267 118888 60.4213
4.54705 2.24214 115424 95.2247
4.71893 3.73264 110068 158.526
4.89655 6.48205 101516 275.295
5.08084 11.2035 92536 475.817
5.27183 17.4941 78532 742.981
5.46879 25.588 62872 1086.73
5.67269 13.5838 43009 576.908
5.8872 12.9826 27262 551.376
6.10775 31.7323 16264 1347.68
6.3354 77.9315 8614 3309.78
6.56292 179.374 3046 7618.09
6.76744 311.629 550 13235
6.96499 34.5226 1 1466.19
