Step 0, Time: 0.01, MPIs: 8 Threads: 14 Elapsed: 0.0805645
   Moments@forcetree.c:0152          0.00  0.4%        0.00  0.5%        0.00       0.00
   Nodes@forcetree.c:0203            0.00  0.1%        0.00  0.1%        0.00       0.00
  Misc@gravshort-tree.c:0165        0.00  0.3%        0.00  0.4%        0.00       0.00
  PostProcess@gravshort-tree.c:0157        0.00  0.0%        0.00  0.0%        0.00       0.00
  Recv@gravshort-tree.c:0159        0.01  2.4%        0.01  2.9%        0.00       0.02
  Send@gravshort-tree.c:0158        0.00  0.8%        0.00  0.9%        0.00       0.00
  Wait1@gravshort-tree.c:0160        0.02  5.4%        0.02  6.5%        0.00       0.04
  Wait2@gravshort-tree.c:0161        0.00  0.1%        0.00  0.1%        0.00       0.00
  Walk1@gravshort-tree.c:0155        0.18 38.8%        0.18 47.0%        0.17       0.20
  Walk2@gravshort-tree.c:0156        0.05 11.8%        0.05 14.3%        0.04       0.06
Step 1, Time: 0.0105632, MPIs: 8 Threads: 14 Elapsed: 0.828171
                                   0.83 99.7%        0.37 99.9%        0.37       0.37
 Domain                            0.05  6.1%        0.01  3.5%        0.01       0.01
  Decompose                         0.00  0.3%        0.00  0.2%        0.00       0.00
   Misc@domain.c:0355                0.00  0.1%        0.00  0.0%        0.00       0.00
   Sumcost@domain.c:0407             0.00  0.1%        0.00  0.1%        0.00       0.00
   assignbalance@domain.c:0412        0.00  0.0%        0.00  0.0%        0.00       0.00
   memorybound@domain.c:0418         0.00  0.0%        0.00  0.0%        0.00       0.00
  DetermineTopTree                  0.02  2.6%        0.01  1.9%        0.01       0.01
   Addnodes@domain.c:1211            0.00  0.0%        0.00  0.0%        0.00       0.00
   Combine@domain.c:1199             0.00  0.1%        0.00  0.1%        0.00       0.00
   CreateLeaves@domain.c:0378        0.00  0.1%        0.00  0.0%        0.00       0.00
   LocalRefine                       0.00  0.1%        0.00  0.0%        0.00       0.00
    Init@domain.c:1159                0.00  0.0%        0.00  0.0%        0.00       0.00
    truncate@domain.c:1177            0.00  0.0%        0.00  0.0%        0.00       0.00
   Misc@domain.c:1150                0.00  0.0%        0.00  0.0%        0.00       0.00
   Sort@domain.c:0950                0.02  2.4%        0.01  1.7%        0.01       0.01
  PeanoSort@domain.c:0229           0.01  1.0%        0.00  1.0%        0.00       0.00
  exchange                          0.02  2.2%        0.00  0.5%        0.00       0.00
   alltoall@exchange.c:0354          0.01  1.5%        0.00  0.3%        0.00       0.00
   finalize@exchange.c:0377          0.00  0.0%        0.00  0.0%        0.00       0.00
   garbage@exchange.c:0254           0.00  0.2%        0.00  0.0%        0.00       0.00
   init@exchange.c:0115              0.00  0.0%        0.00  0.0%        0.00       0.00
   makebuf@exchange.c:0243           0.00  0.2%        0.00  0.1%        0.00       0.00
   togo@exchange.c:0130              0.00  0.0%        0.00  0.0%        0.00       0.00
   togo@exchange.c:0137              0.00  0.2%        0.00  0.2%        0.00       0.00
  All@drift.c:0110                  0.00  0.1%        0.00  0.1%        0.00       0.00
 Init@init.c:0256                  0.05  6.0%        0.00  0.0%        0.00       0.00
 LongRange@gravpm.c:0097           0.00  0.3%        0.00  0.3%        0.00       0.00
 Misc@checkpoint.c:0026            0.00  0.0%        0.00  0.0%        0.00       0.00
 Misc@domain.c:0168                0.00  0.0%        0.00  0.0%        0.00       0.00
 Misc@drift.c:0094                 0.00  0.5%        0.00  0.3%        0.00       0.00
 Misc@forcetree.c:0147             0.00  0.3%        0.00  0.3%        0.00       0.00
 Misc@gravshort-tree.c:0138        0.00  0.0%        0.00  0.0%        0.00       0.00
 Misc@gravshort-tree.c:0144        0.00  0.0%        0.00  0.0%        0.00       0.00
 Misc@run.c:0153                   0.00  0.1%        0.00  0.0%        0.00       0.00
 Misc@timestep.c:0187              0.00  0.2%        0.00  0.6%        0.00       0.00
 Misc@timestep.c:0336              0.00  0.0%        0.00  0.0%        0.00       0.00
 PMgrav                            0.17 21.1%        0.09 24.3%        0.09       0.09
  Misc@petapm.c:0263                0.00  0.1%        0.00  0.1%        0.00       0.00
  Misc@petapm.c:0345                0.00  0.0%        0.00  0.0%        0.00       0.00
  Regions@gravpm.c:0188             0.00  0.0%        0.00  0.0%        0.00       0.00
  c2r@petapm.c:0336                 0.08  9.9%        0.04 11.1%        0.03       0.05
  calc@petapm.c:0332                0.01  1.5%        0.01  1.7%        0.00       0.01
  cic@petapm.c:0265                 0.00  0.2%        0.00  0.2%        0.00       0.00
  comm2@petapm.c:0286               0.01  1.0%        0.00  1.2%        0.00       0.01
  comm@petapm.c:0269                0.00  0.6%        0.00  0.6%        0.00       0.00
  comm@petapm.c:0340                0.03  3.7%        0.02  4.4%        0.01       0.02
  r2c@petapm.c:0308                 0.03  3.5%        0.02  4.3%        0.02       0.02
  readout@petapm.c:0343             0.00  0.6%        0.00  0.6%        0.00       0.01
 Timeline                          0.01  0.7%        0.01  1.4%        0.00       0.01
  Active@timestep.c:0815            0.00  0.5%        0.00  0.9%        0.00       0.00
  HalfKick                          0.00  0.1%        0.00  0.1%        0.00       0.00
   Long@timestep.c:0402              0.00  0.1%        0.00  0.1%        0.00       0.00
   Short@timestep.c:0379             0.00  0.0%        0.00  0.1%        0.00       0.00
 Timeline@timestep.c:0311          0.00  0.2%        0.00  0.3%        0.00       0.00
 Tree                              0.53 64.1%        0.25 69.2%        0.25       0.25
  Build                             0.00  0.5%        0.00  0.5%        0.00       0.00
   Moments@forcetree.c:0152          0.00  0.4%        0.00  0.4%        0.00       0.00
   Nodes@forcetree.c:0203            0.00  0.1%        0.00  0.1%        0.00       0.00
  Misc@gravshort-tree.c:0165        0.00  0.3%        0.00  0.3%        0.00       0.00
  PostProcess@gravshort-tree.c:0157        0.00  0.0%        0.00  0.0%        0.00       0.00
  Recv@gravshort-tree.c:0159        0.02  2.3%        0.01  2.1%        0.00       0.02
  Send@gravshort-tree.c:0158        0.01  0.8%        0.00  0.9%        0.00       0.00
  Wait1@gravshort-tree.c:0160        0.03  3.9%        0.01  2.1%        0.00       0.02
  Wait2@gravshort-tree.c:0161        0.00  0.1%        0.00  0.1%        0.00       0.00
