# in Mpc/h Units 
# D1 = 0.585976 
# k P N P(z=0)
0.0628319 3564.33 6 10380.5
0.0888577 1989.45 12 5793.95
0.108828 1612.85 8 4697.16
0.125664 1821.54 6 5304.93
0.140496 1215.48 24 3539.88
0.153906 780.984 24 2274.48
0.177715 854.576 12 2488.81
0.188496 729.859 30 2125.59
0.198692 832.123 24 2423.42
0.20839 689.416 24 2007.81
0.217656 675.92 8 1968.5
0.226543 381.536 24 1111.16
0.235095 730.655 48 2127.91
0.251327 446.549 6 1300.5
0.262281 442.111 84 1287.58
0.273878 247.86 24 721.851
0.280993 431.92 24 1257.89
0.29019 403.141 72 1174.08
0.307812 347.056 24 1010.74
0.318551 363.576 102 1058.85
0.326484 444.917 32 1295.75
0.340674 290.456 120 845.905
0.355431 443.041 12 1290.28
0.366343 262.175 144 763.542
0.379302 183.088 54 533.212
0.389837 208.792 96 608.071
0.405099 224.866 168 654.885
0.422256 246.672 144 718.392
0.442145 153.814 146 447.958
0.456965 198.13 240 577.02
0.476937 168.755 192 491.47
0.493022 172.176 168 501.434
0.510602 165.054 270 480.693
0.527626 142.095 228 413.829
0.546637 146.957 344 427.988
0.570583 137.141 342 399.401
0.591498 141.186 456 411.181
0.616749 113.917 396 331.764
0.63768 105.44 486 307.078
0.661928 109.101 560 317.739
0.686555 98.7399 558 287.564
0.712045 99.8063 708 290.669
0.737212 97.3754 672 283.59
0.767295 87.4345 998 254.638
0.797876 92.2753 924 268.736
0.827231 79.5959 1014 231.81
0.855366 74.9056 1064 218.15
0.888745 77.3528 1434 225.277
0.922629 68.4485 1440 199.345
0.9574 66.5507 1662 193.818
0.994531 60.992 1898 177.629
1.03188 61.8102 2040 180.012
1.07175 56.8263 2378 165.497
1.11154 52.2186 2430 152.078
1.15271 56.591 2964 164.812
1.19766 49.223 3278 143.354
1.2432 49.9396 3618 145.441
1.28924 45.1965 3896 131.627
1.33879 43.5136 4770 126.726
1.3903 42.0619 4902 122.498
1.44163 39.5248 5522 115.11
1.49595 38.6009 6402 112.419
1.55328 37.05 7118 107.902
1.61149 35.9768 7634 104.776
1.67267 33.9074 9090 98.7498
1.73596 32.0346 9566 93.2954
1.80111 31.0479 11034 90.4217
1.86923 29.0673 12290 84.6536
1.94007 29.4525 13706 85.7755
2.01239 28.2487 14970 82.2695
2.08788 26.5917 17198 77.444
2.16695 25.6825 19016 74.796
2.24881 24.7256 21458 72.0093
2.33445 23.8269 24186 69.3918
2.42318 23.2436 26624 67.6931
2.51406 22.4955 29594 65.5144
2.60906 21.4998 33536 62.6146
2.70773 20.8417 37166 60.6981
2.80996 20.0875 41720 58.5014
2.91588 19.3729 46280 56.4203
3.02527 18.8666 51536 54.9459
3.13941 18.2315 58466 53.0962
3.25901 17.7493 65564 51.692
3.38216 17.0896 72080 49.7707
3.50965 17.0457 81380 49.6427
3.64194 16.6665 90070 48.5384
3.7792 16.6032 101516 48.354
3.92175 16.797 112736 48.9185
4.06885 16.9008 122371 49.2208
4.22253 16.4308 120908 47.852
4.38168 16.0126 118888 46.6342
4.54705 15.8047 115424 46.0285
4.71893 15.9543 110068 46.4642
4.89655 16.1385 101516 47.0006
5.08084 16.6274 92536 48.4245
5.27183 17.5815 78532 51.2032
5.46879 18.5142 62872 53.9195
5.67269 19.4587 43009 56.6701
5.8872 19.9871 27262 58.2091
6.10775 22.6083 16264 65.8428
6.3354 26.1805 8614 76.2464
6.56292 32.6592 3046 95.1143
6.76744 42.877 550 124.872
6.96499 33.0485 1 96.2482
