# in Mpc/h Units 
# D1 = 0.384684 
# k P N P(z=0)
0.0628319 1593.07 6 10765.3
0.0888577 917.591 12 6200.72
0.108828 715.778 8 4836.94
0.125664 745.322 6 5036.59
0.140496 533.071 24 3602.28
0.153906 360.99 24 2439.43
0.177715 360.435 12 2435.68
0.188496 320.107 30 2163.15
0.198692 348.765 24 2356.82
0.20839 296.247 24 2001.92
0.217656 299.207 8 2021.92
0.226543 184.102 24 1244.08
0.235095 274.343 48 1853.9
0.251327 174.359 6 1178.25
0.262281 184.487 84 1246.69
0.273878 118.873 24 803.297
0.280993 191.187 24 1291.97
0.29019 155.248 72 1049.11
0.307812 124.68 24 842.54
0.318551 136.812 102 924.52
0.326484 161.554 32 1091.72
0.340674 117.869 120 796.511
0.355431 147.517 12 996.861
0.366343 100.076 144 676.274
0.379302 75.0332 54 507.045
0.389837 79.6288 96 538.1
0.405099 84.6577 168 572.083
0.422256 87.7777 144 593.167
0.442145 58.8026 146 397.365
0.456965 70.8907 240 479.051
0.476937 63.3027 192 427.774
0.493022 59.8944 168 404.742
0.510602 57.8414 270 390.87
0.527626 51.3139 228 346.759
0.546637 50.2441 344 339.53
0.570583 45.4956 342 307.441
0.591498 45.0366 456 304.34
0.616749 37.0145 396 250.129
0.63768 33.5242 486 226.543
0.661928 35.327 560 238.726
0.686555 31.0986 558 210.152
0.712045 32.5329 708 219.844
0.737212 29.9448 672 202.355
0.767295 26.9929 998 182.407
0.797876 25.32 924 171.102
0.827231 23.5565 1014 159.185
0.855366 21.9464 1064 148.305
0.888745 21.708 1434 146.694
0.922629 18.1316 1440 122.526
0.9574 17.6489 1662 119.264
0.994531 16.5964 1898 112.152
1.03188 15.616 2040 105.527
1.07175 14.9088 2378 100.748
1.11154 13.3105 2430 89.9473
1.15271 13.1002 2964 88.5256
1.19766 12.3994 3278 83.7902
1.2432 11.5444 3618 78.0128
1.28924 10.407 3896 70.3264
1.33879 10.3506 4770 69.9455
1.3903 9.89621 4902 66.8746
1.44163 8.89159 5522 60.0858
1.49595 8.42219 6402 56.9138
1.55328 8.23628 7118 55.6575
1.61149 7.44951 7634 50.3409
1.67267 7.09144 9090 47.9211
1.73596 6.65617 9566 44.9798
1.80111 6.38717 11034 43.162
1.86923 6.22665 12290 42.0772
1.94007 5.98746 13706 40.4609
2.01239 5.82773 14970 39.3815
2.08788 5.45265 17198 36.8468
2.16695 5.48221 19016 37.0466
2.24881 5.2967 21458 35.793
2.33445 5.16796 24186 34.923
2.42318 5.34108 26624 36.0929
2.51406 5.33936 29594 36.0813
2.60906 5.42546 33536 36.6631
2.70773 5.48141 37166 37.0412
2.80996 5.67737 41720 38.3654
2.91588 5.90387 46280 39.896
3.02527 5.99229 51536 40.4935
3.13941 6.21121 58466 41.9729
3.25901 6.29303 65564 42.5258
3.38216 6.43662 72080 43.4961
3.50965 6.65891 81380 44.9983
3.64194 6.88184 90070 46.5047
3.7792 7.323 101516 49.486
3.92175 7.70654 112736 52.0777
4.06885 7.61517 122371 51.4603
4.22253 6.86607 120908 46.3982
4.38168 6.91393 118888 46.7216
4.54705 7.22552 115424 48.8272
4.71893 7.80753 110068 52.7602
4.89655 8.50247 101516 57.4563
5.08084 9.26598 92536 62.6158
5.27183 10.1462 78532 68.5638
5.46879 11.371 62872 76.8407
5.67269 11.6762 43009 78.9029
5.8872 12.7432 27262 86.1132
6.10775 14.818 16264 100.134
6.3354 17.8767 8614 120.804
6.56292 22.9026 3046 154.767
6.76744 29.5313 550 199.561
6.96499 1.04297 1 7.04796
