# in Mpc/h Units 
# D1 = 0.310804 
# k P N P(z=0)
0.0628319 1052.96 6 10900.3
0.0888577 613.463 12 6350.6
0.108828 471.791 8 4884
0.125664 475.834 6 4925.85
0.140496 349.398 24 3616.99
0.153906 242.889 24 2514.4
0.177715 233.548 12 2417.7
0.188496 209.619 30 2169.99
0.198692 222.636 24 2304.74
0.20839 191.085 24 1978.12
0.217656 192.138 8 1989.02
0.226543 124.774 24 1291.67
0.235095 169.168 48 1751.24
0.251327 112.087 6 1160.33
0.262281 119.003 84 1231.93
0.273878 81.5904 24 844.628
0.280993 122.73 24 1270.51
0.29019 97.7903 72 1012.33
0.307812 78.3342 24 810.919
0.318551 84.7738 102 877.583
0.326484 97.6148 32 1010.51
0.340674 74.3807 120 769.993
0.355431 86.7591 12 898.135
0.366343 62.3522 144 645.473
0.379302 48.5219 54 502.302
0.389837 50.9688 96 527.632
0.405099 52.6822 168 545.369
0.422256 53.0334 144 549.004
0.442145 37.1817 146 384.907
0.456965 42.8546 240 443.633
0.476937 39.4854 192 408.755
0.493022 35.5843 168 368.371
0.510602 34.7873 270 360.12
0.527626 31.3073 228 324.094
0.546637 29.7498 344 307.972
0.570583 26.8078 342 277.516
0.591498 26.4109 456 273.407
0.616749 21.9389 396 227.113
0.63768 20.0317 486 207.369
0.661928 20.5895 560 213.144
0.686555 18.4803 558 191.309
0.712045 18.6579 708 193.148
0.737212 16.7412 672 173.306
0.767295 15.5841 998 161.327
0.797876 13.8815 924 143.702
0.827231 13.1331 1014 135.955
0.855366 12.2588 1064 126.903
0.888745 11.704 1434 121.16
0.922629 9.66539 1440 100.057
0.9574 9.62353 1662 99.6233
0.994531 8.9982 1898 93.1498
1.03188 8.19256 2040 84.8098
1.07175 7.78872 2378 80.6293
1.11154 7.05402 2430 73.0236
1.15271 6.77277 2964 70.1121
1.19766 6.42142 3278 66.4748
1.2432 5.78802 3618 59.9179
1.28924 5.36947 3896 55.585
1.33879 5.12906 4770 53.0963
1.3903 4.78382 4902 49.5224
1.44163 4.27901 5522 44.2966
1.49595 4.047 6402 41.8947
1.55328 3.8862 7118 40.2302
1.61149 3.50884 7634 36.3237
1.67267 3.33116 9090 34.4844
1.73596 3.12456 9566 32.3457
1.80111 3.00285 11034 31.0856
1.86923 2.8588 12290 29.5945
1.94007 2.78953 13706 28.8773
2.01239 2.64939 14970 27.4266
2.08788 2.49834 17198 25.8629
2.16695 2.50074 19016 25.8878
2.24881 2.44399 21458 25.3004
2.33445 2.4248 24186 25.1016
2.42318 2.59813 26624 26.896
2.51406 2.59732 29594 26.8876
2.60906 2.81872 33536 29.1796
2.70773 2.83753 37166 29.3742
2.80996 3.31341 41720 34.3006
2.91588 3.51182 46280 36.3546
3.02527 3.74559 51536 38.7746
3.13941 4.1542 58466 43.0045
3.25901 4.56107 65564 47.2165
3.38216 4.91307 72080 50.8603
3.50965 5.19295 81380 53.7576
3.64194 5.50045 90070 56.9409
3.7792 6.2083 101516 64.2686
3.92175 6.68728 112736 69.2271
4.06885 5.79394 122371 59.9792
4.22253 4.64824 120908 48.1189
4.38168 4.77657 118888 49.4473
4.54705 5.3839 115424 55.7344
4.71893 6.17391 110068 63.9127
4.89655 7.33683 101516 75.9512
5.08084 8.46656 92536 87.6462
5.27183 9.38963 78532 97.2019
5.46879 10.4969 62872 108.664
5.67269 10.5501 43009 109.215
5.8872 11.6939 27262 121.056
6.10775 15.0023 16264 155.305
6.3354 18.8913 8614 195.563
6.56292 25.1733 3046 260.595
6.76744 29.8639 550 309.153
6.96499 0.368898 1 3.81886
