# in Mpc/h Units 
# D1 = 0.640405 
# k P N P(z=0)
0.0628319 4212.99 6 10272.6
0.0888577 2331.38 12 5684.64
0.108828 1909.67 8 4656.37
0.125664 2201.09 6 5366.95
0.140496 1442.92 24 3518.31
0.153906 917.947 24 2238.24
0.177715 1026.72 12 2503.47
0.188496 865.287 30 2109.84
0.198692 993.226 24 2421.8
0.20839 818.502 24 1995.77
0.217656 787.971 8 1921.32
0.226543 441.261 24 1075.93
0.235095 900.437 48 2195.55
0.251327 551.265 6 1344.16
0.262281 532.632 84 1298.73
0.273878 291.565 24 710.927
0.280993 503.843 24 1228.53
0.29019 497.274 72 1212.51
0.307812 440.292 24 1073.57
0.318551 447.255 102 1090.55
0.326484 550.212 32 1341.59
0.340674 350.39 120 854.362
0.355431 560.704 12 1367.17
0.366343 321.757 144 784.544
0.379302 222.796 54 543.248
0.389837 262.29 96 639.546
0.405099 279.104 168 680.543
0.422256 306.086 144 746.333
0.442145 189.781 146 462.745
0.456965 246.879 240 601.969
0.476937 212.055 192 517.057
0.493022 213.712 168 521.097
0.510602 207.119 270 505.021
0.527626 177.825 228 433.593
0.546637 184.065 344 448.808
0.570583 172.907 342 421.602
0.591498 180.298 456 439.623
0.616749 146.308 396 356.745
0.63768 136.195 486 332.086
0.661928 139.391 560 339.879
0.686555 129.118 558 314.829
0.712045 125.628 708 306.32
0.737212 124.803 672 304.308
0.767295 113.035 998 275.615
0.797876 120.736 924 294.392
0.827231 103.697 1014 252.845
0.855366 98.7299 1064 240.735
0.888745 99.9952 1434 243.82
0.922629 89.7535 1440 218.847
0.9574 88.6163 1662 216.074
0.994531 81.5765 1898 198.909
1.03188 82.1317 2040 200.263
1.07175 74.4981 2378 181.65
1.11154 68.813 2430 167.788
1.15271 76.4687 2964 186.455
1.19766 65.8034 3278 160.45
1.2432 67.4447 3618 164.452
1.28924 62.8124 3896 153.156
1.33879 59.6186 4770 145.369
1.3903 57.7521 4902 140.818
1.44163 54.6344 5522 133.216
1.49595 52.971 6402 129.16
1.55328 51.2815 7118 125.04
1.61149 49.5004 7634 120.698
1.67267 46.9891 9090 114.574
1.73596 44.6993 9566 108.991
1.80111 43.4987 11034 106.064
1.86923 40.3996 12290 98.5069
1.94007 40.0352 13706 97.6185
2.01239 38.6247 14970 94.1793
2.08788 36.2324 17198 88.3459
2.16695 35.0249 19016 85.4017
2.24881 33.6469 21458 82.0417
2.33445 32.328 24186 78.8259
2.42318 31.3164 26624 76.3592
2.51406 30.1144 29594 73.4283
2.60906 28.9831 33536 70.6699
2.70773 27.7425 37166 67.645
2.80996 26.8341 41720 65.4301
2.91588 25.2631 46280 61.5994
3.02527 24.125 51536 58.8244
3.13941 23.1664 58466 56.487
3.25901 22.4547 65564 54.7516
3.38216 21.3578 72080 52.077
3.50965 21.1155 81380 51.4863
3.64194 20.514 90070 50.0196
3.7792 20.379 101516 49.6904
3.92175 20.6362 112736 50.3176
4.06885 20.6147 122371 50.2652
4.22253 19.9455 120908 48.6334
4.38168 19.3453 118888 47.1701
4.54705 19.0767 115424 46.515
4.71893 18.7739 110068 45.7766
4.89655 18.9413 101516 46.1848
5.08084 19.5376 92536 47.6387
5.27183 20.3742 78532 49.6787
5.46879 21.5458 62872 52.5356
5.67269 21.9235 43009 53.4564
5.8872 22.2101 27262 54.1552
6.10775 24.5054 16264 59.7519
6.3354 27.657 8614 67.4365
6.56292 35.4475 3046 86.4323
6.76744 44.3003 550 108.018
6.96499 293.211 1 714.942
