# in Mpc/h Units 
# D1 = 0.0193793 
# k P N P(z=0)
0.0628319 4.28062 6 11398.1
0.0888577 2.61477 12 6962.39
0.108828 1.90926 8 5083.82
0.125664 1.67843 6 4469.19
0.140496 1.36911 24 3645.55
0.153906 1.10096 24 2931.55
0.177715 0.898284 12 2391.88
0.188496 0.831512 30 2214.08
0.198692 0.759612 24 2022.63
0.20839 0.67755 24 1804.12
0.217656 0.615994 8 1640.22
0.226543 0.563405 24 1500.19
0.235095 0.537749 48 1431.87
0.251327 0.472232 6 1257.42
0.262281 0.442185 84 1177.42
0.273878 0.394711 24 1051
0.280993 0.386423 24 1028.94
0.29019 0.356846 72 950.181
0.307812 0.32059 24 853.641
0.318551 0.299444 102 797.336
0.326484 0.28404 32 756.318
0.340674 0.26154 120 696.408
0.355431 0.246491 12 656.337
0.366343 0.226034 144 601.864
0.379302 0.205225 54 546.456
0.389837 0.203759 96 542.552
0.405099 0.182558 168 486.1
0.422256 0.169468 144 451.246
0.442145 0.152883 146 407.085
0.456965 0.142697 240 379.962
0.476937 0.130686 192 347.98
0.493022 0.119843 168 319.109
0.510602 0.113264 270 301.59
0.527626 0.10683 228 284.458
0.546637 0.0974485 344 259.478
0.570583 0.0896477 342 238.706
0.591498 0.083364 456 221.975
0.616749 0.0750372 396 199.803
0.63768 0.0691968 486 184.251
0.661928 0.0645796 560 171.957
0.686555 0.058689 558 156.272
0.712045 0.0546329 708 145.472
0.737212 0.0502721 672 133.861
0.767295 0.046713 998 124.384
0.797876 0.0423613 924 112.796
0.827231 0.0391658 1014 104.287
0.855366 0.0360841 1064 96.0818
0.888745 0.033443 1434 89.0493
0.922629 0.0304242 1440 81.011
0.9574 0.0278929 1662 74.2709
0.994531 0.025436 1898 67.7289
1.03188 0.0236831 2040 63.0615
1.07175 0.0215585 2378 57.4042
1.11154 0.0201878 2430 53.7545
1.15271 0.0183197 2964 48.7803
1.19766 0.0168458 3278 44.8555
1.2432 0.0156271 3618 41.6106
1.28924 0.0142167 3896 37.8551
1.33879 0.0131557 4770 35.0299
1.3903 0.0121185 4902 32.2681
1.44163 0.0112283 5522 29.8978
1.49595 0.0103437 6402 27.5423
1.55328 0.00962328 7118 25.6241
1.61149 0.00881494 7634 23.4717
1.67267 0.00834268 9090 22.2142
1.73596 0.00778513 9566 20.7296
1.80111 0.00736565 11034 19.6126
1.86923 0.00693792 12290 18.4737
1.94007 0.00672106 13706 17.8963
2.01239 0.00637624 14970 16.9781
2.08788 0.00625256 17198 16.6488
2.16695 0.00642318 19016 17.1031
2.24881 0.00641594 21458 17.0838
2.33445 0.00659011 24186 17.5476
2.42318 0.00723301 26624 19.2595
2.51406 0.00785404 29594 20.9131
2.60906 0.00888751 33536 23.6649
2.70773 0.0104445 37166 27.8108
2.80996 0.0133793 41720 35.6252
2.91588 0.0169001 46280 45.0003
3.02527 0.0218193 51536 58.0987
3.13941 0.0315728 58466 84.0693
3.25901 0.0480789 65564 128.021
3.38216 0.0776702 72080 206.814
3.50965 0.125853 81380 335.112
3.64194 0.286528 90070 762.944
3.7792 1.03632 101516 2759.44
3.92175 4.95656 112736 13197.9
4.06885 31.5722 122371 84067.8
4.22253 0.0180535 120908 48.0713
4.38168 0.0241269 118888 64.2431
4.54705 0.0376014 115424 100.122
4.71893 0.0681944 110068 181.582
4.89655 0.144577 101516 384.968
5.08084 0.373294 92536 993.977
5.27183 1.17833 78532 3137.57
5.46879 9.36752 62872 24943.1
5.67269 82.3843 43009 219366
5.8872 0.173453 27262 461.856
6.10775 0.573392 16264 1526.78
6.3354 2.9148 8614 7761.3
6.56292 25.237 3046 67199
6.76744 1665.13 550 4.43376e+06
6.96499 175420 1 4.67094e+08
