# in Mpc/h Units 
# D1 = 0.0227938 
# k P N P(z=0)
0.0628319 5.92069 6 11395.6
0.0888577 3.61247 12 6952.95
0.108828 2.63721 8 5075.86
0.125664 2.31525 6 4456.18
0.140496 1.89442 24 3646.21
0.153906 1.5249 24 2934.99
0.177715 1.24441 12 2395.13
0.188496 1.15148 30 2216.26
0.198692 1.04538 24 2012.05
0.20839 0.933827 24 1797.35
0.217656 0.85414 8 1643.97
0.226543 0.777994 24 1497.41
0.235095 0.7437 48 1431.41
0.251327 0.668321 6 1286.32
0.262281 0.614108 84 1181.98
0.273878 0.549922 24 1058.44
0.280993 0.527778 24 1015.82
0.29019 0.492638 72 948.186
0.307812 0.442045 24 850.808
0.318551 0.417066 102 802.731
0.326484 0.396151 32 762.475
0.340674 0.3621 120 696.937
0.355431 0.335204 12 645.171
0.366343 0.31087 144 598.335
0.379302 0.289479 54 557.162
0.389837 0.277244 96 533.614
0.405099 0.253183 168 487.304
0.422256 0.233099 144 448.648
0.442145 0.211295 146 406.682
0.456965 0.197071 240 379.304
0.476937 0.18053 192 347.468
0.493022 0.166467 168 320.4
0.510602 0.156493 270 301.204
0.527626 0.145741 228 280.509
0.546637 0.134395 344 258.672
0.570583 0.122953 342 236.649
0.591498 0.113681 456 218.802
0.616749 0.103324 396 198.869
0.63768 0.0959608 486 184.697
0.661928 0.0882484 560 169.853
0.686555 0.0808722 558 155.656
0.712045 0.0753469 708 145.021
0.737212 0.0690691 672 132.938
0.767295 0.0637281 998 122.658
0.797876 0.0581445 924 111.911
0.827231 0.0538226 1014 103.593
0.855366 0.049588 1064 95.4425
0.888745 0.0456282 1434 87.821
0.922629 0.0415675 1440 80.0053
0.9574 0.0379516 1662 73.0459
0.994531 0.034789 1898 66.9587
1.03188 0.0322953 2040 62.159
1.07175 0.0296256 2378 57.0207
1.11154 0.0273886 2430 52.7151
1.15271 0.0249525 2964 48.0264
1.19766 0.0227618 3278 43.8098
1.2432 0.0211448 3618 40.6977
1.28924 0.0193079 3896 37.1621
1.33879 0.0177622 4770 34.1871
1.3903 0.0163943 4902 31.5542
1.44163 0.0151146 5522 29.0913
1.49595 0.013794 6402 26.5494
1.55328 0.0128329 7118 24.6996
1.61149 0.011804 7634 22.7193
1.67267 0.0110921 9090 21.3492
1.73596 0.01041 9566 20.0362
1.80111 0.0096922 11034 18.6547
1.86923 0.00920333 12290 17.7137
1.94007 0.00885221 13706 17.0379
2.01239 0.00832454 14970 16.0223
2.08788 0.0081852 17198 15.7541
2.16695 0.00844938 19016 16.2626
2.24881 0.00838621 21458 16.141
2.33445 0.00852701 24186 16.412
2.42318 0.00943409 26624 18.1579
2.51406 0.0101798 29594 19.5931
2.60906 0.0116321 33536 22.3884
2.70773 0.0136488 37166 26.27
2.80996 0.017654 41720 33.9787
2.91588 0.0221437 46280 42.6201
3.02527 0.028753 51536 55.3412
3.13941 0.0425243 58466 81.847
3.25901 0.0651546 65564 125.404
3.38216 0.105236 72080 202.549
3.50965 0.178931 81380 344.391
3.64194 0.409392 90070 787.961
3.7792 1.54633 101516 2976.25
3.92175 7.62952 112736 14684.6
4.06885 6.74183 122371 12976.1
4.22253 0.0155189 120908 29.8694
4.38168 0.0211312 118888 40.6715
4.54705 0.03222 115424 62.0142
4.71893 0.0554027 110068 106.634
4.89655 0.114403 101516 220.192
5.08084 0.268437 92536 516.662
5.27183 0.76681 78532 1475.89
5.46879 5.46298 62872 10514.6
5.67269 15.7672 43009 30347.2
5.8872 0.0945361 27262 181.954
6.10775 0.296482 16264 570.643
6.3354 1.3286 8614 2557.18
6.56292 10.833 3046 20850.4
6.76744 218.456 550 420464
6.96499 15407.7 1 2.96554e+07
