# in Mpc/h Units 
# D1 = 0.0164822 
# k P N P(z=0)
0.0628319 3.09784 6 11403.2
0.0888577 1.89342 12 6969.72
0.108828 1.37889 8 5075.7
0.125664 1.21322 6 4465.88
0.140496 0.99156 24 3649.95
0.153906 0.798395 24 2938.9
0.177715 0.651469 12 2398.07
0.188496 0.601976 30 2215.88
0.198692 0.543994 24 2002.45
0.20839 0.486535 24 1790.94
0.217656 0.445492 8 1639.86
0.226543 0.40449 24 1488.93
0.235095 0.389641 48 1434.27
0.251327 0.344416 6 1267.8
0.262281 0.322074 84 1185.56
0.273878 0.288869 24 1063.33
0.280993 0.276696 24 1018.52
0.29019 0.257759 72 948.814
0.307812 0.232907 24 857.335
0.318551 0.219228 102 806.981
0.326484 0.208305 32 766.773
0.340674 0.189367 120 697.064
0.355431 0.175133 12 644.666
0.366343 0.162955 144 599.839
0.379302 0.151742 54 558.566
0.389837 0.145135 96 534.244
0.405099 0.133038 168 489.714
0.422256 0.122399 144 450.553
0.442145 0.110522 146 406.832
0.456965 0.102875 240 378.683
0.476937 0.0948276 192 349.062
0.493022 0.0878836 168 323.501
0.510602 0.0823193 270 303.019
0.527626 0.0764677 228 281.479
0.546637 0.0707155 344 260.305
0.570583 0.0643746 342 236.964
0.591498 0.0596358 456 219.52
0.616749 0.054527 396 200.715
0.63768 0.0507444 486 186.791
0.661928 0.0465211 560 171.245
0.686555 0.0427763 558 157.46
0.712045 0.0396645 708 146.005
0.737212 0.0365851 672 134.67
0.767295 0.0335665 998 123.559
0.797876 0.0308503 924 113.56
0.827231 0.0285826 1014 105.213
0.855366 0.0263076 1064 96.8386
0.888745 0.024239 1434 89.224
0.922629 0.0221886 1440 81.6767
0.9574 0.0202063 1662 74.3796
0.994531 0.0185479 1898 68.2749
1.03188 0.0172179 2040 63.3793
1.07175 0.0157827 2378 58.0965
1.11154 0.0147043 2430 54.1266
1.15271 0.0133519 2964 49.1486
1.19766 0.012231 3278 45.0225
1.2432 0.0113473 3618 41.7696
1.28924 0.0104156 3896 38.34
1.33879 0.00958661 4770 35.2884
1.3903 0.00881953 4902 32.4648
1.44163 0.008196 5522 30.1696
1.49595 0.00748376 6402 27.5478
1.55328 0.00699345 7118 25.743
1.61149 0.00642921 7634 23.666
1.67267 0.00607288 9090 22.3544
1.73596 0.00572075 9566 21.0581
1.80111 0.00535341 11034 19.706
1.86923 0.00508674 12290 18.7243
1.94007 0.00488962 13706 17.9988
2.01239 0.00461886 14970 17.0021
2.08788 0.00454697 17198 16.7374
2.16695 0.00468259 19016 17.2367
2.24881 0.00465139 21458 17.1218
2.33445 0.00472457 24186 17.3912
2.42318 0.00525483 26624 19.3431
2.51406 0.00560798 29594 20.6431
2.60906 0.00643775 33536 23.6974
2.70773 0.0075387 37166 27.7501
2.80996 0.00967886 41720 35.628
2.91588 0.0121358 46280 44.6721
3.02527 0.0156136 51536 57.4739
3.13941 0.0229169 58466 84.3573
3.25901 0.0350678 65564 129.085
3.38216 0.0566361 72080 208.478
3.50965 0.0941183 81380 346.451
3.64194 0.21438 90070 789.134
3.7792 0.784152 101516 2886.47
3.92175 3.88758 112736 14310.2
4.06885 20.8174 122371 76629.1
4.22253 0.0106699 120908 39.276
4.38168 0.0143473 118888 52.8127
4.54705 0.0218217 115424 80.326
4.71893 0.0380943 110068 140.226
4.89655 0.0796066 101516 293.033
5.08084 0.196949 92536 724.972
5.27183 0.586282 78532 2158.11
5.46879 5.09515 62872 18755.3
5.67269 17.5054 43009 64437.5
5.8872 0.066215 27262 243.738
6.10775 0.198145 16264 729.375
6.3354 0.833631 8614 3068.61
6.56292 6.72322 3046 24748.3
6.76744 157.615 550 580184
6.96499 238.766 1 878903
