# in Mpc/h Units 
# D1 = 0.891537 
# k P N P(z=0)
0.0628319 7763.71 6 9767.67
0.0888577 4127.61 12 5193.02
0.108828 3537.15 8 4450.15
0.125664 4445.75 6 5593.28
0.140496 2707.95 24 3406.92
0.153906 1676.07 24 2108.69
0.177715 2047.27 12 2575.7
0.188496 1607.07 30 2021.88
0.198692 1839.49 24 2314.29
0.20839 1508.09 24 1897.35
0.217656 1252.13 8 1575.32
0.226543 743.002 24 934.784
0.235095 1933.03 48 2431.98
0.251327 1241.58 6 1562.05
0.262281 1078.04 84 1356.31
0.273878 605.207 24 761.421
0.280993 838.414 24 1054.82
0.29019 1105.59 72 1390.96
0.307812 1091.96 24 1373.81
0.318551 948.902 102 1193.83
0.326484 1176.51 32 1480.19
0.340674 717.97 120 903.291
0.355431 1305.71 12 1642.73
0.366343 686.999 144 864.326
0.379302 503.403 54 633.34
0.389837 654.328 96 823.222
0.405099 655.022 168 824.095
0.422256 644.618 144 811.006
0.442145 422.659 146 531.755
0.456965 572.11 240 719.782
0.476937 550.479 192 692.567
0.493022 459.495 168 578.099
0.510602 502.966 270 632.79
0.527626 420.244 228 528.717
0.546637 429.838 344 540.787
0.570583 421.17 342 529.881
0.591498 432.491 456 544.125
0.616749 376.615 396 473.827
0.63768 360.312 486 453.315
0.661928 352.811 560 443.878
0.686555 345.042 558 434.104
0.712045 293.244 708 368.935
0.737212 322.466 672 405.7
0.767295 299.026 998 376.21
0.797876 305.932 924 384.898
0.827231 274.07 1014 344.812
0.855366 278.754 1064 350.706
0.888745 262.311 1434 330.018
0.922629 251.952 1440 316.986
0.9574 233.968 1662 294.36
0.994531 241.847 1898 304.272
1.03188 236.616 2040 297.691
1.07175 216.923 2378 272.915
1.11154 201.204 2430 253.138
1.15271 204.046 2964 256.713
1.19766 188.888 3278 237.644
1.2432 186.522 3618 234.666
1.28924 180.936 3896 227.638
1.33879 173.839 4770 218.71
1.3903 168.449 4902 211.928
1.44163 161.848 5522 203.624
1.49595 159.762 6402 201
1.55328 154.399 7118 194.252
1.61149 145.136 7634 182.598
1.67267 137.181 9090 172.589
1.73596 138.044 9566 173.676
1.80111 131.436 11034 165.363
1.86923 120.579 12290 151.702
1.94007 116.448 13706 146.506
2.01239 111.882 14970 140.761
2.08788 105.386 17198 132.588
2.16695 102.8 19016 129.334
2.24881 97.5787 21458 122.766
2.33445 92.6756 24186 116.597
2.42318 86.0312 26624 108.237
2.51406 81.9783 29594 103.138
2.60906 77.7007 33536 97.7566
2.70773 73.8891 37166 92.9612
2.80996 69.5132 41720 87.4558
2.91588 65.4843 46280 82.3869
3.02527 63.0851 51536 79.3685
3.13941 59.9909 58466 75.4757
3.25901 56.7081 65564 71.3455
3.38216 53.6214 72080 67.4621
3.50965 51.612 81380 64.9339
3.64194 50.0789 90070 63.0051
3.7792 48.3877 101516 60.8775
3.92175 48.2155 112736 60.6607
4.06885 47.9727 122371 60.3552
4.22253 45.8167 120908 57.6428
4.38168 43.978 118888 55.3296
4.54705 42.8454 115424 53.9045
4.71893 41.8995 110068 52.7145
4.89655 40.9027 101516 51.4604
5.08084 40.8038 92536 51.336
5.27183 41.6981 78532 52.4611
5.46879 44.0945 62872 55.4761
5.67269 44.1103 43009 55.496
5.8872 42.7592 27262 53.796
6.10775 45.6107 16264 57.3836
6.3354 50.4271 8614 63.4432
6.56292 58.1798 3046 73.197
6.76744 68.3766 550 86.0258
6.96499 244.572 1 307.7
