# in Mpc/h Units 
# D1 = 0.171136 
# k P N P(z=0)
0.0628319 326.395 6 11144.5
0.0888577 194.319 12 6634.89
0.108828 145.516 8 4968.53
0.125664 137.865 6 4707.31
0.140496 106.447 24 3634.58
0.153906 78.572 24 2682.79
0.177715 70.0489 12 2391.77
0.188496 63.8645 30 2180.61
0.198692 63.7678 24 2177.31
0.20839 55.7709 24 1904.26
0.217656 54.3302 8 1855.07
0.226543 40.4023 24 1379.51
0.235095 46.0408 48 1572.03
0.251327 34.5746 6 1180.53
0.262281 35.2771 84 1204.51
0.273878 27.3687 24 934.486
0.280993 34.5889 24 1181.02
0.29019 28.1482 72 961.101
0.307812 23.3234 24 796.363
0.318551 23.7708 102 811.638
0.326484 25.5094 32 871.001
0.340674 21.083 120 719.864
0.355431 21.8568 12 746.285
0.366343 17.5929 144 600.698
0.379302 14.9043 54 508.897
0.389837 15.2714 96 521.432
0.405099 14.7384 168 503.232
0.422256 14.0852 144 480.929
0.442145 11.0968 146 378.892
0.456965 11.4598 240 391.288
0.476937 10.909 192 372.479
0.493022 9.33074 168 318.592
0.510602 9.21322 270 314.579
0.527626 8.48079 228 289.571
0.546637 7.75448 344 264.771
0.570583 7.0612 342 241.1
0.591498 6.8049 456 232.349
0.616749 5.83239 396 199.143
0.63768 5.47284 486 186.866
0.661928 5.15679 560 176.075
0.686555 4.75434 558 162.334
0.712045 4.45029 708 151.952
0.737212 3.91035 672 133.516
0.767295 3.83629 998 130.988
0.797876 3.33421 924 113.844
0.827231 3.08121 1014 105.206
0.855366 2.81056 1064 95.9646
0.888745 2.65142 1434 90.531
0.922629 2.22182 1440 75.8625
0.9574 2.17711 1662 74.3359
0.994531 1.91795 1898 65.4872
1.03188 1.8392 2040 62.7981
1.07175 1.64212 2378 56.0692
1.11154 1.59076 2430 54.3155
1.15271 1.40905 2964 48.1111
1.19766 1.27977 3278 43.697
1.2432 1.12311 3618 38.3477
1.28924 1.09998 3896 37.5581
1.33879 0.965084 4770 32.9521
1.3903 0.903956 4902 30.865
1.44163 0.814696 5522 27.8173
1.49595 0.765576 6402 26.1401
1.55328 0.668039 7118 22.8097
1.61149 0.649814 7634 22.1875
1.67267 0.578517 9090 19.7531
1.73596 0.547753 9566 18.7027
1.80111 0.519252 11034 17.7295
1.86923 0.49497 12290 16.9004
1.94007 0.472268 13706 16.1253
2.01239 0.444266 14970 15.1691
2.08788 0.433148 17198 14.7895
2.16695 0.434835 19016 14.8471
2.24881 0.446665 21458 15.2511
2.33445 0.442042 24186 15.0932
2.42318 0.516962 26624 17.6513
2.51406 0.534569 29594 18.2525
2.60906 0.619006 33536 21.1355
2.70773 0.685981 37166 23.4223
2.80996 0.896711 41720 30.6176
2.91588 1.07652 46280 36.757
3.02527 1.31317 51536 44.8373
3.13941 1.79705 58466 61.3591
3.25901 2.5678 65564 87.6759
3.38216 3.33511 72080 113.875
3.50965 4.5429 81380 155.114
3.64194 6.01794 90070 205.478
3.7792 8.93255 101516 304.996
3.92175 9.59751 112736 327.7
4.06885 3.80034 122371 129.76
4.22253 1.3574 120908 46.3475
4.38168 1.76198 118888 60.1616
4.54705 2.66207 115424 90.8947
4.71893 4.1997 110068 143.396
4.89655 6.86922 101516 234.545
5.08084 11.0127 92536 376.021
5.27183 15.5337 78532 530.389
5.46879 20.6135 62872 703.834
5.67269 12.3821 43009 422.778
5.8872 13.7571 27262 469.728
6.10775 29.6108 16264 1011.04
6.3354 64.2345 8614 2193.24
6.56292 125.961 3046 4300.84
6.76744 196.415 550 6706.47
6.96499 43.9514 1 1500.69
