# in Mpc/h Units 
# D1 = 0.162052 
# k P N P(z=0)
0.0628319 293.072 6 11160.1
0.0888577 174.728 12 6653.6
0.108828 130.622 8 4974.04
0.125664 123.24 6 4692.94
0.140496 95.4563 24 3634.95
0.153906 70.7652 24 2694.72
0.177715 62.795 12 2391.22
0.188496 57.2782 30 2181.14
0.198692 56.9436 24 2168.4
0.20839 49.854 24 1898.43
0.217656 48.4274 8 1844.1
0.226543 36.3809 24 1385.37
0.235095 41.0099 48 1561.64
0.251327 31.0774 6 1183.42
0.262281 31.5946 84 1203.11
0.273878 24.7196 24 941.314
0.280993 30.8081 24 1173.16
0.29019 25.169 72 958.43
0.307812 20.9491 24 797.735
0.318551 21.2443 102 808.978
0.326484 22.6522 32 862.59
0.340674 18.8421 120 717.504
0.355431 19.4313 12 739.94
0.366343 15.7356 144 599.208
0.379302 13.4013 54 510.318
0.389837 13.692 96 521.386
0.405099 13.1525 168 500.843
0.422256 12.543 144 477.635
0.442145 9.97136 146 379.707
0.456965 10.2258 240 389.394
0.476937 9.71573 192 369.972
0.493022 8.31687 168 316.704
0.510602 8.1893 270 311.846
0.527626 7.57003 228 288.265
0.546637 6.90765 344 263.041
0.570583 6.30044 342 239.919
0.591498 6.04932 456 230.356
0.616749 5.19371 396 197.775
0.63768 4.88567 486 186.045
0.661928 4.58066 560 174.43
0.686555 4.20652 558 160.183
0.712045 3.94189 708 150.106
0.737212 3.47285 672 132.245
0.767295 3.40196 998 129.546
0.797876 2.96192 924 112.789
0.827231 2.73417 1014 104.117
0.855366 2.47318 1064 94.1781
0.888745 2.34586 1434 89.3297
0.922629 1.97967 1440 75.3855
0.9574 1.91711 1662 73.003
0.994531 1.69413 1898 64.5122
1.03188 1.62011 2040 61.6935
1.07175 1.45317 2378 55.3362
1.11154 1.41312 2430 53.8111
1.15271 1.23926 2964 47.1908
1.19766 1.12521 3278 42.8478
1.2432 0.983013 3618 37.4329
1.28924 0.97153 3896 36.9956
1.33879 0.846868 4770 32.2485
1.3903 0.796927 4902 30.3468
1.44163 0.720573 5522 27.4392
1.49595 0.667418 6402 25.4151
1.55328 0.589471 7118 22.4469
1.61149 0.569435 7634 21.6839
1.67267 0.508789 9090 19.3746
1.73596 0.479643 9566 18.2647
1.80111 0.460965 11034 17.5534
1.86923 0.434268 12290 16.5368
1.94007 0.414971 13706 15.802
2.01239 0.387354 14970 14.7503
2.08788 0.37988 17198 14.4657
2.16695 0.378503 19016 14.4133
2.24881 0.39261 21458 14.9505
2.33445 0.38987 24186 14.8461
2.42318 0.452103 26624 17.216
2.51406 0.472105 29594 17.9776
2.60906 0.548976 33536 20.9048
2.70773 0.622693 37166 23.712
2.80996 0.809241 41720 30.8157
2.91588 0.980937 46280 37.3538
3.02527 1.20257 51536 45.7934
3.13941 1.65003 58466 62.8325
3.25901 2.35445 65564 89.657
3.38216 3.22325 72080 122.74
3.50965 4.33379 81380 165.03
3.64194 6.17825 90070 235.266
3.7792 9.34378 101516 355.809
3.92175 10.3154 112736 392.807
4.06885 3.65363 122371 139.129
4.22253 1.20395 120908 45.846
4.38168 1.57474 118888 59.9657
4.54705 2.43437 115424 92.7001
4.71893 3.93448 110068 149.824
4.89655 6.6382 101516 252.781
5.08084 11.0941 92536 422.461
5.27183 16.5528 78532 630.327
5.46879 22.5554 62872 858.905
5.67269 12.7838 43009 486.802
5.8872 13.2409 27262 504.211
6.10775 30.137 16264 1147.61
6.3354 70.9335 8614 2701.13
6.56292 146.093 3046 5563.2
6.76744 249.45 550 9499.01
6.96499 849.177 1 32336.4
