# in Mpc/h Units 
# D1 = 0.0676545 
# k P N P(z=0)
0.0628319 51.8027 6 11317.7
0.0888577 31.3344 12 6845.86
0.108828 23.0603 8 5038.14
0.125664 20.8547 6 4556.27
0.140496 16.6727 24 3642.6
0.153906 12.9704 24 2833.75
0.177715 10.9068 12 2382.89
0.188496 10.059 30 2197.66
0.198692 9.48429 24 2072.1
0.20839 8.46812 24 1850.09
0.217656 7.86913 8 1719.23
0.226543 6.62765 24 1447.99
0.235095 6.71994 48 1468.15
0.251327 5.59775 6 1222.98
0.262281 5.40131 84 1180.06
0.273878 4.6567 24 1017.38
0.280993 4.93521 24 1078.23
0.29019 4.31307 72 942.307
0.307812 3.77975 24 825.789
0.318551 3.62138 102 791.189
0.326484 3.58556 32 783.364
0.340674 3.1956 120 698.167
0.355431 3.09513 12 676.216
0.366343 2.6992 144 589.714
0.379302 2.43483 54 531.954
0.389837 2.42186 96 529.12
0.405099 2.22566 168 486.256
0.422256 2.07258 144 452.812
0.442145 1.78844 146 390.734
0.456965 1.72163 240 376.137
0.476937 1.61937 192 353.796
0.493022 1.40746 168 307.498
0.510602 1.37348 270 300.073
0.527626 1.28375 228 280.47
0.546637 1.16264 344 254.011
0.570583 1.07416 342 234.68
0.591498 0.995209 456 217.431
0.616749 0.889592 396 194.355
0.63768 0.842423 486 184.05
0.661928 0.761411 560 166.351
0.686555 0.69843 558 152.591
0.712045 0.646376 708 141.218
0.737212 0.584619 672 127.726
0.767295 0.555908 998 121.453
0.797876 0.498651 924 108.944
0.827231 0.460469 1014 100.602
0.855366 0.414126 1064 90.477
0.888745 0.3842 1434 83.939
0.922629 0.338868 1440 74.0348
0.9574 0.315438 1662 68.9161
0.994531 0.282131 1898 61.6392
1.03188 0.273208 2040 59.6896
1.07175 0.239041 2378 52.2249
1.11154 0.23084 2430 50.4333
1.15271 0.202153 2964 44.1658
1.19766 0.183814 3278 40.1592
1.2432 0.167078 3618 36.5028
1.28924 0.157406 3896 34.3895
1.33879 0.141942 4770 31.0111
1.3903 0.131642 4902 28.7607
1.44163 0.118668 5522 25.9263
1.49595 0.107226 6402 23.4265
1.55328 0.0993068 7118 21.6963
1.61149 0.0906539 7634 19.8058
1.67267 0.0848153 9090 18.5302
1.73596 0.0790807 9566 17.2773
1.80111 0.074692 11034 16.3185
1.86923 0.0691816 12290 15.1146
1.94007 0.0668364 13706 14.6022
2.01239 0.063466 14970 13.8659
2.08788 0.0620369 17198 13.5536
2.16695 0.0640231 19016 13.9876
2.24881 0.0651169 21458 14.2266
2.33445 0.0662336 24186 14.4705
2.42318 0.0742897 26624 16.2306
2.51406 0.0820973 29594 17.9364
2.60906 0.094141 33536 20.5677
2.70773 0.110501 37166 24.142
2.80996 0.143631 41720 31.3801
2.91588 0.178746 46280 39.0519
3.02527 0.231759 51536 50.634
3.13941 0.344531 58466 75.2721
3.25901 0.51974 65564 113.551
3.38216 0.840283 72080 183.583
3.50965 1.29666 81380 283.292
3.64194 2.88302 90070 629.875
3.7792 8.04268 101516 1757.14
3.92175 21.5022 112736 4697.75
4.06885 11.2777 122371 2463.92
4.22253 0.199511 120908 43.5886
4.38168 0.276388 118888 60.3845
4.54705 0.464753 115424 101.538
4.71893 0.870102 110068 190.098
4.89655 1.92065 101516 419.617
5.08084 4.73376 92536 1034.22
5.27183 12.8693 78532 2811.66
5.46879 55.651 62872 12158.5
5.67269 73.7463 43009 16111.9
5.8872 3.50038 27262 764.754
6.10775 11.9197 16264 2604.19
6.3354 61.8264 8614 13507.7
6.56292 411.444 3046 89891.1
6.76744 4059.43 550 886894
6.96499 79291.9 1 1.73235e+07
