# in Mpc/h Units 
# D1 = 0.36484 
# k P N P(z=0)
0.0628319 1437.82 6 10801.9
0.0888577 830.719 12 6240.94
0.108828 645.551 8 4849.82
0.125664 666.537 6 5007.48
0.140496 480.075 24 3606.66
0.153906 327.283 24 2458.78
0.177715 323.535 12 2430.62
0.188496 288.207 30 2165.21
0.198692 312.034 24 2344.21
0.20839 265.767 24 1996.63
0.217656 268.318 8 2015.79
0.226543 167.297 24 1256.85
0.235095 243.066 48 1826.08
0.251327 155.972 6 1171.77
0.262281 165.411 84 1242.68
0.273878 108.336 24 813.898
0.280993 171.426 24 1287.87
0.29019 138.27 72 1038.78
0.307812 110.805 24 832.44
0.318551 121.301 102 911.3
0.326484 142.437 32 1070.08
0.340674 105.118 120 789.721
0.355431 129.054 12 969.542
0.366343 88.8759 144 667.697
0.379302 67.2849 54 505.49
0.389837 71.1655 96 534.644
0.405099 75.1788 168 564.794
0.422256 77.3161 144 580.852
0.442145 52.3928 146 393.611
0.456965 62.4633 240 469.267
0.476937 56.2759 192 422.783
0.493022 52.5168 168 394.542
0.510602 50.8867 270 382.296
0.527626 45.3153 228 340.439
0.546637 44.0229 344 330.73
0.570583 39.7712 342 298.788
0.591498 39.3252 456 295.438
0.616749 32.4016 396 243.423
0.63768 29.389 486 220.79
0.661928 30.8114 560 231.477
0.686555 27.2518 558 204.734
0.712045 28.2754 708 212.424
0.737212 25.865 672 194.316
0.767295 23.4809 998 176.405
0.797876 21.6867 924 162.925
0.827231 20.3273 1014 152.713
0.855366 18.9608 1064 142.447
0.888745 18.5588 1434 139.427
0.922629 15.4327 1440 115.941
0.9574 15.1131 1662 113.54
0.994531 14.2156 1898 106.797
1.03188 13.2202 2040 99.3196
1.07175 12.6468 2378 95.0118
1.11154 11.3095 2430 84.9644
1.15271 11.0646 2964 83.1248
1.19766 10.5029 3278 78.9047
1.2432 9.67473 3618 72.6832
1.28924 8.78266 3896 65.9814
1.33879 8.6882 4770 65.2717
1.3903 8.2278 4902 61.8129
1.44163 7.36543 5522 55.3342
1.49595 6.95685 6402 52.2646
1.55328 6.81281 7118 51.1825
1.61149 6.1204 7634 45.9807
1.67267 5.8324 9090 43.817
1.73596 5.4623 9566 41.0366
1.80111 5.25939 11034 39.5121
1.86923 5.11709 12290 38.4431
1.94007 4.93147 13706 37.0486
2.01239 4.77497 14970 35.8728
2.08788 4.44434 17198 33.389
2.16695 4.49603 19016 33.7773
2.24881 4.33557 21458 32.5718
2.33445 4.25807 24186 31.9895
2.42318 4.44106 26624 33.3643
2.51406 4.43055 29594 33.2854
2.60906 4.58986 33536 34.4822
2.70773 4.65217 37166 34.9503
2.80996 4.92848 41720 37.0261
2.91588 5.1415 46280 38.6264
3.02527 5.28322 51536 39.6911
3.13941 5.55961 58466 41.7676
3.25901 5.73034 65564 43.0503
3.38216 5.91691 72080 44.4519
3.50965 6.14831 81380 46.1903
3.64194 6.44322 90070 48.4059
3.7792 6.81037 101516 51.1642
3.92175 7.35815 112736 55.2795
4.06885 7.05398 122371 52.9943
4.22253 6.20276 120908 46.5994
4.38168 6.26572 118888 47.0724
4.54705 6.6405 115424 49.888
4.71893 7.24653 110068 54.4409
4.89655 7.99717 101516 60.0802
5.08084 8.87871 92536 66.7029
5.27183 9.62238 78532 72.2899
5.46879 10.8076 62872 81.1945
5.67269 11.186 43009 84.0367
5.8872 12.0474 27262 90.5081
6.10775 14.1199 16264 106.078
6.3354 17.3419 8614 130.285
6.56292 23.6381 3046 177.586
6.76744 29.683 550 222.999
6.96499 0.42291 1 3.17719
