# in Mpc/h Units 
# D1 = 0.0183602 
# k P N P(z=0)
0.0628319 3.84492 6 11405.9
0.0888577 2.34638 12 6960.52
0.108828 1.71411 8 5084.9
0.125664 1.48887 6 4416.72
0.140496 1.23207 24 3654.94
0.153906 0.980493 24 2908.63
0.177715 0.806081 12 2391.24
0.188496 0.741206 30 2198.78
0.198692 0.687471 24 2039.38
0.20839 0.609628 24 1808.46
0.217656 0.553196 8 1641.05
0.226543 0.506094 24 1501.32
0.235095 0.485342 48 1439.76
0.251327 0.438935 6 1302.1
0.262281 0.397603 84 1179.49
0.273878 0.348884 24 1034.96
0.280993 0.354144 24 1050.57
0.29019 0.320361 72 950.35
0.307812 0.287002 24 851.391
0.318551 0.269226 102 798.659
0.326484 0.255663 32 758.422
0.340674 0.236669 120 702.077
0.355431 0.227511 12 674.911
0.366343 0.203812 144 604.607
0.379302 0.180832 54 536.437
0.389837 0.179642 96 532.907
0.405099 0.164947 168 489.314
0.422256 0.151734 144 450.118
0.442145 0.139097 146 412.631
0.456965 0.127566 240 378.425
0.476937 0.119147 192 353.449
0.493022 0.107597 168 319.187
0.510602 0.101002 270 299.621
0.527626 0.0958399 228 284.309
0.546637 0.0874933 344 259.549
0.570583 0.0806894 342 239.365
0.591498 0.0760593 456 225.63
0.616749 0.067921 396 201.487
0.63768 0.0622974 486 184.805
0.661928 0.0581435 560 172.482
0.686555 0.0527548 558 156.497
0.712045 0.0487712 708 144.68
0.737212 0.0456001 672 135.273
0.767295 0.0424368 998 125.889
0.797876 0.0381472 924 113.163
0.827231 0.0352359 1014 104.527
0.855366 0.0327266 1064 97.0834
0.888745 0.0302671 1434 89.7873
0.922629 0.0272499 1440 80.8368
0.9574 0.0249943 1662 74.1454
0.994531 0.023135 1898 68.6298
1.03188 0.021501 2040 63.7827
1.07175 0.0194845 2378 57.8007
1.11154 0.018532 2430 54.9751
1.15271 0.01663 2964 49.3329
1.19766 0.015326 3278 45.4646
1.2432 0.0142356 3618 42.23
1.28924 0.0129746 3896 38.4891
1.33879 0.0120592 4770 35.7737
1.3903 0.0109728 4902 32.5507
1.44163 0.0102097 5522 30.2872
1.49595 0.00954936 6402 28.3281
1.55328 0.00882342 7118 26.1746
1.61149 0.00812175 7634 24.0931
1.67267 0.0076438 9090 22.6753
1.73596 0.00729514 9566 21.641
1.80111 0.00687113 11034 20.3832
1.86923 0.00652608 12290 19.3596
1.94007 0.00636652 13706 18.8863
2.01239 0.00599062 14970 17.7712
2.08788 0.00591949 17198 17.5602
2.16695 0.00605993 19016 17.9767
2.24881 0.006154 21458 18.2558
2.33445 0.00622433 24186 18.4644
2.42318 0.00692161 26624 20.5329
2.51406 0.00749626 29594 22.2376
2.60906 0.00843404 33536 25.0195
2.70773 0.00985779 37166 29.2431
2.80996 0.0127011 41720 37.6777
2.91588 0.0159189 46280 47.2234
3.02527 0.0204827 51536 60.7618
3.13941 0.0288421 58466 85.5599
3.25901 0.0439358 65564 130.336
3.38216 0.0694441 72080 206.006
3.50965 0.105493 81380 312.945
3.64194 0.232313 90070 689.154
3.7792 0.768346 101516 2279.29
3.92175 3.25511 112736 9656.28
4.06885 66.1704 122371 196294
4.22253 0.0255488 120908 75.7905
4.38168 0.0341039 118888 101.169
4.54705 0.0534466 115424 158.549
4.71893 0.0986624 110068 292.682
4.89655 0.214897 101516 637.49
5.08084 0.573982 92536 1702.72
5.27183 1.69136 78532 5017.4
5.46879 13.4948 62872 40032.4
5.67269 463.896 43009 1.37614e+06
5.8872 0.461004 27262 1367.57
6.10775 1.68828 16264 5008.28
6.3354 9.99704 8614 29656.2
6.56292 101.054 3046 299775
6.76744 6853.19 550 2.033e+07
6.96499 6.60883e+06 1 1.96051e+10
