# in Mpc/h Units 
# D1 = 0.982813 
# k P N P(z=0)
0.0628319 9256.71 6 9583.29
0.0888577 4852.56 12 5023.76
0.108828 4223.24 8 4372.24
0.125664 5458.74 6 5651.33
0.140496 3249.3 24 3363.94
0.153906 2002.75 24 2073.41
0.177715 2514.91 12 2603.64
0.188496 1922.56 30 1990.39
0.198692 2167.26 24 2243.73
0.20839 1786.79 24 1849.83
0.217656 1371.1 8 1419.48
0.226543 867.999 24 898.623
0.235095 2401.88 48 2486.62
0.251327 1584.26 6 1640.16
0.262281 1333.33 84 1380.37
0.273878 789.288 24 817.135
0.280993 963.914 24 997.922
0.29019 1397.43 72 1446.74
0.307812 1417.81 24 1467.84
0.318551 1176.83 102 1218.35
0.326484 1454.01 32 1505.31
0.340674 903.295 120 935.164
0.355431 1651.83 12 1710.11
0.366343 862.744 144 893.182
0.379302 666.151 54 689.654
0.389837 860.454 96 890.812
0.405099 854.447 168 884.593
0.422256 781.662 144 809.24
0.442145 543.468 146 562.642
0.456965 743.457 240 769.687
0.476937 742.634 192 768.835
0.493022 577.427 168 597.799
0.510602 669.632 270 693.257
0.527626 544.238 228 563.439
0.546637 559.32 344 579.053
0.570583 560.663 342 580.444
0.591498 564.252 456 584.159
0.616749 499.515 396 517.138
0.63768 481.545 486 498.535
0.661928 471.344 560 487.974
0.686555 467.463 558 483.955
0.712045 383.106 708 396.622
0.737212 433.247 672 448.532
0.767295 402.872 998 417.086
0.797876 396.571 924 410.563
0.827231 360.99 1014 373.726
0.855366 364.094 1064 376.94
0.888745 353.057 1434 365.513
0.922629 339.018 1440 350.979
0.9574 313.251 1662 324.302
0.994531 320.04 1898 331.331
1.03188 321.017 2040 332.343
1.07175 294.801 2378 305.202
1.11154 279.34 2430 289.195
1.15271 273.002 2964 282.634
1.19766 255.18 3278 264.183
1.2432 246.651 3618 255.353
1.28924 240.107 3896 248.578
1.33879 228.344 4770 236.401
1.3903 219.746 4902 227.499
1.44163 209.449 5522 216.839
1.49595 208.33 6402 215.68
1.55328 204.167 7118 211.37
1.61149 188.823 7634 195.485
1.67267 177.131 9090 183.381
1.73596 181.834 9566 188.249
1.80111 172.253 11034 178.33
1.86923 162.457 12290 168.189
1.94007 152.01 13706 157.373
2.01239 147.825 14970 153.04
2.08788 137.903 17198 142.769
2.16695 131.248 19016 135.879
2.24881 126.88 21458 131.356
2.33445 118.985 24186 123.183
2.42318 111.306 26624 115.233
2.51406 106.864 29594 110.635
2.60906 100.824 33536 104.382
2.70773 95.7176 37166 99.0946
2.80996 91.5443 41720 94.7741
2.91588 86.1698 46280 89.21
3.02527 81.3516 51536 84.2218
3.13941 76.2921 58466 78.9837
3.25901 73.261 65564 75.8457
3.38216 70.2997 72080 72.78
3.50965 67.2339 81380 69.6059
3.64194 64.8009 90070 67.0871
3.7792 63.5135 101516 65.7543
3.92175 61.9574 112736 64.1433
4.06885 61.5722 122371 63.7445
4.22253 59.274 120908 61.3653
4.38168 57.4905 118888 59.5188
4.54705 55.4157 115424 57.3709
4.71893 54.0247 110068 55.9308
4.89655 53.9415 101516 55.8447
5.08084 54.5016 92536 56.4245
5.27183 56.1024 78532 58.0818
5.46879 59.961 62872 62.0765
5.67269 59.7744 43009 61.8833
5.8872 59.8342 27262 61.9452
6.10775 62.4391 16264 64.642
6.3354 68.2913 8614 70.7007
6.56292 85.2358 3046 88.243
6.76744 104.852 550 108.551
6.96499 12.9797 1 13.4376
