# in Mpc/h Units 
# D1 = 0.110583 
# k P N P(z=0)
0.0628319 137.526 6 11246.3
0.0888577 82.6677 12 6760.21
0.108828 61.2053 8 5005.1
0.125664 56.3677 6 4609.5
0.140496 44.4723 24 3636.75
0.153906 33.8494 24 2768.06
0.177715 29.1821 12 2386.39
0.188496 26.7614 30 2188.43
0.198692 25.8754 24 2115.98
0.20839 22.7948 24 1864.06
0.217656 21.7069 8 1775.09
0.226543 17.3682 24 1420.3
0.235095 18.4252 48 1506.73
0.251327 14.8496 6 1214.34
0.262281 14.6125 84 1194.95
0.273878 11.9491 24 977.143
0.280993 13.7839 24 1127.19
0.29019 11.5951 72 948.197
0.307812 9.8688 24 807.027
0.318551 9.7546 102 797.689
0.326484 10.0111 32 818.663
0.340674 8.61007 120 704.094
0.355431 8.60834 12 703.953
0.366343 7.23046 144 591.276
0.379302 6.35642 54 519.8
0.389837 6.39676 96 523.099
0.405099 6.00227 168 490.84
0.422256 5.66029 144 462.874
0.442145 4.7138 146 385.474
0.456965 4.66016 240 381.087
0.476937 4.3794 192 358.128
0.493022 3.79504 168 310.342
0.510602 3.69108 270 301.84
0.527626 3.42465 228 280.053
0.546637 3.13483 344 256.353
0.570583 2.86522 342 234.305
0.591498 2.71649 456 222.142
0.616749 2.38234 396 194.818
0.63768 2.23792 486 183.007
0.661928 2.05446 560 168.005
0.686555 1.87357 558 153.212
0.712045 1.74414 708 142.628
0.737212 1.55389 672 127.07
0.767295 1.50872 998 123.377
0.797876 1.326 924 108.435
0.827231 1.22051 1014 99.8083
0.855366 1.10756 1064 90.5718
0.888745 1.043 1434 85.2922
0.922629 0.894313 1440 73.1331
0.9574 0.852393 1662 69.705
0.994531 0.739853 1898 60.5019
1.03188 0.721059 2040 58.965
1.07175 0.641113 2378 52.4275
1.11154 0.630151 2430 51.531
1.15271 0.540291 2964 44.1826
1.19766 0.487787 3278 39.8891
1.2432 0.435919 3618 35.6475
1.28924 0.420181 3896 34.3606
1.33879 0.3718 4770 30.4042
1.3903 0.347976 4902 28.456
1.44163 0.313178 5522 25.6104
1.49595 0.287161 6402 23.4828
1.55328 0.259067 7118 21.1854
1.61149 0.241935 7634 19.7844
1.67267 0.221696 9090 18.1294
1.73596 0.208725 9566 17.0686
1.80111 0.197057 11034 16.1144
1.86923 0.183024 12290 14.9669
1.94007 0.176784 13706 14.4566
2.01239 0.16608 14970 13.5813
2.08788 0.161454 17198 13.203
2.16695 0.164272 19016 13.4334
2.24881 0.172136 21458 14.0765
2.33445 0.173461 24186 14.1849
2.42318 0.195293 26624 15.9702
2.51406 0.207899 29594 17.0011
2.60906 0.253338 33536 20.7169
2.70773 0.292236 37166 23.8978
2.80996 0.381185 41720 31.1717
2.91588 0.46535 46280 38.0543
3.02527 0.603802 51536 49.3763
3.13941 0.860801 58466 70.3926
3.25901 1.32365 65564 108.242
3.38216 1.94857 72080 159.345
3.50965 2.92698 81380 239.356
3.64194 5.25405 90070 429.654
3.7792 11.0813 101516 906.178
3.92175 16.6215 112736 1359.23
4.06885 4.44774 122371 363.717
4.22253 0.535098 120908 43.758
4.38168 0.733211 118888 59.9588
4.54705 1.24207 115424 101.571
4.71893 2.26252 110068 185.019
4.89655 4.41622 101516 361.139
5.08084 9.4087 92536 769.402
5.27183 18.7768 78532 1535.49
5.46879 44.4158 62872 3632.13
5.67269 22.1026 43009 1807.46
5.8872 8.68979 27262 710.613
6.10775 26.0964 16264 2134.05
6.3354 93.8595 8614 7675.42
6.56292 362.16 3046 29615.9
6.76744 1039.6 550 85014.4
6.96499 2380.1 1 194634
