# in Mpc/h Units 
# D1 = 0.697155 
# k P N P(z=0)
0.0628319 4937.51 6 10159
0.0888577 2707.8 12 5571.32
0.108828 2241.66 8 4612.23
0.125664 2637.59 6 5426.87
0.140496 1698.33 24 3494.33
0.153906 1071.19 24 2203.97
0.177715 1224.41 12 2519.24
0.188496 1016.47 30 2091.39
0.198692 1171.65 24 2410.67
0.20839 961.623 24 1978.55
0.217656 903.743 8 1859.46
0.226543 505.424 24 1039.91
0.235095 1098.48 48 2260.13
0.251327 676.872 6 1392.67
0.262281 636.761 84 1310.14
0.273878 343.683 24 707.129
0.280993 579.69 24 1192.72
0.29019 609.025 72 1253.07
0.307812 555.108 24 1142.14
0.318551 544.057 102 1119.4
0.326484 671.757 32 1382.14
0.340674 419.222 120 862.551
0.355431 701.265 12 1442.86
0.366343 390.932 144 804.346
0.379302 270.124 54 555.781
0.389837 328.946 96 676.808
0.405099 344.842 168 709.514
0.422256 374.233 144 769.987
0.442145 232.234 146 477.823
0.456965 304.871 240 627.274
0.476937 266.821 192 548.986
0.493022 261.539 168 538.119
0.510602 257.656 270 530.128
0.527626 221.233 228 455.189
0.546637 228.116 344 469.351
0.570583 215.649 342 443.7
0.591498 226.692 456 466.421
0.616749 186.034 396 382.766
0.63768 174.025 486 358.058
0.661928 176.382 560 362.908
0.686555 166.981 558 343.565
0.712045 155.716 708 320.387
0.737212 158.655 672 326.434
0.767295 144.535 998 297.383
0.797876 154.714 924 318.325
0.827231 133.367 1014 274.403
0.855366 129.007 1064 265.432
0.888745 127.001 1434 261.305
0.922629 116.15 1440 238.979
0.9574 115.088 1662 236.795
0.994531 108.314 1898 222.857
1.03188 107.298 2040 220.767
1.07175 96.8774 2378 199.326
1.11154 88.5327 2430 182.157
1.15271 99.4342 2964 204.586
1.19766 86.2253 3278 177.409
1.2432 88.2334 3618 181.541
1.28924 83.759 3896 172.335
1.33879 79.2068 4770 162.968
1.3903 76.2848 4902 156.956
1.44163 73.9498 5522 152.152
1.49595 70.8602 6402 145.795
1.55328 68.8015 7118 141.56
1.61149 66.5448 7634 136.916
1.67267 63.0641 9090 129.755
1.73596 60.9867 9566 125.481
1.80111 59.2669 11034 121.942
1.86923 55.1132 12290 113.396
1.94007 53.8146 13706 110.724
2.01239 51.833 14970 106.647
2.08788 48.6167 17198 100.029
2.16695 46.9268 19016 96.5522
2.24881 44.5568 21458 91.6759
2.33445 43.0514 24186 88.5786
2.42318 40.9352 26624 84.2244
2.51406 39.1268 29594 80.5037
2.60906 37.7499 33536 77.6706
2.70773 35.9683 37166 74.005
2.80996 34.8147 41720 71.6314
2.91588 33.6675 46280 69.2712
3.02527 31.9754 51536 65.7897
3.13941 30.4627 58466 62.6772
3.25901 29.1127 65564 59.8996
3.38216 27.5775 72080 56.7409
3.50965 27.0697 81380 55.696
3.64194 25.9835 90070 53.4612
3.7792 25.5299 101516 52.5279
3.92175 25.5675 112736 52.6053
4.06885 25.7668 122371 53.0155
4.22253 24.7686 120908 50.9615
4.38168 23.9391 118888 49.2549
4.54705 23.5878 115424 48.532
4.71893 23.2999 110068 47.9396
4.89655 23.4097 101516 48.1655
5.08084 23.8736 92536 49.12
5.27183 25.2944 78532 52.0434
5.46879 26.4747 62872 54.4719
5.67269 27.3676 43009 56.3091
5.8872 27.5915 27262 56.7696
6.10775 29.3502 16264 60.3882
6.3354 33.6934 8614 69.3243
6.56292 41.1205 3046 84.6056
6.76744 59.6238 550 122.676
6.96499 74.3486 1 152.973
