# in Mpc/h Units 
# D1 = 0.34593 
# k P N P(z=0)
0.0628319 1296.79 6 10836.6
0.0888577 751.426 12 6279.26
0.108828 581.813 8 4861.9
0.125664 595.838 6 4979.09
0.140496 432.076 24 3610.63
0.153906 296.507 24 2477.75
0.177715 290.331 12 2426.14
0.188496 259.325 30 2167.04
0.198692 278.971 24 2331.21
0.20839 238.247 24 1990.9
0.217656 240.333 8 2008.33
0.226543 151.868 24 1269.08
0.235095 215.367 48 1799.71
0.251327 139.541 6 1166.07
0.262281 148.272 84 1239.03
0.273878 98.6415 24 824.294
0.280993 153.542 24 1283.06
0.29019 123.148 72 1029.08
0.307812 98.6113 24 824.041
0.318551 107.604 102 899.186
0.326484 125.572 32 1049.34
0.340674 93.6932 120 782.944
0.355431 112.935 12 943.736
0.366343 78.9437 144 659.69
0.379302 60.3313 54 504.157
0.389837 63.6346 96 531.76
0.405099 66.7411 168 557.72
0.422256 68.1356 144 569.373
0.442145 46.6846 146 390.118
0.456965 55.0622 240 460.125
0.476937 49.9978 192 417.805
0.493022 46.0991 168 385.225
0.510602 44.8073 270 374.431
0.527626 40.0528 228 334.7
0.546637 38.6121 344 322.661
0.570583 34.8293 342 291.05
0.591498 34.3854 456 287.34
0.616749 28.4248 396 237.531
0.63768 25.8028 486 215.62
0.661928 26.9225 560 224.977
0.686555 23.9312 558 199.98
0.712045 24.5983 708 205.555
0.737212 22.3468 672 186.74
0.767295 20.4526 998 170.911
0.797876 18.6364 924 155.734
0.827231 17.5573 1014 146.717
0.855366 16.3772 1064 136.855
0.888745 15.8793 1434 132.694
0.922629 13.1657 1440 110.019
0.9574 12.974 1662 108.417
0.994531 12.2114 1898 102.044
1.03188 11.2279 2040 93.8255
1.07175 10.7488 2378 89.8221
1.11154 9.63149 2430 80.4852
1.15271 9.35934 2964 78.211
1.19766 8.90404 3278 74.4063
1.2432 8.14393 3618 68.0545
1.28924 7.43136 3896 62.0999
1.33879 7.2972 4770 60.9788
1.3903 6.85033 4902 57.2445
1.44163 6.1088 5522 51.048
1.49595 5.7869 6402 48.358
1.55328 5.64739 7118 47.1922
1.61149 5.05286 7634 42.2241
1.67267 4.84326 9090 40.4725
1.73596 4.51519 9566 37.731
1.80111 4.3593 11034 36.4283
1.86923 4.20425 12290 35.1327
1.94007 4.07734 13706 34.0721
2.01239 3.92798 14970 32.824
2.08788 3.66391 17198 30.6173
2.16695 3.68974 19016 30.8332
2.24881 3.56304 21458 29.7744
2.33445 3.53471 24186 29.5377
2.42318 3.71205 26624 31.0196
2.51406 3.7196 29594 31.0827
2.60906 3.90164 33536 32.6039
2.70773 3.93099 37166 32.8492
2.80996 4.30478 41720 35.9727
2.91588 4.5652 46280 38.1489
3.02527 4.71933 51536 39.4369
3.13941 5.04444 58466 42.1537
3.25901 5.25183 65564 43.8867
3.38216 5.52226 72080 46.1466
3.50965 5.76441 81380 48.1701
3.64194 6.07296 90070 50.7485
3.7792 6.48871 101516 54.2227
3.92175 7.01429 112736 58.6147
4.06885 6.58976 122371 55.0671
4.22253 5.6351 120908 47.0895
4.38168 5.70317 118888 47.6583
4.54705 6.15918 115424 51.4689
4.71893 6.85261 110068 57.2636
4.89655 7.66572 101516 64.0583
5.08084 8.6356 92536 72.163
5.27183 9.47766 78532 79.1997
5.46879 10.5689 62872 88.319
5.67269 10.9211 43009 91.2615
5.8872 11.8302 27262 98.8588
6.10775 14.1663 16264 118.38
6.3354 17.6349 8614 147.366
6.56292 22.9065 3046 191.417
6.76744 28.5122 550 238.261
6.96499 0.552291 1 4.6152
