# in Mpc/h Units 
# D1 = 0.755423 
# k P N P(z=0)
0.0628319 5730.54 6 10041.9
0.0888577 3113.51 12 5455.94
0.108828 2605.2 8 4565.2
0.125664 3128.89 6 5482.9
0.140496 1979.63 24 3468.99
0.153906 1239.66 24 2172.31
0.177715 1447.06 12 2535.75
0.188496 1181.78 30 2070.89
0.198692 1364.34 24 2390.8
0.20839 1116.92 24 1957.23
0.217656 1018.14 8 1784.13
0.226543 573.513 24 1004.99
0.235095 1323.62 48 2319.44
0.251327 824.105 6 1444.12
0.262281 754.842 84 1322.74
0.273878 406.631 24 712.559
0.280993 657.438 24 1152.06
0.29019 739.184 72 1295.31
0.307812 692.197 24 1212.97
0.318551 653.598 102 1145.33
0.326484 808.559 32 1416.87
0.340674 497.506 120 871.803
0.355431 862.597 12 1511.57
0.366343 469.568 144 822.845
0.379302 326.667 54 572.433
0.389837 409.964 96 718.398
0.405099 423.119 168 741.451
0.422256 450.135 144 788.793
0.442145 281.434 146 493.169
0.456965 372.865 240 653.388
0.476937 334.994 192 587.026
0.493022 315.136 168 552.228
0.510602 317.89 270 557.053
0.527626 272.565 228 477.628
0.546637 279.432 344 489.662
0.570583 266.2 342 466.474
0.591498 279.944 456 490.558
0.616749 233.697 396 409.517
0.63768 219.656 486 384.914
0.661928 220.182 560 385.835
0.686555 211.703 558 370.977
0.712045 190.654 708 334.091
0.737212 199.153 672 348.985
0.767295 182.532 998 319.858
0.797876 193.948 924 339.863
0.827231 168.624 1014 295.488
0.855366 165.977 1064 290.85
0.888745 158.954 1434 278.542
0.922629 148.389 1440 260.03
0.9574 144.752 1662 253.656
0.994531 140.825 1898 246.774
1.03188 137.366 2040 240.713
1.07175 124.526 2378 218.213
1.11154 112.64 2430 197.385
1.15271 124.371 2964 217.941
1.19766 109.98 3278 192.723
1.2432 111.462 3618 195.32
1.28924 106.694 3896 186.964
1.33879 101.272 4770 177.463
1.3903 96.7085 4902 169.467
1.44163 94.9202 5522 166.333
1.49595 90.63 6402 158.815
1.55328 87.4577 7118 153.256
1.61149 84.3611 7634 147.83
1.67267 79.3626 9090 139.071
1.73596 78.1635 9566 136.97
1.80111 75.4282 11034 132.176
1.86923 69.6861 12290 122.114
1.94007 68.3473 13706 119.768
2.01239 65.1123 14970 114.099
2.08788 61.3552 17198 107.516
2.16695 59.1957 19016 103.731
2.24881 55.3948 21458 97.0707
2.33445 53.5943 24186 93.9158
2.42318 49.5615 26624 86.8488
2.51406 47.4752 29594 83.193
2.60906 45.5072 33536 79.7444
2.70773 43.1359 37166 75.5891
2.80996 40.6215 41720 71.183
2.91588 39.1823 46280 68.661
3.02527 37.5924 51536 65.8749
3.13941 35.6852 58466 62.5328
3.25901 34.0276 65564 59.6281
3.38216 32.3307 72080 56.6546
3.50965 31.113 81380 54.5208
3.64194 30.0367 90070 52.6346
3.7792 29.1623 101516 51.1024
3.92175 29.2552 112736 51.2652
4.06885 29.4167 122371 51.5483
4.22253 28.5287 120908 49.9921
4.38168 27.185 118888 47.6375
4.54705 26.4432 115424 46.3376
4.71893 26.1481 110068 45.8206
4.89655 25.7159 101516 45.0631
5.08084 25.9358 92536 45.4485
5.27183 27.0341 78532 47.3731
5.46879 28.6684 62872 50.2369
5.67269 29.7288 43009 52.0951
5.8872 30.0176 27262 52.6012
6.10775 32.2339 16264 56.485
6.3354 36.7417 8614 64.3842
6.56292 42.6072 3046 74.6625
6.76744 50.3483 550 88.2276
6.96499 4.39984 1 7.71004
