# in Mpc/h Units 
# D1 = 0.0841614 
# k P N P(z=0)
0.0628319 79.945 6 11286.7
0.0888577 48.271 12 6814.92
0.108828 35.5594 8 5020.28
0.125664 32.4494 6 4581.22
0.140496 25.7846 24 3640.28
0.153906 19.9024 24 2809.82
0.177715 16.8431 12 2377.92
0.188496 15.5123 30 2190.04
0.198692 14.7968 24 2089.01
0.20839 13.0525 24 1842.76
0.217656 12.3656 8 1745.79
0.226543 10.1767 24 1436.75
0.235095 10.5102 48 1483.83
0.251327 8.67624 6 1224.91
0.262281 8.39749 84 1185.56
0.273878 7.06768 24 997.817
0.280993 7.82296 24 1104.45
0.29019 6.69592 72 945.332
0.307812 5.80251 24 819.2
0.318551 5.66667 102 800.022
0.326484 5.67354 32 800.992
0.340674 4.94882 120 698.676
0.355431 4.8359 12 682.733
0.366343 4.1801 144 590.148
0.379302 3.76548 54 531.611
0.389837 3.67189 96 518.399
0.405099 3.45181 168 487.327
0.422256 3.21128 144 453.369
0.442145 2.76367 146 390.176
0.456965 2.6515 240 374.34
0.476937 2.52461 192 356.425
0.493022 2.18523 168 308.512
0.510602 2.11812 270 299.036
0.527626 1.9775 228 279.184
0.546637 1.79626 344 253.596
0.570583 1.67097 342 235.908
0.591498 1.54595 456 218.258
0.616749 1.38122 396 195.001
0.63768 1.29764 486 183.202
0.661928 1.1787 560 166.409
0.686555 1.08015 558 152.496
0.712045 1.00539 708 141.941
0.737212 0.898008 672 126.781
0.767295 0.865392 998 122.176
0.797876 0.765446 924 108.066
0.827231 0.707217 1014 99.845
0.855366 0.637461 1064 89.997
0.888745 0.596004 1434 84.144
0.922629 0.519707 1440 73.3724
0.9574 0.489606 1662 69.1228
0.994531 0.434255 1898 61.3083
1.03188 0.415256 2040 58.6259
1.07175 0.372552 2378 52.597
1.11154 0.36063 2430 50.9139
1.15271 0.314948 2964 44.4645
1.19766 0.281681 3278 39.7679
1.2432 0.25582 3618 36.1168
1.28924 0.245033 3896 34.5938
1.33879 0.217092 4770 30.6491
1.3903 0.199517 4902 28.1678
1.44163 0.17936 5522 25.3221
1.49595 0.166471 6402 23.5024
1.55328 0.152721 7118 21.5612
1.61149 0.139876 7634 19.7477
1.67267 0.127571 9090 18.0106
1.73596 0.120023 9566 16.9449
1.80111 0.114008 11034 16.0957
1.86923 0.1073 12290 15.1487
1.94007 0.103495 13706 14.6115
2.01239 0.0976004 14970 13.7792
2.08788 0.0948524 17198 13.3913
2.16695 0.0965463 19016 13.6304
2.24881 0.0992774 21458 14.016
2.33445 0.102253 24186 14.4361
2.42318 0.112418 26624 15.8712
2.51406 0.124371 29594 17.5587
2.60906 0.142134 33536 20.0666
2.70773 0.167404 37166 23.6342
2.80996 0.216789 41720 30.6064
2.91588 0.276225 46280 38.9976
3.02527 0.356763 51536 50.368
3.13941 0.510237 58466 72.0354
3.25901 0.770008 65564 108.71
3.38216 1.21755 72080 171.894
3.50965 1.87695 81380 264.988
3.64194 3.86304 90070 545.385
3.7792 9.41151 101516 1328.72
3.92175 17.2872 112736 2440.61
4.06885 12.6097 122371 1780.24
4.22253 0.314988 120908 44.4702
4.38168 0.434756 118888 61.3789
4.54705 0.722085 115424 101.944
4.71893 1.36769 110068 193.091
4.89655 2.92082 101516 412.362
5.08084 6.87966 92536 971.273
5.27183 16.7416 78532 2363.59
5.46879 56.5801 62872 7988
5.67269 54.5636 43009 7703.31
5.8872 5.51689 27262 778.876
6.10775 18.6191 16264 2628.64
6.3354 84.3378 8614 11906.8
6.56292 444.811 3046 62798.6
6.76744 3302.8 550 466290
6.96499 9297.31 1 1.3126e+06
