# in Mpc/h Units 
# D1 = 0.0156177 
# k P N P(z=0)
0.0628319 2.77585 6 11380.6
0.0888577 1.69516 12 6949.92
0.108828 1.24129 8 5089.09
0.125664 1.11245 6 4560.87
0.140496 0.887134 24 3637.12
0.153906 0.714992 24 2931.36
0.177715 0.58146 12 2383.9
0.188496 0.54261 30 2224.62
0.198692 0.495144 24 2030.02
0.20839 0.442799 24 1815.41
0.217656 0.401655 8 1646.73
0.226543 0.360557 24 1478.23
0.235095 0.350844 48 1438.41
0.251327 0.309674 6 1269.62
0.262281 0.289135 84 1185.41
0.273878 0.257765 24 1056.8
0.280993 0.256828 24 1052.96
0.29019 0.232772 72 954.333
0.307812 0.207771 24 851.829
0.318551 0.194908 102 799.095
0.326484 0.188265 32 771.86
0.340674 0.169651 120 695.545
0.355431 0.161312 12 661.354
0.366343 0.145895 144 598.149
0.379302 0.135607 54 555.97
0.389837 0.13164 96 539.705
0.405099 0.118574 168 486.138
0.422256 0.111732 144 458.087
0.442145 0.098529 146 403.954
0.456965 0.0935479 240 383.533
0.476937 0.0861044 192 353.016
0.493022 0.0780524 168 320.003
0.510602 0.0736511 270 301.959
0.527626 0.0698077 228 286.201
0.546637 0.0634934 344 260.314
0.570583 0.0584746 342 239.737
0.591498 0.0543184 456 222.697
0.616749 0.0492354 396 201.858
0.63768 0.045137 486 185.055
0.661928 0.0419653 560 172.052
0.686555 0.0386707 558 158.544
0.712045 0.0361076 708 148.036
0.737212 0.0325603 672 133.493
0.767295 0.0306304 998 125.58
0.797876 0.0282168 924 115.685
0.827231 0.0255868 1014 104.902
0.855366 0.0237604 1064 97.4143
0.888745 0.0219462 1434 89.976
0.922629 0.019965 1440 81.8535
0.9574 0.0182451 1662 74.8022
0.994531 0.0167084 1898 68.5021
1.03188 0.0157003 2040 64.3688
1.07175 0.014362 2378 58.8821
1.11154 0.0134482 2430 55.1355
1.15271 0.0122305 2964 50.1435
1.19766 0.0110952 3278 45.4886
1.2432 0.0103296 3618 42.3497
1.28924 0.00950822 3896 38.9823
1.33879 0.008859 4770 36.3206
1.3903 0.00821668 4902 33.6872
1.44163 0.00757179 5522 31.0432
1.49595 0.00692778 6402 28.4029
1.55328 0.0065522 7118 26.8631
1.61149 0.00599238 7634 24.5679
1.67267 0.0056867 9090 23.3146
1.73596 0.00535553 9566 21.9569
1.80111 0.00503748 11034 20.6529
1.86923 0.00479615 12290 19.6635
1.94007 0.00465065 13706 19.067
2.01239 0.00445337 14970 18.2582
2.08788 0.00440184 17198 18.0469
2.16695 0.00448245 19016 18.3774
2.24881 0.00451569 21458 18.5137
2.33445 0.0046856 24186 19.2103
2.42318 0.0050704 26624 20.7879
2.51406 0.00561235 29594 23.0098
2.60906 0.00626241 33536 25.675
2.70773 0.00733084 37166 30.0554
2.80996 0.00935283 41720 38.3453
2.91588 0.0117348 46280 48.111
3.02527 0.0149455 51536 61.2742
3.13941 0.0215773 58466 88.4638
3.25901 0.0319408 65564 130.953
3.38216 0.0511645 72080 209.767
3.50965 0.0836651 81380 343.015
3.64194 0.170434 90070 698.754
3.7792 0.610062 101516 2501.17
3.92175 2.2966 112736 9415.71
4.06885 72.8882 122371 298831
4.22253 0.0200602 120908 82.244
4.38168 0.0266791 118888 109.38
4.54705 0.0423187 115424 173.5
4.71893 0.0775579 110068 317.976
4.89655 0.169131 101516 693.414
5.08084 0.452176 92536 1853.86
5.27183 1.36162 78532 5582.44
5.46879 11.1709 62872 45799.2
5.67269 564.559 43009 2.31461e+06
5.8872 0.387289 27262 1587.83
6.10775 1.41775 16264 5812.59
6.3354 8.26564 8614 33887.9
6.56292 91.9884 3046 377139
6.76744 4909.1 550 2.01266e+07
6.96499 1.3748e+07 1 5.6365e+10
