# in Mpc/h Units 
# D1 = 0.123345 
# k P N P(z=0)
0.0628319 170.774 6 11224.8
0.0888577 102.427 12 6732.43
0.108828 76.0307 8 4997.43
0.125664 70.5016 6 4634.01
0.140496 55.3436 24 3637.69
0.153906 41.8566 24 2751.2
0.177715 36.25 12 2382.68
0.188496 33.2683 30 2186.7
0.198692 32.3762 24 2128.06
0.20839 28.4783 24 1871.85
0.217656 27.288 8 1793.61
0.226543 21.4434 24 1409.46
0.235095 23.1172 48 1519.47
0.251327 18.217 6 1197.39
0.262281 18.1895 84 1195.58
0.273878 14.7338 24 968.441
0.280993 17.2835 24 1136.03
0.29019 14.4809 72 951.818
0.307812 12.2917 24 807.921
0.318551 12.1863 102 800.996
0.326484 12.6844 32 833.733
0.340674 10.7427 120 706.109
0.355431 10.7147 12 704.267
0.366343 9.01006 144 592.224
0.379302 7.87258 54 517.458
0.389837 7.91001 96 519.918
0.405099 7.50341 168 493.193
0.422256 7.06717 144 464.519
0.442145 5.83715 146 383.671
0.456965 5.81179 240 382.004
0.476937 5.50444 192 361.802
0.493022 4.73092 168 310.959
0.510602 4.63456 270 304.626
0.527626 4.30858 228 283.199
0.546637 3.9034 344 256.567
0.570583 3.58464 342 235.615
0.591498 3.40944 456 224.1
0.616749 2.97396 396 195.476
0.63768 2.78121 486 182.806
0.661928 2.57728 560 169.403
0.686555 2.37922 558 156.384
0.712045 2.19637 708 144.365
0.737212 1.93065 672 126.9
0.767295 1.88629 998 123.984
0.797876 1.65953 924 109.08
0.827231 1.53272 1014 100.745
0.855366 1.38901 1064 91.2987
0.888745 1.29318 1434 84.9995
0.922629 1.11866 1440 73.5285
0.9574 1.06172 1662 69.7862
0.994531 0.935508 1898 61.4901
1.03188 0.902835 2040 59.3425
1.07175 0.802663 2378 52.7583
1.11154 0.786761 2430 51.7132
1.15271 0.680083 2964 44.7013
1.19766 0.616372 3278 40.5136
1.2432 0.545202 3618 35.8357
1.28924 0.531794 3896 34.9543
1.33879 0.470059 4770 30.8966
1.3903 0.440982 4902 28.9854
1.44163 0.3904 5522 25.6607
1.49595 0.362745 6402 23.8429
1.55328 0.322978 7118 21.2291
1.61149 0.305508 7634 20.0808
1.67267 0.275744 9090 18.1244
1.73596 0.259925 9566 17.0847
1.80111 0.247334 11034 16.257
1.86923 0.232183 12290 15.2612
1.94007 0.22387 13706 14.7148
2.01239 0.210902 14970 13.8624
2.08788 0.203523 17198 13.3774
2.16695 0.208925 19016 13.7324
2.24881 0.215437 21458 14.1605
2.33445 0.21594 24186 14.1935
2.42318 0.245349 26624 16.1266
2.51406 0.268076 29594 17.6204
2.60906 0.312965 33536 20.5709
2.70773 0.354255 37166 23.2849
2.80996 0.471376 41720 30.9831
2.91588 0.574386 46280 37.7539
3.02527 0.72244 51536 47.4854
3.13941 1.04899 58466 68.9493
3.25901 1.58617 65564 104.257
3.38216 2.23842 72080 147.13
3.50965 3.40523 81380 223.823
3.64194 5.8362 90070 383.608
3.7792 10.9057 101516 716.821
3.92175 13.2203 112736 868.956
4.06885 5.56056 122371 365.491
4.22253 0.671203 120908 44.1176
4.38168 0.913316 118888 60.0315
4.54705 1.49707 115424 98.401
4.71893 2.72629 110068 179.197
4.89655 5.19009 101516 341.14
5.08084 10.4741 92536 688.453
5.27183 19.3884 78532 1274.38
5.46879 36.8961 62872 2425.15
5.67269 18.2268 43009 1198.04
5.8872 10.2083 27262 670.98
6.10775 29.0687 16264 1910.66
6.3354 94.5617 8614 6215.46
6.56292 287.465 3046 18894.8
6.76744 747.65 550 49142.4
6.96499 1042.61 1 68529.6
