# in Mpc/h Units 
# D1 = 0.212797 
# k P N P(z=0)
0.0628319 501.43 6 11073.4
0.0888577 296.589 12 6549.75
0.108828 223.857 8 4943.57
0.125664 216.105 6 4772.38
0.140496 164.381 24 3630.13
0.153906 119.017 24 2628.32
0.177715 108.569 12 2397.59
0.188496 98.5721 30 2176.83
0.198692 100.464 24 2218.6
0.20839 87.3761 24 1929.58
0.217656 86.2003 8 1903.61
0.226543 61.2826 24 1353.34
0.235095 73.4643 48 1622.36
0.251327 52.8385 6 1166.86
0.262281 54.9002 84 1212.39
0.273878 41.0408 24 906.328
0.280993 54.9628 24 1213.78
0.29019 44.0786 72 973.415
0.307812 35.9829 24 794.632
0.318551 37.4567 102 827.178
0.326484 41.1825 32 909.459
0.340674 33.2302 120 733.842
0.355431 35.6489 12 787.256
0.366343 27.676 144 611.186
0.379302 22.8139 54 503.812
0.389837 23.6121 96 521.441
0.405099 23.2867 168 514.254
0.422256 22.5618 144 498.246
0.442145 17.1275 146 378.237
0.456965 18.2929 240 403.972
0.476937 17.3506 192 383.164
0.493022 14.9368 168 329.857
0.510602 14.7623 270 326.004
0.527626 13.5119 228 298.392
0.546637 12.4381 344 274.678
0.570583 11.2652 342 248.776
0.591498 10.9765 456 242.4
0.616749 9.28217 396 204.984
0.63768 8.66224 486 191.294
0.661928 8.38736 560 185.223
0.686555 7.69145 558 169.855
0.712045 7.35434 708 162.41
0.737212 6.44533 672 142.336
0.767295 6.27082 998 138.482
0.797876 5.43109 924 119.938
0.827231 5.06147 1014 111.775
0.855366 4.65233 1064 102.74
0.888745 4.38702 1434 96.8813
0.922629 3.63949 1440 80.3731
0.9574 3.62459 1662 80.0439
0.994531 3.24042 1898 71.5602
1.03188 3.04293 2040 67.1989
1.07175 2.76286 2378 61.0139
1.11154 2.63127 2430 58.108
1.15271 2.39402 2964 52.8686
1.19766 2.2035 3278 48.6612
1.2432 1.9471 3618 42.9989
1.28924 1.89268 3896 41.7973
1.33879 1.66086 4770 36.6779
1.3903 1.55631 4902 34.369
1.44163 1.41456 5522 31.2387
1.49595 1.32861 6402 29.3405
1.55328 1.17178 7118 25.877
1.61149 1.13134 7634 24.984
1.67267 1.02257 9090 22.5821
1.73596 0.970877 9566 21.4405
1.80111 0.908873 11034 20.0712
1.86923 0.877346 12290 19.375
1.94007 0.837766 13706 18.5009
2.01239 0.777161 14970 17.1625
2.08788 0.752291 17198 16.6133
2.16695 0.756801 19016 16.7129
2.24881 0.755842 21458 16.6917
2.33445 0.758135 24186 16.7423
2.42318 0.855656 26624 18.896
2.51406 0.890437 29594 19.6641
2.60906 0.992758 33536 21.9237
2.70773 1.08251 37166 23.9058
2.80996 1.39174 41720 30.7346
2.91588 1.5984 46280 35.2985
3.02527 1.87347 51536 41.3729
3.13941 2.49192 58466 55.0306
3.25901 3.24985 65564 71.7684
3.38216 4.0464 72080 89.3591
3.50965 4.7277 81380 104.405
3.64194 5.72416 90070 126.41
3.7792 7.24308 101516 159.953
3.92175 7.69132 112736 169.852
4.06885 4.26921 122371 94.2796
4.22253 2.17812 120908 48.1008
4.38168 2.63181 118888 58.1197
4.54705 3.57283 115424 78.901
4.71893 5.00466 110068 110.521
4.89655 7.18615 101516 158.696
5.08084 10.026 92536 221.409
5.27183 12.3816 78532 273.43
5.46879 14.5058 62872 320.34
5.67269 11.2847 43009 249.206
5.8872 13.6642 27262 301.755
6.10775 23.871 16264 527.158
6.3354 39.8109 8614 879.167
6.56292 62.5725 3046 1381.83
6.76744 90.919 550 2007.82
6.96499 54.972 1 1213.98
