# in Mpc/h Units 
# D1 = 0.0606615 
# k P N P(z=0)
0.0628319 41.6423 6 11316.4
0.0888577 25.2425 12 6859.71
0.108828 18.5213 8 5033.21
0.125664 16.7348 6 4547.73
0.140496 13.4035 24 3642.42
0.153906 10.4847 24 2849.24
0.177715 8.74323 12 2375.99
0.188496 8.09747 30 2200.51
0.198692 7.62677 24 2072.59
0.20839 6.75672 24 1836.15
0.217656 6.28862 8 1708.95
0.226543 5.30614 24 1441.96
0.235095 5.3683 48 1458.85
0.251327 4.69393 6 1275.59
0.262281 4.36824 84 1187.08
0.273878 3.73455 24 1014.87
0.280993 3.98306 24 1082.4
0.29019 3.47363 72 943.968
0.307812 3.04276 24 826.878
0.318551 2.93775 102 798.342
0.326484 2.90726 32 790.056
0.340674 2.55906 120 695.43
0.355431 2.46526 12 669.94
0.366343 2.16822 144 589.218
0.379302 2.02312 54 549.788
0.389837 1.91773 96 521.146
0.405099 1.80047 168 489.282
0.422256 1.67558 144 455.343
0.442145 1.43841 146 390.891
0.456965 1.37852 240 374.617
0.476937 1.30124 192 353.616
0.493022 1.13825 168 309.321
0.510602 1.10214 270 299.51
0.527626 1.02192 228 277.709
0.546637 0.936612 344 254.527
0.570583 0.873178 342 237.288
0.591498 0.800313 456 217.487
0.616749 0.717922 396 195.097
0.63768 0.675251 486 183.501
0.661928 0.612159 560 166.356
0.686555 0.565957 558 153.8
0.712045 0.521943 708 141.839
0.737212 0.465364 672 126.464
0.767295 0.449886 998 122.257
0.797876 0.402531 924 109.389
0.827231 0.3672 1014 99.7875
0.855366 0.336294 1064 91.3887
0.888745 0.311589 1434 84.675
0.922629 0.274451 1440 74.5827
0.9574 0.256311 1662 69.653
0.994531 0.227714 1898 61.8817
1.03188 0.217818 2040 59.1926
1.07175 0.196108 2378 53.2927
1.11154 0.18747 2430 50.9454
1.15271 0.167508 2964 45.5208
1.19766 0.147716 3278 40.1422
1.2432 0.136147 3618 36.9982
1.28924 0.12774 3896 34.7136
1.33879 0.115838 4770 31.4793
1.3903 0.106873 4902 29.0429
1.44163 0.096616 5522 26.2556
1.49595 0.0881671 6402 23.9596
1.55328 0.080937 7118 21.9948
1.61149 0.0746563 7634 20.288
1.67267 0.0686284 9090 18.6499
1.73596 0.0644431 9566 17.5126
1.80111 0.0606343 11034 16.4775
1.86923 0.0565229 12290 15.3602
1.94007 0.0550253 13706 14.9533
2.01239 0.0519151 14970 14.108
2.08788 0.051061 17198 13.8759
2.16695 0.0527705 19016 14.3405
2.24881 0.0531408 21458 14.4411
2.33445 0.054938 24186 14.9295
2.42318 0.0602847 26624 16.3825
2.51406 0.0670131 29594 18.211
2.60906 0.0772563 33536 20.9946
2.70773 0.089808 37166 24.4055
2.80996 0.116116 41720 31.5549
2.91588 0.148585 46280 40.3784
3.02527 0.189764 51536 51.5688
3.13941 0.275338 58466 74.8238
3.25901 0.414108 65564 112.535
3.38216 0.646777 72080 175.763
3.50965 1.0863 81380 295.205
3.64194 2.29063 90070 622.483
3.7792 6.89317 101516 1873.23
3.92175 12.0899 112736 3285.45
4.06885 26.4086 122371 7176.61
4.22253 0.171082 120908 46.4919
4.38168 0.235438 118888 63.9809
4.54705 0.391637 115424 106.428
4.71893 0.752806 110068 204.577
4.89655 1.60915 101516 437.289
5.08084 4.06457 92536 1104.56
5.27183 11.2377 78532 3053.86
5.46879 53.7584 62872 14609
5.67269 121.769 43009 33091
5.8872 3.03791 27262 825.559
6.10775 10.7403 16264 2918.69
6.3354 53.8903 8614 14644.8
6.56292 397.661 3046 108065
6.76744 5691.55 550 1.54669e+06
6.96499 736205 1 2.00066e+08
