# in Mpc/h Units 
# D1 = 0.0888842 
# k P N P(z=0)
0.0628319 89.1247 6 11281
0.0888577 53.7443 12 6802.73
0.108828 39.6781 8 5022.28
0.125664 36.2007 6 4582.13
0.140496 28.7701 24 3641.6
0.153906 22.1419 24 2802.63
0.177715 18.8226 12 2382.48
0.188496 17.3193 30 2192.2
0.198692 16.5214 24 2091.21
0.20839 14.6235 24 1850.99
0.217656 13.7679 8 1742.69
0.226543 11.3073 24 1431.24
0.235095 11.7231 48 1483.86
0.251327 9.66839 6 1223.78
0.262281 9.40657 84 1190.64
0.273878 7.86015 24 994.904
0.280993 8.73422 24 1105.54
0.29019 7.48463 72 947.373
0.307812 6.44703 24 816.038
0.318551 6.28071 102 794.986
0.326484 6.38536 32 808.232
0.340674 5.52259 120 699.026
0.355431 5.43262 12 687.639
0.366343 4.65296 144 588.953
0.379302 4.15758 54 526.249
0.389837 4.11993 96 521.484
0.405099 3.85325 168 487.728
0.422256 3.60082 144 455.777
0.442145 3.05998 146 387.32
0.456965 2.98251 240 377.513
0.476937 2.80916 192 355.571
0.493022 2.45205 168 310.37
0.510602 2.37418 270 300.513
0.527626 2.21664 228 280.573
0.546637 2.01457 344 254.996
0.570583 1.8553 342 234.836
0.591498 1.73825 456 220.021
0.616749 1.52962 396 193.613
0.63768 1.44025 486 182.301
0.661928 1.31041 560 165.866
0.686555 1.21295 558 153.53
0.712045 1.11869 708 141.6
0.737212 1.00032 672 126.616
0.767295 0.959362 998 121.432
0.797876 0.857459 924 108.534
0.827231 0.790701 1014 100.084
0.855366 0.715692 1064 90.5892
0.888745 0.666948 1434 84.4195
0.922629 0.580473 1440 73.4738
0.9574 0.540445 1662 68.4072
0.994531 0.482665 1898 61.0937
1.03188 0.465116 2040 58.8724
1.07175 0.413053 2378 52.2825
1.11154 0.398743 2430 50.4712
1.15271 0.349635 2964 44.2554
1.19766 0.312844 3278 39.5985
1.2432 0.282933 3618 35.8124
1.28924 0.269317 3896 34.089
1.33879 0.242189 4770 30.6552
1.3903 0.223134 4902 28.2434
1.44163 0.201521 5522 25.5077
1.49595 0.183266 6402 23.1971
1.55328 0.167793 7118 21.2385
1.61149 0.155538 7634 19.6874
1.67267 0.143034 9090 18.1047
1.73596 0.133374 9566 16.8819
1.80111 0.127209 11034 16.1016
1.86923 0.117783 12290 14.9084
1.94007 0.115191 13706 14.5804
2.01239 0.108054 14970 13.677
2.08788 0.105437 17198 13.3457
2.16695 0.109246 19016 13.8279
2.24881 0.110858 21458 14.032
2.33445 0.111681 24186 14.1361
2.42318 0.126783 26624 16.0477
2.51406 0.139636 29594 17.6745
2.60906 0.160296 33536 20.2897
2.70773 0.188758 37166 23.8922
2.80996 0.248013 41720 31.3924
2.91588 0.312892 46280 39.6045
3.02527 0.394649 51536 49.953
3.13941 0.573268 58466 72.5618
3.25901 0.875435 65564 110.809
3.38216 1.33505 72080 168.986
3.50965 2.13269 81380 269.947
3.64194 4.30637 90070 545.082
3.7792 10.1 101516 1278.42
3.92175 15.2434 112736 1929.44
4.06885 11.1994 122371 1417.57
4.22253 0.345067 120908 43.6771
4.38168 0.472613 118888 59.8213
4.54705 0.800115 115424 101.275
4.71893 1.5052 110068 190.523
4.89655 3.13355 101516 396.631
5.08084 7.34855 92536 930.149
5.27183 17.3673 78532 2198.28
5.46879 52.2157 62872 6609.24
5.67269 39.9667 43009 5058.82
5.8872 5.95211 27262 753.393
6.10775 19.23 16264 2434.06
6.3354 84.6545 8614 10715.2
6.56292 421.542 3046 53356.9
6.76744 2163.58 550 273856
6.96499 9096.65 1 1.15142e+06
