# in Mpc/h Units 
# D1 = 0.965229 
# k P N P(z=0)
0.0628319 8961.54 6 9618.82
0.0888577 4710.39 12 5055.87
0.108828 4087.33 8 4387.11
0.125664 5255.77 6 5641.25
0.140496 3141.75 24 3372.17
0.153906 1937.65 24 2079.76
0.177715 2420.66 12 2598.2
0.188496 1859.88 30 1996.29
0.198692 2103.87 24 2258.18
0.20839 1732.18 24 1859.22
0.217656 1351.15 8 1450.25
0.226543 843.004 24 904.833
0.235095 2307.83 48 2477.1
0.251327 1514.22 6 1625.28
0.262281 1281.63 84 1375.63
0.273878 750.088 24 805.102
0.280993 939.081 24 1007.96
0.29019 1338.42 72 1436.58
0.307812 1351.71 24 1450.85
0.318551 1130.95 102 1213.9
0.326484 1398.83 32 1501.42
0.340674 864.766 120 928.191
0.355431 1582.92 12 1699.02
0.366343 826.812 144 887.454
0.379302 631.337 54 677.642
0.389837 818.078 96 878.079
0.405099 813.096 168 872.731
0.422256 754.9 144 810.267
0.442145 517.922 146 555.908
0.456965 707.789 240 759.702
0.476937 702.559 192 754.087
0.493022 552.616 168 593.147
0.510602 634.427 270 680.959
0.527626 518.115 228 556.116
0.546637 532.172 344 571.204
0.570583 531.01 342 569.957
0.591498 536.359 456 575.698
0.616749 473.49 396 508.218
0.63768 456.373 486 489.846
0.661928 446.181 560 478.905
0.686555 440.929 558 473.268
0.712045 364.012 708 390.711
0.737212 409.313 672 439.334
0.767295 380.4 998 408.3
0.797876 377.333 924 405.008
0.827231 342.626 1014 367.756
0.855366 346.841 1064 372.28
0.888745 334.218 1434 358.731
0.922629 320.916 1440 344.453
0.9574 296.11 1662 317.828
0.994531 303.782 1898 326.062
1.03188 303.132 2040 325.365
1.07175 278.419 2378 298.839
1.11154 262.872 2430 282.152
1.15271 257.947 2964 276.866
1.19766 240.879 3278 258.546
1.2432 233.907 3618 251.062
1.28924 228.036 3896 244.761
1.33879 216.96 4770 232.873
1.3903 209.436 4902 224.797
1.44163 200.133 5522 214.811
1.49595 198.865 6402 213.451
1.55328 194.661 7118 208.938
1.61149 180.04 7634 193.245
1.67267 169.748 9090 182.198
1.73596 173.513 9566 186.239
1.80111 164.933 11034 177.03
1.86923 154.606 12290 165.946
1.94007 145.177 13706 155.825
2.01239 140.978 14970 151.318
2.08788 131.299 17198 140.929
2.16695 125.723 19016 134.944
2.24881 121.407 21458 130.312
2.33445 114.407 24186 122.798
2.42318 107.318 26624 115.189
2.51406 102.669 29594 110.199
2.60906 96.8234 33536 103.925
2.70773 91.9826 37166 98.729
2.80996 88.207 41720 94.6764
2.91588 82.7001 46280 88.7657
3.02527 78.0477 51536 83.7721
3.13941 73.4339 58466 78.8198
3.25901 70.9992 65564 76.2066
3.38216 68.3426 72080 73.3552
3.50965 64.9976 81380 69.7647
3.64194 62.8687 90070 67.4798
3.7792 61.2713 101516 65.7652
3.92175 60.1371 112736 64.5478
4.06885 59.7978 122371 64.1836
4.22253 57.738 120908 61.9727
4.38168 56.2105 118888 60.3332
4.54705 54.1763 115424 58.1498
4.71893 53.2669 110068 57.1738
4.89655 53.6637 101516 57.5996
5.08084 55.1297 92536 59.1731
5.27183 56.4981 78532 60.6419
5.46879 59.8421 62872 64.2312
5.67269 59.7998 43009 64.1858
5.8872 58.9502 27262 63.2738
6.10775 62.2919 16264 66.8606
6.3354 74.665 8614 80.1412
6.56292 94.2818 3046 101.197
6.76744 133.065 550 142.824
6.96499 5.53008 1 5.93568
