# in Mpc/h Units 
# D1 = 0.0414242 
# k P N P(z=0)
0.0628319 19.5056 6 11367.1
0.0888577 11.8637 12 6913.74
0.108828 8.68175 8 5059.4
0.125664 7.60151 6 4429.87
0.140496 6.27314 24 3655.75
0.153906 4.93743 24 2877.35
0.177715 4.12607 12 2404.52
0.188496 3.7686 30 2196.2
0.198692 3.49535 24 2036.96
0.20839 3.12822 24 1823.01
0.217656 2.87168 8 1673.51
0.226543 2.52123 24 1469.28
0.235095 2.48897 48 1450.48
0.251327 2.20844 6 1286.99
0.262281 2.02936 84 1182.64
0.273878 1.77983 24 1037.22
0.280993 1.8164 24 1058.53
0.29019 1.61808 72 942.954
0.307812 1.41742 24 826.02
0.318551 1.35415 102 789.149
0.326484 1.32315 32 771.082
0.340674 1.20208 120 700.529
0.355431 1.14215 12 665.603
0.366343 1.02429 144 596.92
0.379302 0.931415 54 542.794
0.389837 0.897678 96 523.133
0.405099 0.835049 168 486.635
0.422256 0.775211 144 451.764
0.442145 0.685575 146 399.528
0.456965 0.647276 240 377.208
0.476937 0.597761 192 348.353
0.493022 0.539036 168 314.13
0.510602 0.518048 270 301.899
0.527626 0.476194 228 277.508
0.546637 0.443279 344 258.326
0.570583 0.399175 342 232.624
0.591498 0.376558 456 219.444
0.616749 0.336163 396 195.903
0.63768 0.317916 486 185.27
0.661928 0.288155 560 167.926
0.686555 0.264798 558 154.315
0.712045 0.241874 708 140.955
0.737212 0.223261 672 130.108
0.767295 0.208958 998 121.773
0.797876 0.187666 924 109.365
0.827231 0.17545 1014 102.246
0.855366 0.159985 1064 93.2332
0.888745 0.146901 1434 85.6082
0.922629 0.132284 1440 77.0904
0.9574 0.122451 1662 71.36
0.994531 0.109949 1898 64.0743
1.03188 0.103058 2040 60.0586
1.07175 0.0924359 2378 53.8682
1.11154 0.0882475 2430 51.4273
1.15271 0.0785827 2964 45.7951
1.19766 0.0716012 3278 41.7265
1.2432 0.0663022 3618 38.6384
1.28924 0.0607132 3896 35.3814
1.33879 0.0555312 4770 32.3615
1.3903 0.0515553 4902 30.0445
1.44163 0.0468819 5522 27.321
1.49595 0.0424782 6402 24.7547
1.55328 0.0395362 7118 23.0402
1.61149 0.0362714 7634 21.1376
1.67267 0.0339396 9090 19.7788
1.73596 0.0315898 9566 18.4093
1.80111 0.0298781 11034 17.4119
1.86923 0.0277986 12290 16.2
1.94007 0.0268981 13706 15.6752
2.01239 0.0254285 14970 14.8188
2.08788 0.0249771 17198 14.5557
2.16695 0.025801 19016 15.0359
2.24881 0.0258887 21458 15.087
2.33445 0.026211 24186 15.2748
2.42318 0.0296768 26624 17.2945
2.51406 0.0321602 29594 18.7418
2.60906 0.0373046 33536 21.7398
2.70773 0.0441514 37166 25.7298
2.80996 0.0562572 41720 32.7846
2.91588 0.0720941 46280 42.0138
3.02527 0.0919021 51536 53.5571
3.13941 0.135636 58466 79.0437
3.25901 0.210391 65564 122.608
3.38216 0.331292 72080 193.065
3.50965 0.525669 81380 306.34
3.64194 1.24235 90070 723.998
3.7792 3.64559 101516 2124.52
3.92175 14.3733 112736 8376.25
4.06885 26.5202 122371 15455
4.22253 0.0800001 120908 46.6211
4.38168 0.110358 118888 64.3128
4.54705 0.179704 115424 104.725
4.71893 0.339412 110068 197.797
4.89655 0.743431 101516 433.244
5.08084 1.97777 92536 1152.57
5.27183 5.74709 78532 3349.19
5.46879 38.3609 62872 22355.3
5.67269 134.247 43009 78234.4
5.8872 1.25032 27262 728.638
6.10775 4.59565 16264 2678.18
6.3354 24.9838 8614 14559.6
6.56292 218.868 3046 127548
6.76744 5592.84 550 3.2593e+06
6.96499 504037 1 2.93734e+08
