# in Mpc/h Units 
# D1 = 0.294526 
# k P N P(z=0)
0.0628319 948.088 6 10929.5
0.0888577 553.753 12 6383.63
0.108828 424.532 8 4893.97
0.125664 425.123 6 4900.79
0.140496 313.99 24 3619.65
0.153906 219.655 24 2532.17
0.177715 209.42 12 2414.18
0.188496 188.342 30 2171.2
0.198692 198.81 24 2291.86
0.20839 171.012 24 1971.42
0.217656 171.581 8 1977.97
0.226543 112.955 24 1302.14
0.235095 149.995 48 1729.13
0.251327 100.569 6 1159.35
0.262281 106.584 84 1228.69
0.273878 74.0921 24 854.129
0.280993 109.571 24 1263.12
0.29019 87.1972 72 1005.2
0.307812 69.9186 24 806.017
0.318551 75.288 102 867.915
0.326484 86.1734 32 993.401
0.340674 66.2728 120 763.988
0.355431 76.1347 12 877.676
0.366343 55.4433 144 639.146
0.379302 43.5392 54 501.917
0.389837 45.6282 96 525.999
0.405099 46.8294 168 539.846
0.422256 46.8327 144 539.885
0.442145 33.2195 146 382.953
0.456965 37.8432 240 436.254
0.476937 35.0914 192 404.532
0.493022 31.3108 168 360.948
0.510602 30.6957 270 353.858
0.527626 27.715 228 319.497
0.546637 26.1651 344 301.629
0.570583 23.5832 342 271.865
0.591498 23.2015 456 267.465
0.616749 19.3254 396 222.782
0.63768 17.7185 486 204.258
0.661928 18.0409 560 207.974
0.686555 16.2587 558 187.429
0.712045 16.2686 708 187.544
0.737212 14.5098 672 167.268
0.767295 13.633 998 157.161
0.797876 12.0456 924 138.861
0.827231 11.3891 1014 131.292
0.855366 10.6192 1064 122.417
0.888745 10.0879 1434 116.293
0.922629 8.32133 1440 95.9277
0.9574 8.3217 1662 95.932
0.994531 7.73193 1898 89.1332
1.03188 7.05015 2040 81.2737
1.07175 6.66614 2378 76.8468
1.11154 6.06761 2430 69.947
1.15271 5.7792 2964 66.6223
1.19766 5.46943 3278 63.0512
1.2432 4.911 3618 56.6137
1.28924 4.58606 3896 52.8678
1.33879 4.31479 4770 49.7406
1.3903 4.01951 4902 46.3366
1.44163 3.60635 5522 41.5738
1.49595 3.41348 6402 39.3503
1.55328 3.24099 7118 37.3619
1.61149 2.95459 7634 34.0603
1.67267 2.77636 9090 32.0057
1.73596 2.60812 9566 30.0662
1.80111 2.50379 11034 28.8635
1.86923 2.37219 12290 27.3464
1.94007 2.30744 13706 26.6
2.01239 2.17742 14970 25.1012
2.08788 2.07765 17198 23.951
2.16695 2.06548 19016 23.8107
2.24881 2.03659 21458 23.4777
2.33445 2.02388 24186 23.3312
2.42318 2.1856 26624 25.1955
2.51406 2.19763 29594 25.3341
2.60906 2.39433 33536 27.6016
2.70773 2.43523 37166 28.0732
2.80996 2.91007 41720 33.5471
2.91588 3.09696 46280 35.7015
3.02527 3.37226 51536 38.8752
3.13941 3.83237 58466 44.1793
3.25901 4.3144 65564 49.7361
3.38216 4.73483 72080 54.5827
3.50965 5.04503 81380 58.1588
3.64194 5.43199 90070 62.6196
3.7792 6.21017 101516 71.5904
3.92175 6.60969 112736 76.1961
4.06885 5.53089 122371 63.7597
4.22253 4.20204 120908 48.4408
4.38168 4.40724 118888 50.8063
4.54705 5.04999 115424 58.216
4.71893 5.97336 110068 68.8605
4.89655 7.28187 101516 83.9449
5.08084 8.52755 92536 98.3051
5.27183 9.53861 78532 109.96
5.46879 10.7062 62872 123.42
5.67269 10.5738 43009 121.894
5.8872 11.8231 27262 136.296
6.10775 15.5904 16264 179.725
6.3354 20.4092 8614 235.276
6.56292 26.2819 3046 302.976
6.76744 36.1508 550 416.743
6.96499 4.19577 1 48.3686
