# in Mpc/h Units 
# D1 = 0.279063 
# k P N P(z=0)
0.0628319 853.301 6 10957.2
0.0888577 499.57 12 6414.94
0.108828 381.863 8 4903.48
0.125664 379.792 6 4876.88
0.140496 282.063 24 3621.95
0.153906 198.53 24 2549.31
0.177715 187.741 12 2410.77
0.188496 169.17 30 2172.3
0.198692 177.484 24 2279.06
0.20839 152.999 24 1964.65
0.217656 153.152 8 1966.61
0.226543 102.177 24 1312.05
0.235095 133.033 48 1708.27
0.251327 90.2411 6 1158.78
0.262281 95.4288 84 1225.39
0.273878 67.2746 24 863.868
0.280993 97.767 24 1255.42
0.29019 77.7679 72 998.611
0.307812 62.4844 24 802.358
0.318551 66.9202 102 859.317
0.326484 76.0986 32 977.176
0.340674 59.0423 120 758.158
0.355431 66.9525 12 859.731
0.366343 49.3157 144 633.26
0.379302 39.0836 54 501.869
0.389837 40.8679 96 524.782
0.405099 41.6425 168 534.728
0.422256 41.381 144 531.371
0.442145 29.7104 146 381.509
0.456965 33.4407 240 429.41
0.476937 31.1803 192 400.384
0.493022 27.5905 168 354.287
0.510602 27.1068 270 348.076
0.527626 24.5438 228 315.165
0.546637 23.0495 344 295.976
0.570583 20.7736 342 266.753
0.591498 20.4082 456 262.06
0.616749 17.0225 396 218.585
0.63768 15.6669 486 201.178
0.661928 15.8262 560 203.223
0.686555 14.3238 558 183.93
0.712045 14.1962 708 182.292
0.737212 12.6065 672 161.879
0.767295 11.9419 998 153.345
0.797876 10.4669 924 134.405
0.827231 9.90285 1014 127.162
0.855366 9.21834 1064 118.372
0.888745 8.7148 1434 111.906
0.922629 7.19048 1440 92.3324
0.9574 7.21648 1662 92.6663
0.994531 6.65467 1898 85.4521
1.03188 6.06852 2040 77.9254
1.07175 5.70353 2378 73.2386
1.11154 5.23199 2430 67.1836
1.15271 4.94635 2964 63.5157
1.19766 4.6811 3278 60.1096
1.2432 4.16406 3618 53.4704
1.28924 3.92983 3896 50.4626
1.33879 3.64074 4770 46.7504
1.3903 3.38368 4902 43.4496
1.44163 3.04762 5522 39.1343
1.49595 2.877 6402 36.9434
1.55328 2.70554 7118 34.7416
1.61149 2.48595 7634 31.9219
1.67267 2.31813 9090 29.7669
1.73596 2.19154 9566 28.1414
1.80111 2.08365 11034 26.756
1.86923 1.97783 12290 25.3972
1.94007 1.92811 13706 24.7588
2.01239 1.804 14970 23.165
2.08788 1.7279 17198 22.1878
2.16695 1.72185 19016 22.1102
2.24881 1.70078 21458 21.8396
2.33445 1.68665 24186 21.6582
2.42318 1.82982 26624 23.4966
2.51406 1.84733 29594 23.7214
2.60906 2.04055 33536 26.2025
2.70773 2.09724 37166 26.9305
2.80996 2.54292 41720 32.6535
2.91588 2.74512 46280 35.2499
3.02527 3.04857 51536 39.1464
3.13941 3.53674 58466 45.4149
3.25901 4.12034 65564 52.909
3.38216 4.59219 72080 58.9679
3.50965 4.85602 81380 62.3557
3.64194 5.43583 90070 69.8011
3.7792 6.20902 101516 79.7295
3.92175 6.64641 112736 85.346
4.06885 5.29258 122371 67.9616
4.22253 3.80233 120908 48.8254
4.38168 4.03972 118888 51.8737
4.54705 4.75964 115424 61.1182
4.71893 5.84062 110068 74.9989
4.89655 7.1463 101516 91.7651
5.08084 8.68459 92536 111.518
5.27183 9.67343 78532 124.216
5.46879 11.1171 62872 142.753
5.67269 10.5965 43009 136.069
5.8872 12.19 27262 156.531
6.10775 16.6699 16264 214.057
6.3354 22.7217 8614 291.767
6.56292 31.2898 3046 401.789
6.76744 35.5519 550 456.52
6.96499 93.621 1 1202.18
