# in Mpc/h Units 
# D1 = 0.0315618 
# k P N P(z=0)
0.0628319 11.3228 6 11366.6
0.0888577 6.88861 12 6915.24
0.108828 5.05693 8 5076.48
0.125664 4.52173 6 4539.21
0.140496 3.62143 24 3635.43
0.153906 2.89614 24 2907.34
0.177715 2.37409 12 2383.27
0.188496 2.20985 30 2218.39
0.198692 2.03352 24 2041.38
0.20839 1.82708 24 1834.14
0.217656 1.66011 8 1666.53
0.226543 1.47256 24 1478.25
0.235095 1.43721 48 1442.76
0.251327 1.25339 6 1258.23
0.262281 1.17528 84 1179.82
0.273878 1.04449 24 1048.53
0.280993 1.04295 24 1046.98
0.29019 0.944205 72 947.855
0.307812 0.840757 24 844.007
0.318551 0.787449 102 790.493
0.326484 0.759364 32 762.3
0.340674 0.693352 120 696.032
0.355431 0.658946 12 661.494
0.366343 0.591273 144 593.559
0.379302 0.54332 54 545.42
0.389837 0.534627 96 536.693
0.405099 0.482217 168 484.081
0.422256 0.45371 144 455.464
0.442145 0.400229 146 401.776
0.456965 0.380221 240 381.691
0.476937 0.348688 192 350.036
0.493022 0.313244 168 314.455
0.510602 0.299467 270 300.625
0.527626 0.281766 228 282.855
0.546637 0.25567 344 256.658
0.570583 0.236177 342 237.09
0.591498 0.219182 456 220.03
0.616749 0.196612 396 197.372
0.63768 0.182087 486 182.791
0.661928 0.168704 560 169.356
0.686555 0.154015 558 154.611
0.712045 0.143316 708 143.87
0.737212 0.129825 672 130.326
0.767295 0.121917 998 122.389
0.797876 0.111794 924 112.226
0.827231 0.101969 1014 102.364
0.855366 0.0932939 1064 93.6546
0.888745 0.0869618 1434 87.2979
0.922629 0.0780381 1440 78.3398
0.9574 0.071356 1662 71.6318
0.994531 0.0646117 1898 64.8614
1.03188 0.061547 2040 61.7849
1.07175 0.0557663 2378 55.9819
1.11154 0.0523812 2430 52.5836
1.15271 0.0468236 2964 47.0046
1.19766 0.0424158 3278 42.5797
1.2432 0.0393302 3618 39.4823
1.28924 0.0362351 3896 36.3752
1.33879 0.0335702 4770 33.7
1.3903 0.0311116 4902 31.2319
1.44163 0.0283137 5522 28.4231
1.49595 0.0258292 6402 25.9291
1.55328 0.0240599 7118 24.1529
1.61149 0.0219457 7634 22.0306
1.67267 0.020769 9090 20.8493
1.73596 0.0193831 9566 19.458
1.80111 0.0182566 11034 18.3271
1.86923 0.0171314 12290 17.1976
1.94007 0.0164647 13706 16.5284
2.01239 0.0157421 14970 15.8029
2.08788 0.0154915 17198 15.5514
2.16695 0.0158191 19016 15.8803
2.24881 0.0158136 21458 15.8747
2.33445 0.0164652 24186 16.5289
2.42318 0.017981 26624 18.0505
2.51406 0.0198419 29594 19.9186
2.60906 0.0224358 33536 22.5225
2.70773 0.026275 37166 26.3766
2.80996 0.0340458 41720 34.1774
2.91588 0.0427831 46280 42.9485
3.02527 0.0549458 51536 55.1582
3.13941 0.0820097 58466 82.3267
3.25901 0.121522 65564 121.992
3.38216 0.19667 72080 197.43
3.50965 0.321956 81380 323.201
3.64194 0.686894 90070 689.549
3.7792 2.46708 101516 2476.62
3.92175 9.72801 112736 9765.61
4.06885 39.9206 122371 40074.9
4.22253 0.0540988 120908 54.3079
4.38168 0.0728006 118888 73.082
4.54705 0.118843 115424 119.302
4.71893 0.220952 110068 221.806
4.89655 0.489498 101516 491.391
5.08084 1.25073 92536 1255.56
5.27183 3.70962 78532 3723.96
5.46879 27.8194 62872 27927
5.67269 248.382 43009 249342
5.8872 0.919682 27262 923.237
6.10775 3.3374 16264 3350.3
6.3354 18.1806 8614 18250.9
6.56292 170.803 3046 171463
6.76744 7926.44 550 7.95708e+06
6.96499 3.34618e+06 1 3.35911e+09
