# in Mpc/h Units 
# D1 = 0.87245 
# k P N P(z=0)
0.0628319 7464.14 6 9806.16
0.0888577 3980.3 12 5229.2
0.108828 3399.84 8 4466.61
0.125664 4246.92 6 5579.48
0.140496 2600.07 24 3415.89
0.153906 1611.25 24 2116.81
0.177715 1956.28 12 2570.1
0.188496 1544.14 30 2028.65
0.198692 1771.5 24 2327.34
0.20839 1451.3 24 1906.67
0.217656 1222.75 8 1606.41
0.226543 718.155 24 943.49
0.235095 1840.89 48 2418.51
0.251327 1176.8 6 1546.04
0.262281 1028.6 84 1351.35
0.273878 572.282 24 751.847
0.280993 812.944 24 1068.02
0.29019 1049.01 72 1378.16
0.307812 1029.4 24 1352.39
0.318551 904.345 102 1188.1
0.326484 1121 32 1472.73
0.340674 683.353 120 897.768
0.355431 1237.96 12 1626.39
0.366343 653.501 144 858.55
0.379302 474.311 54 623.136
0.389837 615.369 96 808.454
0.405099 617.922 168 811.807
0.422256 616.302 144 809.679
0.442145 400.326 146 525.936
0.456965 540.332 240 709.872
0.476937 515.214 192 676.872
0.493022 437.45 168 574.709
0.510602 472.777 270 621.12
0.527626 397.179 228 521.802
0.546637 405.954 344 533.33
0.570583 395.886 342 520.103
0.591498 408.37 456 536.504
0.616749 353.678 396 464.652
0.63768 337.63 486 443.568
0.661928 331.405 560 435.39
0.686555 323.342 558 424.798
0.712045 276.923 708 363.813
0.737212 302.611 672 397.561
0.767295 280.42 998 368.408
0.797876 288.66 924 379.233
0.827231 257.605 1014 338.434
0.855366 261.384 1064 343.399
0.888745 245.198 1434 322.133
0.922629 235.315 1440 309.15
0.9574 219.46 1662 288.32
0.994531 226.31 1898 297.319
1.03188 220.447 2040 289.617
1.07175 201.911 2378 265.264
1.11154 186.071 2430 244.455
1.15271 190.901 2964 250.799
1.19766 175.705 3278 230.836
1.2432 174.552 3618 229.321
1.28924 168.756 3896 221.707
1.33879 162.163 4770 213.046
1.3903 156.661 4902 205.816
1.44163 150.801 5522 198.117
1.49595 148.574 6402 195.193
1.55328 142.758 7118 187.551
1.61149 134.585 7634 176.813
1.67267 127.049 9090 166.913
1.73596 127.377 9566 167.344
1.80111 121.195 11034 159.222
1.86923 110.738 12290 145.484
1.94007 107.574 13706 141.328
2.01239 102.911 14970 135.201
2.08788 97.4599 17198 128.04
2.16695 95.1171 19016 124.962
2.24881 89.5533 21458 117.652
2.33445 85.1963 24186 111.928
2.42318 78.6628 26624 103.345
2.51406 74.888 29594 98.3855
2.60906 71.2832 33536 93.6497
2.70773 67.6027 37166 88.8144
2.80996 63.177 41720 83.0001
2.91588 59.7922 46280 78.5531
3.02527 57.6683 51536 75.7629
3.13941 54.5715 58466 71.6944
3.25901 51.4072 65564 67.5372
3.38216 48.7137 72080 63.9985
3.50965 47.4622 81380 62.3543
3.64194 45.6843 90070 60.0186
3.7792 44.4053 101516 58.3384
3.92175 43.8607 112736 57.6228
4.06885 43.6967 122371 57.4073
4.22253 42.0748 120908 55.2766
4.38168 40.3439 118888 53.0026
4.54705 39.6604 115424 52.1047
4.71893 38.8855 110068 51.0867
4.89655 38.2664 101516 50.2732
5.08084 38.9735 92536 51.2022
5.27183 39.5508 78532 51.9606
5.46879 41.4933 62872 54.5126
5.67269 42.7982 43009 56.227
5.8872 43.8853 27262 57.6552
6.10775 44.7708 16264 58.8185
6.3354 51.0122 8614 67.0183
6.56292 66.4132 3046 87.2517
6.76744 87.8678 550 115.438
6.96499 747.073 1 981.482
