# in Mpc/h Units 
# D1 = 0.26438 
# k P N P(z=0)
0.0628319 767.701 6 10983.4
0.0888577 450.473 12 6444.83
0.108828 343.364 8 4912.45
0.125664 339.295 6 4854.23
0.140496 253.306 24 3624
0.153906 179.365 24 2566.14
0.177715 168.289 12 2407.67
0.188496 151.905 30 2173.27
0.198692 158.398 24 2266.17
0.20839 136.807 24 1957.27
0.217656 136.602 8 1954.34
0.226543 92.3338 24 1321
0.235095 118.031 48 1688.65
0.251327 80.9963 6 1158.8
0.262281 85.4501 84 1222.52
0.273878 61.0121 24 872.889
0.280993 87.1723 24 1247.16
0.29019 69.3699 72 992.462
0.307812 55.8812 24 799.482
0.318551 59.5128 102 851.438
0.326484 67.1824 32 961.166
0.340674 52.6172 120 752.784
0.355431 58.8772 12 842.345
0.366343 43.8948 144 627.995
0.379302 35.0758 54 501.823
0.389837 36.5997 96 523.625
0.405099 37.0242 168 529.699
0.422256 36.5888 144 523.469
0.442145 26.566 146 380.074
0.456965 29.5819 240 423.223
0.476937 27.7177 192 396.552
0.493022 24.3408 168 348.24
0.510602 23.9447 270 342.572
0.527626 21.7586 228 311.297
0.546637 20.3048 344 290.497
0.570583 18.3187 342 262.082
0.591498 17.9884 456 257.356
0.616749 15.0531 396 215.362
0.63768 13.8769 486 198.535
0.661928 13.8891 560 198.709
0.686555 12.6363 558 180.785
0.712045 12.4149 708 177.618
0.737212 10.9819 672 157.116
0.767295 10.4607 998 149.659
0.797876 9.13921 924 130.753
0.827231 8.61227 1014 123.214
0.855366 8.01312 1064 114.642
0.888745 7.55304 1434 108.06
0.922629 6.22637 1440 89.0795
0.9574 6.25268 1662 89.4558
0.994531 5.73394 1898 82.0343
1.03188 5.26037 2040 75.2592
1.07175 4.91629 2378 70.3364
1.11154 4.53133 2430 64.8289
1.15271 4.26832 2964 61.0661
1.19766 3.99073 3278 57.0946
1.2432 3.55552 3618 50.8681
1.28924 3.36143 3896 48.0914
1.33879 3.06808 4770 43.8944
1.3903 2.8647 4902 40.9847
1.44163 2.59981 5522 37.195
1.49595 2.45131 6402 35.0704
1.55328 2.25354 7118 32.241
1.61149 2.10436 7634 30.1067
1.67267 1.94919 9090 27.8866
1.73596 1.84021 9566 26.3275
1.80111 1.74337 11034 24.942
1.86923 1.65897 12290 23.7345
1.94007 1.62481 13706 23.2458
2.01239 1.49898 14970 21.4457
2.08788 1.44472 17198 20.6693
2.16695 1.43824 19016 20.5766
2.24881 1.42865 21458 20.4394
2.33445 1.42517 24186 20.3896
2.42318 1.5386 26624 22.0125
2.51406 1.58029 29594 22.6089
2.60906 1.74146 33536 24.9148
2.70773 1.80683 37166 25.85
2.80996 2.25846 41720 32.3114
2.91588 2.44242 46280 34.9433
3.02527 2.76381 51536 39.5413
3.13941 3.33171 58466 47.6661
3.25901 3.96088 65564 56.6676
3.38216 4.44599 72080 63.608
3.50965 4.78167 81380 68.4105
3.64194 5.34771 90070 76.5087
3.7792 6.42021 101516 91.8527
3.92175 6.7642 112736 96.7741
4.06885 5.03589 122371 72.0475
4.22253 3.42101 120908 48.9438
4.38168 3.7397 118888 53.5032
4.54705 4.49673 115424 64.3338
4.71893 5.68734 110068 81.3678
4.89655 7.20898 101516 103.138
5.08084 8.85646 92536 126.708
5.27183 10.1896 78532 145.781
5.46879 11.5258 62872 164.898
5.67269 10.8362 43009 155.032
5.8872 12.5448 27262 179.476
6.10775 17.8213 16264 254.966
6.3354 24.3659 8614 348.598
6.56292 34.8614 3046 498.755
6.76744 42.8416 550 612.927
6.96499 16.225 1 232.128
