# in Mpc/h Units 
# D1 = 0.07969 
# k P N P(z=0)
0.0628319 71.7313 6 11295.4
0.0888577 43.3228 12 6821.96
0.108828 31.9163 8 5025.8
0.125664 29.0424 6 4573.24
0.140496 23.1128 24 3639.53
0.153906 17.8877 24 2816.74
0.177715 15.1031 12 2378.25
0.188496 13.9054 30 2189.66
0.198692 13.2324 24 2083.68
0.20839 11.6789 24 1839.06
0.217656 11.0385 8 1738.21
0.226543 9.16846 24 1443.74
0.235095 9.39949 48 1480.12
0.251327 7.83806 6 1234.24
0.262281 7.5396 84 1187.25
0.273878 6.33728 24 997.918
0.280993 6.99697 24 1101.8
0.29019 6.00042 72 944.874
0.307812 5.23662 24 824.6
0.318551 5.08026 102 799.979
0.326484 5.05464 32 795.943
0.340674 4.44043 120 699.225
0.355431 4.35697 12 686.083
0.366343 3.74311 144 589.42
0.379302 3.34223 54 526.294
0.389837 3.30196 96 519.952
0.405099 3.08407 168 485.642
0.422256 2.88688 144 454.591
0.442145 2.49696 146 393.192
0.456965 2.38432 240 375.453
0.476937 2.25455 192 355.019
0.493022 1.96617 168 309.609
0.510602 1.8898 270 297.582
0.527626 1.7663 228 278.136
0.546637 1.60805 344 253.216
0.570583 1.499 342 236.045
0.591498 1.39583 456 219.798
0.616749 1.24165 396 195.521
0.63768 1.15172 486 181.359
0.661928 1.05662 560 166.384
0.686555 0.967261 558 152.313
0.712045 0.898191 708 141.436
0.737212 0.806733 672 127.035
0.767295 0.770424 998 121.317
0.797876 0.686317 924 108.073
0.827231 0.632216 1014 99.5537
0.855366 0.569158 1064 89.6242
0.888745 0.536474 1434 84.4775
0.922629 0.467358 1440 73.594
0.9574 0.438393 1662 69.0328
0.994531 0.389003 1898 61.2555
1.03188 0.372485 2040 58.6545
1.07175 0.336381 2378 52.9693
1.11154 0.323958 2430 51.0131
1.15271 0.281742 2964 44.3654
1.19766 0.251708 3278 39.6359
1.2432 0.229867 3618 36.1967
1.28924 0.21831 3896 34.3768
1.33879 0.195166 4770 30.7323
1.3903 0.179004 4902 28.1873
1.44163 0.160883 5522 25.3339
1.49595 0.149776 6402 23.5849
1.55328 0.136572 7118 21.5058
1.61149 0.125554 7634 19.7708
1.67267 0.115024 9090 18.1127
1.73596 0.109635 9566 17.264
1.80111 0.102332 11034 16.114
1.86923 0.0968638 12290 15.253
1.94007 0.0938095 13706 14.772
2.01239 0.0876706 14970 13.8053
2.08788 0.0856071 17198 13.4804
2.16695 0.0875566 19016 13.7874
2.24881 0.0890412 21458 14.0211
2.33445 0.0924048 24186 14.5508
2.42318 0.101417 26624 15.97
2.51406 0.111852 29594 17.6131
2.60906 0.12732 33536 20.0488
2.70773 0.149733 37166 23.5781
2.80996 0.199124 41720 31.3556
2.91588 0.250094 46280 39.3818
3.02527 0.320225 51536 50.4252
3.13941 0.466582 58466 73.4718
3.25901 0.700268 65564 110.27
3.38216 1.09869 72080 173.009
3.50965 1.72615 81380 271.814
3.64194 3.38242 90070 532.623
3.7792 8.86271 101516 1395.59
3.92175 17.8005 112736 2803
4.06885 14.5999 122371 2299.01
4.22253 0.28668 120908 45.1429
4.38168 0.396199 118888 62.3887
4.54705 0.660465 115424 104.002
4.71893 1.24337 110068 195.792
4.89655 2.69064 101516 423.69
5.08084 6.33512 92536 997.579
5.27183 15.7814 78532 2485.07
5.46879 59.5683 62872 9380.09
5.67269 67.6013 43009 10645
5.8872 5.13923 27262 809.264
6.10775 17.2831 16264 2721.53
6.3354 80.796 8614 12722.8
6.56292 458.764 3046 72240.6
6.76744 4184.87 550 658983
6.96499 480.385 1 75645.2
