# in Mpc/h Units 
# D1 = 0.0574419 
# k P N P(z=0)
0.0628319 37.4042 6 11336.1
0.0888577 22.6856 12 6875.31
0.108828 16.6177 8 5036.31
0.125664 14.8104 6 4488.57
0.140496 12.0314 24 3646.34
0.153906 9.39337 24 2846.84
0.177715 7.8608 12 2382.37
0.188496 7.23711 30 2193.35
0.198692 6.82795 24 2069.34
0.20839 6.04916 24 1833.31
0.217656 5.60584 8 1698.96
0.226543 4.77575 24 1447.38
0.235095 4.82123 48 1461.17
0.251327 4.10082 6 1242.83
0.262281 3.91772 84 1187.34
0.273878 3.33994 24 1012.23
0.280993 3.5453 24 1074.47
0.29019 3.11215 72 943.198
0.307812 2.74688 24 832.495
0.318551 2.62541 102 795.683
0.326484 2.57295 32 779.783
0.340674 2.29974 120 696.981
0.355431 2.19134 12 664.129
0.366343 1.95704 144 593.119
0.379302 1.77397 54 537.635
0.389837 1.72487 96 522.754
0.405099 1.6182 168 490.427
0.422256 1.49632 144 453.488
0.442145 1.31254 146 397.792
0.456965 1.23549 240 374.44
0.476937 1.16238 192 352.282
0.493022 1.03351 168 313.224
0.510602 0.992024 270 300.652
0.527626 0.919033 228 278.531
0.546637 0.840073 344 254.6
0.570583 0.768736 342 232.98
0.591498 0.724018 456 219.427
0.616749 0.64413 396 195.216
0.63768 0.606595 486 183.84
0.661928 0.553221 560 167.664
0.686555 0.504037 558 152.758
0.712045 0.463764 708 140.553
0.737212 0.422979 672 128.192
0.767295 0.400767 998 121.46
0.797876 0.357348 924 108.301
0.827231 0.330795 1014 100.254
0.855366 0.304607 1064 92.317
0.888745 0.27903 1434 84.5654
0.922629 0.250083 1440 75.7923
0.9574 0.228191 1662 69.1576
0.994531 0.204267 1898 61.9071
1.03188 0.194953 2040 59.0842
1.07175 0.175082 2378 53.0621
1.11154 0.168849 2430 51.1729
1.15271 0.148332 2964 44.9549
1.19766 0.133767 3278 40.5408
1.2432 0.123167 3618 37.3283
1.28924 0.11447 3896 34.6924
1.33879 0.103327 4770 31.3151
1.3903 0.0953061 4902 28.8843
1.44163 0.0867124 5522 26.2799
1.49595 0.0794816 6402 24.0884
1.55328 0.0734125 7118 22.2491
1.61149 0.0670957 7634 20.3346
1.67267 0.0624784 9090 18.9353
1.73596 0.0576726 9566 17.4788
1.80111 0.0549704 11034 16.6598
1.86923 0.0514926 12290 15.6058
1.94007 0.0494378 13706 14.9831
2.01239 0.046856 14970 14.2006
2.08788 0.045763 17198 13.8694
2.16695 0.0474768 19016 14.3888
2.24881 0.0476127 21458 14.4299
2.33445 0.0482828 24186 14.633
2.42318 0.0538301 26624 16.3143
2.51406 0.0591297 29594 17.9204
2.60906 0.0696003 33536 21.0937
2.70773 0.0825851 37166 25.029
2.80996 0.103811 41720 31.462
2.91588 0.134945 46280 40.8976
3.02527 0.173571 51536 52.604
3.13941 0.247068 58466 74.8789
3.25901 0.398277 65564 120.705
3.38216 0.601439 72080 182.278
3.50965 0.938866 81380 284.541
3.64194 2.12127 90070 642.893
3.7792 5.84294 101516 1770.82
3.92175 14.451 112736 4379.65
4.06885 24.754 122371 7502.19
4.22253 0.152308 120908 46.1598
4.38168 0.209928 118888 63.6227
4.54705 0.346719 115424 105.08
4.71893 0.663683 110068 201.142
4.89655 1.45277 101516 440.289
5.08084 3.683 92536 1116.2
5.27183 10.2523 78532 3107.17
5.46879 51.9891 62872 15756.3
5.67269 121.095 43009 36700.1
5.8872 2.63997 27262 800.092
6.10775 9.74153 16264 2952.36
6.3354 49.7377 8614 15074
6.56292 378.343 3046 114664
6.76744 6683.13 550 2.02545e+06
6.96499 76663.2 1 2.32343e+07
