# in Mpc/h Units 
# D1 = 0.60382 
# k P N P(z=0)
0.0628319 3771.89 6 10345.3
0.0888577 2099.38 12 5758.04
0.108828 1707.74 8 4683.89
0.125664 1941.77 6 5325.77
0.140496 1288.12 24 3532.97
0.153906 824.819 24 2262.26
0.177715 909.158 12 2493.58
0.188496 773.193 30 2120.67
0.198692 883.695 24 2423.74
0.20839 730.798 24 2004.39
0.217656 712.568 8 1954.39
0.226543 400.868 24 1099.48
0.235095 784.088 48 2150.55
0.251327 479.277 6 1314.53
0.262281 470.764 84 1291.18
0.273878 261.615 24 717.54
0.280993 455.35 24 1248.91
0.29019 432.617 72 1186.56
0.307812 375.867 24 1030.9
0.318551 389.977 102 1069.61
0.326484 478.157 32 1311.46
0.340674 309.446 120 848.73
0.355431 479.848 12 1316.1
0.366343 280.963 144 770.607
0.379302 195.542 54 536.321
0.389837 225.243 96 617.783
0.405099 241.752 168 663.064
0.422256 265.457 144 728.08
0.442145 165.1 146 452.827
0.456965 213.366 240 585.207
0.476937 182.059 192 499.341
0.493022 185.298 168 508.223
0.510602 178.165 270 488.66
0.527626 153.189 228 420.158
0.546637 158.59 344 434.971
0.570583 148.302 342 406.755
0.591498 153.365 456 420.639
0.616749 123.912 396 339.858
0.63768 114.905 486 315.154
0.661928 118.489 560 324.985
0.686555 108.016 558 296.261
0.712045 107.916 708 295.986
0.737212 105.839 672 290.289
0.767295 95.3165 998 261.428
0.797876 101.121 924 277.349
0.827231 86.9855 1014 238.579
0.855366 82.1562 1064 225.333
0.888745 84.4036 1434 231.497
0.922629 75.0147 1440 205.746
0.9574 73.334 1662 201.136
0.994531 67.2032 1898 184.321
1.03188 68.0312 2040 186.592
1.07175 62.2532 2378 170.744
1.11154 57.3796 2430 157.377
1.15271 62.7849 2964 172.203
1.19766 54.2995 3278 148.929
1.2432 55.3031 3618 151.682
1.28924 50.5068 3896 138.527
1.33879 48.3673 4770 132.659
1.3903 46.827 4902 128.434
1.44163 43.9752 5522 120.613
1.49595 42.8409 6402 117.501
1.55328 41.2131 7118 113.037
1.61149 39.942 7634 109.551
1.67267 37.7567 9090 103.557
1.73596 35.7356 9566 98.0134
1.80111 34.6577 11034 95.0571
1.86923 32.2695 12290 88.5067
1.94007 32.5447 13706 89.2617
2.01239 31.319 14970 85.8997
2.08788 29.4416 17198 80.7507
2.16695 28.3777 19016 77.8326
2.24881 27.2925 21458 74.8561
2.33445 26.2062 24186 71.8769
2.42318 25.5199 26624 69.9944
2.51406 24.6026 29594 67.4785
2.60906 23.627 33536 64.8028
2.70773 22.7289 37166 62.3394
2.80996 21.8862 41720 60.0281
2.91588 20.8892 46280 57.2935
3.02527 20.2969 51536 55.669
3.13941 19.5753 58466 53.69
3.25901 19.0674 65564 52.2969
3.38216 18.3538 72080 50.3397
3.50965 18.3291 81380 50.2718
3.64194 17.8109 90070 48.8508
3.7792 17.705 101516 48.5603
3.92175 18.0056 112736 49.3847
4.06885 18.1214 122371 49.7023
4.22253 17.5956 120908 48.2601
4.38168 17.1851 118888 47.1341
4.54705 16.8013 115424 46.0815
4.71893 16.701 110068 45.8066
4.89655 17.0188 101516 46.6782
5.08084 17.5425 92536 48.1145
5.27183 18.3717 78532 50.3887
5.46879 19.6443 62872 53.879
5.67269 20.4783 43009 56.1668
5.8872 20.6758 27262 56.7083
6.10775 23.3825 16264 64.132
6.3354 27.3427 8614 74.9938
6.56292 32.5788 3046 89.3551
6.76744 40.7985 550 111.9
6.96499 1.06008 1 2.90751
